candidate	fixture	lines	metric	median	min	max
arm-K1	bin-dpm-1k.log	1000	build_ns_per_line	11152	10717	12118
arm-K1	bin-dpm-1k.log	1000	rss_delta_after_build_kb	3168	3168	3168
arm-K1	bin-dpm-1k.log	1000	distinct_keys	720	720	720
arm-K1	bin-dpm-1k.log	1000	partition_extensions	0	0	0
arm-K1	bin-dpm-1k.log	1000	devel_size_record_bytes	1.13095e+06	1.13095e+06	1.13095e+06
arm-K1	bin-dpm-1k.log	1000	devel_size_counter_bytes	1.70976e+06	1.70976e+06	1.70976e+06
arm-K1	bin-dpm-1k.log	1000	walk_s	0.000138	0.000137	0.00014
arm-K1	bin-dpm-1k.log	1000	population_stats_s	0.055846	0.055004	0.05702
arm-K1	bin-dpm-1k.log	1000	eligible_keys	720	720	720
arm-K1	bin-dpm-1k.log	1000	churn_s	0.00125	0.00125	0.00125
arm-K1	bin-dpm-1k.log	1000	churn_population_stats_s	0.006011	0.005983	0.00605
arm-K2	bin-dpm-1k.log	1000	build_ns_per_line	8811	8527	9357
arm-K2	bin-dpm-1k.log	1000	rss_delta_after_build_kb	3024	3024	3024
arm-K2	bin-dpm-1k.log	1000	distinct_keys	720	720	720
arm-K2	bin-dpm-1k.log	1000	partition_extensions	0	0	0
arm-K2	bin-dpm-1k.log	1000	keymap_s	0.000112	0.000111	0.000114
arm-K2	bin-dpm-1k.log	1000	devel_size_record_bytes	613313	613313	613313
arm-K2	bin-dpm-1k.log	1000	devel_size_counter_bytes	1.4887e+06	1.4887e+06	1.4887e+06
arm-K2	bin-dpm-1k.log	1000	walk_s	5.9e-05	5.9e-05	6e-05
arm-K2	bin-dpm-1k.log	1000	population_stats_s	0.055831	0.055398	0.057205
arm-K2	bin-dpm-1k.log	1000	eligible_keys	720	720	720
arm-K2	bin-dpm-1k.log	1000	churn_s	0.001226	0.001226	0.001226
arm-K2	bin-dpm-1k.log	1000	churn_population_stats_s	0.006008	0.006001	0.006131
arm-K2	bin-dpm-1k.log	1000	compact_s	0.000271	0.000271	0.000271
arm-K2	bin-dpm-1k.log	1000	compact_population_stats_s	0.005997	0.00598	0.006163
arm-K3	bin-dpm-1k.log	1000	build_ns_per_line	7706	7624	8356
arm-K3	bin-dpm-1k.log	1000	rss_delta_after_build_kb	2768	2768	2768
arm-K3	bin-dpm-1k.log	1000	distinct_keys	720	720	720
arm-K3	bin-dpm-1k.log	1000	partition_extensions	0	0	0
arm-K3	bin-dpm-1k.log	1000	keymap_s	0.000111	0.00011	0.000115
arm-K3	bin-dpm-1k.log	1000	devel_size_record_bytes	616874	616874	616874
arm-K3	bin-dpm-1k.log	1000	devel_size_counter_bytes	1.09971e+06	1.09971e+06	1.09971e+06
arm-K3	bin-dpm-1k.log	1000	walk_s	5.9e-05	5.8e-05	5.9e-05
arm-K3	bin-dpm-1k.log	1000	population_stats_s	0.046712	0.045746	0.04737
arm-K3	bin-dpm-1k.log	1000	eligible_keys	720	720	720
arm-K3	bin-dpm-1k.log	1000	churn_s	0.001383	0.001383	0.001383
arm-K3	bin-dpm-1k.log	1000	churn_population_stats_s	0.004986	0.004976	0.005144
arm-K3	bin-dpm-1k.log	1000	compact_s	0.000407	0.000407	0.000407
arm-K3	bin-dpm-1k.log	1000	compact_population_stats_s	0.005017	0.004988	0.005084
arm-K4	bin-dpm-1k.log	1000	build_ns_per_line	7665	7613	8126
arm-K4	bin-dpm-1k.log	1000	rss_delta_after_build_kb	1872	1872	1872
