group	step	n_union	remaps_so_far	quantile	oracle	T_int_err	T_ceil_err	G_int_err	G_ceil_err
1	1	41	1	P1	42	-0.001475	-0.001475	0.000293	0.000293
1	1	41	1	P50	47	-0.001786	-0.001786	0.003699	0.003699
1	1	41	1	P75	172	0.002006	0.002006	0.003424	0.003424
1	1	41	1	P90	181	0.003352	0.003352	0.001010	0.001010
1	1	41	1	P95	183	0.003580	0.003580	0.001235	0.001235
1	1	41	1	P99	212	-0.001447	-0.001447	0.003659	0.003659
1	1	41	1	P999	212	-0.001447	-0.001447	0.003659	0.003659
1	2	72	2	P1	41	-0.000466	-0.000466	-0.000529	-0.000529
1	2	72	2	P50	47	-0.002116	-0.002649	0.001557	0.001023
1	2	72	2	P75	51	0.000575	-0.001293	0.000511	-0.001357
1	2	72	2	P90	177	0.004745	0.004745	0.000929	0.000929
1	2	72	2	P95	183	0.003176	0.003176	-0.000635	-0.000635
1	2	72	2	P99	212	-0.000018	-0.000018	0.003659	0.003659
1	2	72	2	P999	212	-0.000018	-0.000018	0.003659	0.003659
1	3	103	3	P1	40	0.003049	0.003049	-0.000756	-0.000756
1	3	103	3	P50	45	0.002076	0.002076	0.002012	0.002012
1	3	103	3	P75	50	-0.001302	-0.001302	-0.001365	-0.001365
1	3	103	3	P90	175	0.004896	0.004896	0.001079	0.001079
1	3	103	3	P95	181	0.004826	0.004826	0.001010	0.001010
1	3	103	3	P99	211	0.000973	0.000973	0.000905	0.000905
1	3	103	3	P999	212	-0.000018	-0.000018	0.003659	0.003659
1	4	120	4	P1	40	0.001701	0.001701	-0.000756	-0.000756
1	4	120	4	P50	45	0.000181	-0.000039	0.001443	0.001223
1	4	120	4	P75	49	0.000958	0.000023	0.002205	0.001269
1	4	120	4	P90	172	0.002408	-0.330597	0.003424	-0.329869
1	4	120	4	P95	181	0.003751	0.000005	0.001010	-0.002725
1	4	120	4	P99	211	-0.000071	-0.000071	0.000905	0.000905
1	4	120	4	P999	212	-0.001060	-0.001060	0.003659	0.003659
1	5	151	5	P1	40	0.001701	0.001701	-0.000756	-0.000756
1	5	151	5	P50	45	0.004811	0.004811	0.002324	0.002324
1	5	151	5	P75	49	0.001145	0.001145	0.002392	0.002392
1	5	151	5	P90	109	0.002439	0.002439	0.003540	0.003540
1	5	151	5	P95	180	0.005560	0.005560	0.002815	0.002815
1	5	151	5	P99	211	-0.000071	-0.000071	0.000905	0.000905
1	5	151	5	P999	212	-0.001060	-0.001060	0.003659	0.003659
1	6	182	6	P1	40	0.001701	0.001701	-0.000756	-0.000756
1	6	182	6	P50	46	0.001248	0.000980	0.001242	0.001072
1	6	182	6	P75	50	-0.001752	-0.001752	-0.000868	-0.000868
1	6	182	6	P90	107	0.002264	0.002264	0.003368	0.003368
1	6	182	6	P95	177	0.003666	0.003666	0.000929	0.000929
1	6	182	6	P99	211	-0.000071	-0.000071	0.000905	0.000905
1	6	182	6	P999	212	-0.001060	-0.001060	0.003659	0.003659
1	7	213	7	P1	40	0.002610	0.002610	0.000490	0.000490
1	7	213	7	P50	46	0.002623	0.002623	0.001664	0.001664
1	7	213	7	P75	49	0.001564	0.001564	0.003142	0.003142
1	7	213	7	P90	99	0.001162	0.001162	0.002578	0.002578
1	7	213	7	P95	176	0.001577	0.001577	0.002861	0.002861
1	7	213	7	P99	209	-0.002025	-0.002025	0.002957	0.002957
1	7	213	7	P999	212	-0.001323	-0.001323	0.003659	0.003659
2	1	62	1	P1	40	0.004798	0.004798	0.000490	0.000490
2	1	62	1	P50	46	0.000241	-0.000382	0.001072	0.000732
2	1	62	1	P75	48	0.001175	0.001175	0.000581	0.000581
2	1	62	1	P90	51	-0.000130	-0.000130	-0.000734	-0.000734
2	1	62	1	P95	52	0.004139	0.004139	0.003527	0.003527
2	1	62	1	P99	214	-0.001116	-0.001116	0.001740	0.001740
2	1	62	1	P999	214	-0.001116	-0.001116	0.001740	0.001740
2	2	93	2	P1	40	0.004336	0.004336	0.000490	0.000490
2	2	93	2	P50	47	0.001162	0.001162	0.001617	0.001617
2	2	93	2	P75	49	0.002757	0.002757	0.002725	0.002725
2	2	93	2	P90	53	0.001465	0.001465	0.001294	0.001294
2	2	93	2	P95	62	0.003531	0.003531	0.003320	0.003320
2	2	93	2	P99	214	-0.001472	-0.001472	0.001740	0.001740
2	2	93	2	P999	214	-0.001472	-0.001472	0.001740	0.001740
2	3	124	3	P1	41	0.000198	0.000198	0.000094	0.000094
2	3	124	3	P50	46	0.002659	0.002409	0.002587	0.002400
2	3	124	3	P75	49	0.002757	0.002222	0.002725	0.002309
2	3	124	3	P90	53	0.002089	0.002089	0.001918	0.001918
2	3	124	3	P95	62	0.003531	0.003531	0.003320	0.003320
2	3	124	3	P99	211	0.001429	0.001429	0.000905	0.000905
