key_ordinal	n	quantile	oracle	T_int	T_int_err	T_ceil	T_ceil_err	G_int	G_int_err	G_ceil	G_ceil_err
1	623	P1	2	1.984779	-0.007611	1.984779	-0.007611	1.938302	-0.030849	1.938302	-0.030849
1	623	P50	4	4.004921	0.001230	4.004921	0.001230	3.911139	-0.022215	3.911139	-0.022215
1	623	P75	5	4.916681	-0.016664	4.916681	-0.016664	5.014749	0.002950	5.014749	0.002950
1	623	P90	5	5.043221	0.008644	5.043221	0.008644	5.143813	0.028763	5.143813	0.028763
1	623	P95	5	5.086120	0.017224	5.086120	0.017224	5.187568	0.037514	5.187568	0.037514
1	623	P99	66	66.314960	0.004772	66.314960	0.004772	67.637676	0.024813	67.637676	0.024813
1	623	P999	166	172.466938	0.038957	172.466938	0.038957	168.428311	0.014628	168.428311	0.014628
2	623	P1	1	1.019946	0.019946	1.019946	0.019946	1.044403	0.044403	1.044403	0.044403
2	623	P50	3	2.954454	-0.015182	2.954454	-0.015182	3.025297	0.008432	3.025297	0.008432
2	623	P75	4	3.930468	-0.017383	3.930468	-0.017383	3.853604	-0.036599	3.853604	-0.036599
2	623	P90	4	4.032931	0.008233	4.032931	0.008233	3.954063	-0.011484	3.954063	-0.011484
2	623	P95	4	4.067676	0.016919	4.067676	0.016919	3.988128	-0.002968	3.988128	-0.002968
2	623	P99	4	4.095913	0.023978	4.095913	0.023978	4.015814	0.003953	4.015814	0.003953
2	623	P999	122	126.740900	0.038860	126.740900	0.038860	124.262367	0.018544	124.262367	0.018544
3	623	P1	1	1.003959	0.003959	1.003959	0.003959	1.028033	0.028033	1.028033	0.028033
3	623	P50	3	2.949234	-0.016922	2.949234	-0.016922	3.019952	0.006651	3.019952	0.006651
3	623	P75	4	3.924095	-0.018976	3.924095	-0.018976	3.847356	-0.038161	3.847356	-0.038161
3	623	P90	4	4.033447	0.008362	4.033447	0.008362	3.954570	-0.011358	3.954570	-0.011358
3	623	P95	4	4.070571	0.017643	4.070571	0.017643	3.990967	-0.002258	3.990967	-0.002258
3	623	P99	5	5.016503	0.003301	5.016503	0.003301	5.136790	0.027358	5.136790	0.027358
3	623	P999	75	75.249166	0.003322	75.249166	0.003322	77.053515	0.027380	77.053515	0.027380
4	623	P1	1	0.999675	-0.000325	0.999675	-0.000325	1.025667	0.025667	1.025667	0.025667
4	623	P50	3	2.962263	-0.012579	2.962263	-0.012579	3.039283	0.013094	3.039283	0.013094
4	623	P75	4	3.956356	-0.010911	3.956356	-0.010911	3.886646	-0.028338	3.886646	-0.028338
4	623	P90	4	4.037919	0.009480	4.037919	0.009480	3.966772	-0.008307	3.966772	-0.008307
4	623	P95	4	4.065478	0.016370	4.065478	0.016370	3.993846	-0.001539	3.993846	-0.001539
4	623	P99	4	4.087841	0.021960	4.087841	0.021960	4.015814	0.003953	4.015814	0.003953
4	623	P999	79	81.918265	0.036940	81.918265	0.036940	80.474887	0.018669	80.474887	0.018669
5	623	P1	1	1.034802	0.034802	1.034802	0.034802	1.044403	0.044403	1.044403	0.044403
5	623	P50	3	2.997062	-0.000979	2.997062	-0.000979	3.024868	0.008289	3.024868	0.008289
5	623	P75	4	3.997192	-0.000702	3.997192	-0.000702	3.862762	-0.034310	3.862762	-0.034310
5	623	P90	4	4.098773	0.024693	4.098773	0.024693	3.960927	-0.009768	3.960927	-0.009768
5	623	P95	4	4.133204	0.033301	4.133204	0.033301	3.994199	-0.001450	3.994199	-0.001450
5	623	P99	67	67.015901	0.000237	67.015901	0.000237	67.637676	0.009518	67.637676	0.009518
5	623	P999	162	166.879993	0.030123	166.879993	0.030123	168.428311	0.039681	168.428311	0.039681
6	623	P1	1	1.010146	0.010146	1.010146	0.010146	1.034368	0.034368	1.034368	0.034368
6	623	P50	2	2.038947	0.019474	2.038947	0.019474	1.999074	-0.000463	1.999074	-0.000463
6	623	P75	3	2.956932	-0.014356	2.956932	-0.014356	3.027834	0.009278	3.027834	0.009278
6	623	P90	3	3.000537	0.000179	3.000537	0.000179	3.072485	0.024162	3.072485	0.024162
6	623	P95	3	3.015214	0.005071	3.015214	0.005071	3.087514	0.029171	3.087514	0.029171
6	623	P99	4	4.081111	0.020278	4.081111	0.020278	4.001301	0.000325	4.001301	0.000325
