pair	n_a	n_b	n_union	remap	quantile	oracle	T_int_err	T_ceil_err	G_int_err	G_ceil_err
1	10	31	41	1	P1	42	-0.001475	-0.001475	0.000293	0.000293
1	10	31	41	1	P50	47	-0.001786	-0.001786	0.003699	0.003699
1	10	31	41	1	P75	172	0.002006	0.002006	0.003424	0.003424
1	10	31	41	1	P90	181	0.003352	0.003352	0.001010	0.001010
1	10	31	41	1	P95	183	0.003580	0.003580	0.001235	0.001235
1	10	31	41	1	P99	212	-0.001447	-0.001447	0.003659	0.003659
1	10	31	41	1	P999	212	-0.001447	-0.001447	0.003659	0.003659
2	31	31	62	1	P1	40	-0.000758	-0.000758	-0.002000	-0.002000
2	31	31	62	1	P50	44	0.000828	-0.000107	0.001246	0.000872
2	31	31	62	1	P75	47	-0.000013	-0.000013	0.002449	0.002449
2	31	31	62	1	P90	50	0.001672	0.001672	0.000378	0.000378
2	31	31	62	1	P95	59	0.001910	0.001910	0.000580	0.000580
2	31	31	62	1	P99	211	-0.001232	-0.001232	0.000905	0.000905
2	31	31	62	1	P999	211	-0.001232	-0.001232	0.000905	0.000905
3	17	31	48	1	P1	42	-0.000674	-0.000674	-0.002196	-0.002196
3	17	31	48	1	P50	46	-0.001165	-0.001539	-0.000220	-0.000594
3	17	31	48	1	P75	49	-0.001531	-0.020023	0.001269	-0.019106
3	17	31	48	1	P90	53	-0.001487	-0.001487	0.003168	0.003168
3	17	31	48	1	P95	107	0.002622	0.002622	0.003368	0.003368
3	17	31	48	1	P99	209	-0.001370	-0.001370	0.002957	0.002957
3	17	31	48	1	P999	209	-0.001370	-0.001370	0.002957	0.002957
4	31	31	62	1	P1	41	0.004246	0.004246	0.001965	0.001965
4	31	31	62	1	P50	47	0.002265	0.001641	0.003699	0.003358
4	31	31	62	1	P75	50	0.000210	0.000210	0.001625	0.001625
4	31	31	62	1	P90	61	0.003266	0.003266	0.000886	0.000886
4	31	31	62	1	P95	99	0.001337	0.001337	0.002578	0.002578
4	31	31	62	1	P99	124	0.000510	0.000510	0.001692	0.001692
4	31	31	62	1	P999	124	0.000510	0.000510	0.001692	0.001692
5	31	31	62	1	P1	40	0.004798	0.004798	0.000490	0.000490
5	31	31	62	1	P50	46	0.000241	-0.000382	0.001072	0.000732
5	31	31	62	1	P75	48	0.001175	0.001175	0.000581	0.000581
5	31	31	62	1	P90	51	-0.000130	-0.000130	-0.000734	-0.000734
5	31	31	62	1	P95	52	0.004139	0.004139	0.003527	0.003527
5	31	31	62	1	P99	214	-0.001116	-0.001116	0.001740	0.001740
5	31	31	62	1	P999	214	-0.001116	-0.001116	0.001740	0.001740
6	31	31	62	1	P1	41	0.000817	0.000817	0.001965	0.001965
6	31	31	62	1	P50	47	0.002554	0.001805	0.003699	0.002949
6	31	31	62	1	P75	52	-0.000109	-0.000109	0.001029	0.001029
6	31	31	62	1	P90	55	0.000496	0.000496	0.001633	0.001633
6	31	31	62	1	P95	62	0.002185	0.002185	0.003320	0.003320
6	31	31	62	1	P99	211	-0.000188	-0.000188	0.000905	0.000905
6	31	31	62	1	P999	211	-0.000188	-0.000188	0.000905	0.000905
7	31	31	62	0	P1	41	0.002776	0.002776	0.001965	0.001965
7	31	31	62	0	P50	47	0.000764	-0.001105	0.003699	0.001825
7	31	31	62	0	P75	50	-0.000058	-0.000058	-0.000868	-0.000868
7	31	31	62	0	P90	52	0.000593	0.000593	0.003527	0.003527
7	31	31	62	0	P95	59	0.001390	0.001390	0.000580	0.000580
7	31	31	62	0	P99	114	0.000610	0.000610	0.003545	0.003545
7	31	31	62	0	P999	114	0.000610	0.000610	0.003545	0.003545
8	31	31	62	1	P1	42	-0.001088	-0.001088	-0.002196	-0.002196
8	31	31	62	1	P50	46	0.002019	0.001083	0.001526	0.000902
8	31	31	62	1	P75	49	0.000518	0.000518	0.003142	0.003142
8	31	31	62	1	P90	54	0.000546	0.000546	0.003165	0.003165
8	31	31	62	1	P95	60	-0.000146	-0.000146	0.002466	0.002466
8	31	31	62	1	P99	120	0.002006	0.002006	0.000839	0.000839
8	31	31	62	1	P999	120	0.002006	0.002006	0.000839	0.000839
9	31	31	62	1	P1	40	0.001599	0.001599	0.000490	0.000490
9	31	31	62	1	P50	46	-0.001720	-0.002342	0.000052	-0.000288
9	31	31	62	1	P75	48	0.001700	0.001700	0.000581	0.000581
9	31	31	62	1	P90	51	0.001633	0.001633	0.000511	0.000511
9	31	31	62	1	P95	54	0.000546	0.000546	0.003165	0.003165
9	31	31	62	1	P99	112	0.003717	0.003717	0.002551	0.002551
9	31	31	62	1	P999	112	0.003717	0.003717	0.002551	0.002551
10	31	31	62	1	P1	41	-0.000034	-0.000034	0.000094	0.000094
10	31	31	62	1	P50	46	0.002025	0.001401	0.002150	0.001526
10	31	31	62	1	P75	49	0.001146	0.001146	0.001269	0.001269
10	31	31	62	1	P90	52	0.003406	0.003406	0.003527	0.003527
10	31	31	62	1	P95	106	0.001439	0.001439	0.001540	0.001540
10	31	31	62	1	P99	212	-0.000166	-0.000166	0.003659	0.003659
10	31	31	62	1	P999	212	-0.000166	-0.000166	0.003659	0.003659
11	31	31	62	1	P1	40	0.002086	0.002086	0.000490	0.000490
11	31	31	62	1	P50	47	0.000485	-0.000049	0.002628	0.002092
11	31	31	62	1	P75	49	0.001000	0.001000	0.003142	0.003142
11	31	31	62	1	P90	55	0.000121	0.000121	0.002257	0.002257
11	31	31	62	1	P95	69	0.002620	0.002620	0.001006	0.001006
11	31	31	62	1	P99	218	-0.000181	-0.000181	0.001911	0.001911
11	31	31	62	1	P999	218	-0.000181	-0.000181	0.001911	0.001911
12	31	31	62	1	P1	40	0.001406	0.001406	0.000490	0.000490
12	31	31	62	1	P50	47	-0.001796	-0.002329	0.001023	0.000488
12	31	31	62	1	P75	49	0.000318	0.000318	0.003142	0.003142
12	31	31	62	1	P90	56	0.001357	0.001357	0.000434	0.000434
12	31	31	62	1	P95	63	0.003195	0.003195	0.002269	0.002269
12	31	31	62	1	P99	213	-0.000107	-0.000107	0.002688	0.002688
12	31	31	62	1	P999	213	-0.000107	-0.000107	0.002688	0.002688
13	31	32	63	1	P1	40	0.000160	0.000160	-0.001378	-0.001378
13	31	32	63	1	P50	949	0.002000	0.002000	0.000015	0.000015
13	31	32	63	1	P75	1016	-0.000798	-0.000798	0.000948	0.000948
13	31	32	63	1	P90	1049	0.002757	0.002757	0.000756	0.000756
13	31	32	63	1	P95	1070	0.001625	0.001625	0.003368	0.003368
13	31	32	63	1	P99	1149	0.001423	0.001423	0.003156	0.003156
13	31	32	63	1	P999	1149	0.001423	0.001423	0.003156	0.003156
14	24	28	52	1	P1	1	-0.002761	-0.002761	0.000935	0.000935
14	24	28	52	1	P50	1448	-0.000038	-0.096034	0.003620	-0.096112
14	24	28	52	1	P75	4064	0.003406	-0.456448	0.003312	-0.456497
14	24	28	52	1	P90	11529	0.003607	0.003607	0.003506	0.003506
14	24	28	52	1	P95	12310	0.000354	0.000354	0.000253	0.000253
14	24	28	52	1	P99	18063	0.003164	0.003164	0.003060	0.003060
14	24	28	52	1	P999	18063	0.003164	0.003164	0.003060	0.003060
15	43	30	73	1	P1	1	0.000862	0.000862	0.003745	0.003745
15	43	30	73	1	P50	1525	0.001383	0.001383	0.000395	0.000395
15	43	30	73	1	P75	7279	0.004626	0.004626	0.003609	0.003609
15	43	30	73	1	P90	10678	0.002706	0.002706	0.001684	0.001684
15	43	30	73	1	P95	11275	0.000632	0.000632	0.003356	0.003356
15	43	30	73	1	P99	13818	0.002843	0.002843	0.001817	0.001817
15	43	30	73	1	P999	13818	0.002843	0.002843	0.001817	0.001817
16	24	31	55	1	P1	1	-0.002726	-0.002726	0.000156	0.000156
16	24	31	55	1	P50	14744	0.002778	0.002778	0.000497	0.000497
16	24	31	55	1	P75	15978	0.000906	0.000906	0.002358	0.002358
16	24	31	55	1	P90	19497	-0.000000	-0.000000	0.001421	0.001421
16	24	31	55	1	P95	21213	0.001633	0.001633	0.003044	0.003044
16	24	31	55	1	P99	33044	-0.000449	-0.000449	0.000894	0.000894
16	24	31	55	1	P999	33044	-0.000449	-0.000449	0.000894	0.000894
17	32	32	64	1	P1	4717	0.002475	0.002475	0.000082	0.000082
17	32	32	64	1	P50	8250	0.000504	-0.000743	0.000802	-0.000133
17	32	32	64	1	P75	9819	0.000249	-0.027409	0.001446	-0.026239
17	32	32	64	1	P90	10615	0.002686	0.002686	0.000124	0.000124
17	32	32	64	1	P95	11164	0.000860	0.000860	0.000161	0.000161
17	32	32	64	1	P99	11390	-0.000488	-0.000488	0.000678	0.000678
17	32	32	64	1	P999	11390	-0.000488	-0.000488	0.000678	0.000678
18	32	32	64	1	P1	5409	0.002508	0.002508	0.001496	0.001496
18	32	32	64	1	P50	7622	-0.000235	-0.003966	0.002416	-0.001324
18	32	32	64	1	P75	8515	0.001140	-0.013721	0.000023	-0.014818
18	32	32	64	1	P90	8983	-0.001889	-0.001889	0.000720	0.000720
18	32	32	64	1	P95	9380	0.001600	0.001600	0.000460	0.000460
18	32	32	64	1	P99	9585	0.002415	0.002415	0.001269	0.001269
18	32	32	64	1	P999	9585	0.002415	0.002415	0.001269	0.001269
19	32	32	64	1	P1	5787	0.001853	0.001853	0.001229	0.001229
19	32	32	64	1	P50	9792	0.003057	-0.000686	0.002332	-0.001407
19	32	32	64	1	P75	11429	0.001752	-0.009421	0.000998	-0.010164
19	32	32	64	1	P90	12582	-0.000896	-0.000896	0.002074	0.002074
19	32	32	64	1	P95	12868	-0.000940	-0.000940	0.002025	0.002025
19	32	32	64	1	P99	13709	-0.000691	-0.000691	0.002262	0.002262
19	32	32	64	1	P999	13709	-0.000691	-0.000691	0.002262	0.002262
20	32	31	63	1	P1	5524	0.003197	0.003197	0.002889	0.002889
20	32	31	63	1	P50	9246	0.001163	0.001163	0.000832	0.000832
