key_ordinal	n	quantile	oracle	T_int_err	T_ceil_err	G_int_err	G_ceil_err
1	10	P1	172	0.001268	0.001268	0.000739	0.000739
1	10	P50	180	0.007970	-0.000750	0.001826	-0.004373
1	10	P75	183	0.008826	0.008826	-0.002290	-0.002290
1	10	P90	186	0.009954	0.001217	0.031587	-0.012271
1	10	P95	186	0.009954	0.009954	0.031587	0.031587
1	10	P99	186	0.009954	0.009954	0.031587	0.031587
1	10	P999	186	0.009954	0.009954	0.031587	0.031587
2	31	P1	42	0.004220	0.004220	0.013168	0.013168
2	31	P50	46	0.007397	0.007397	0.016374	0.016374
2	31	P75	50	0.000017	0.000017	0.008928	0.008928
2	31	P90	59	0.041713	0.041713	0.006313	0.006313
2	31	P95	115	0.025465	0.025465	0.034603	0.034603
2	31	P99	212	0.021960	0.021960	0.031067	0.031067
2	31	P999	212	0.021960	0.021960	0.031067	0.031067
3	31	P1	41	-0.009233	-0.009233	-0.006246	-0.006246
3	31	P50	44	0.000791	0.000791	0.030745	0.030745
3	31	P75	49	-0.011198	-0.011198	0.009587	0.009587
3	31	P90	50	0.003298	0.003298	0.031084	0.031084
3	31	P95	59	0.011625	0.011625	0.006313	0.006313
3	31	P99	108	0.015310	0.015310	0.009978	0.009978
3	31	P999	108	0.015310	0.015310	0.009978	0.009978
4	31	P1	40	0.001208	0.001208	-0.024707	-0.024707
4	31	P50	44	-0.007187	-0.007187	0.006407	0.006407
4	31	P75	45	-0.000722	-0.000722	0.012961	0.012961
4	31	P90	47	0.002862	0.002862	0.016594	0.016594
4	31	P95	112	0.003413	0.003413	0.017152	0.017152
4	31	P99	211	0.021960	0.021960	0.035953	0.035953
4	31	P999	211	0.021960	0.021960	0.035953	0.035953
5	17	P1	42	-0.017738	-0.017738	0.009507	0.009507
5	17	P50	45	-0.004335	-0.004335	0.000206	0.000206
5	17	P75	46	0.021698	0.021698	0.016374	0.016374
5	17	P90	52	0.007504	0.007504	0.002254	0.002254
5	17	P95	107	0.024758	0.024758	0.019417	0.019417
5	17	P99	107	0.024758	0.024758	0.019417	0.019417
5	17	P999	107	0.024758	0.024758	0.019417	0.019417
6	31	P1	42	0.019102	0.019102	0.005858	0.005858
6	31	P50	46	0.001808	0.001808	0.016374	0.016374
6	31	P75	50	0.003875	0.003875	0.008928	0.008928
6	31	P90	53	0.003531	0.003531	0.004938	0.004938
6	31	P95	109	0.021257	0.021257	0.000713	0.000713
6	31	P99	209	0.021960	0.021960	0.001402	0.001402
6	31	P999	209	0.021960	0.021960	0.001402	0.001402
7	31	P1	43	0.024065	0.024065	0.018688	0.018688
7	31	P50	48	-0.002431	-0.002431	0.020436	0.020436
7	31	P75	51	0.016203	0.016203	0.014533	0.014533
7	31	P90	62	-0.016184	-0.016184	-0.021351	-0.021351
7	31	P95	99	0.015433	0.015433	0.010101	0.010101
7	31	P99	124	0.007406	0.007406	0.002116	0.002116
7	31	P999	124	0.007406	0.007406	0.002116	0.002116
8	31	P1	41	0.026244	0.026244	0.022958	0.022958
8	31	P50	47	0.003874	0.003874	0.000660	0.000660
8	31	P75	49	0.006980	0.006980	0.003755	0.003755
8	31	P90	51	0.025189	0.025189	0.021906	0.021906
8	31	P95	101	0.037384	0.037384	0.034062	0.034062
8	31	P99	122	0.021816	0.021816	0.018544	0.018544
8	31	P999	122	0.021816	0.021816	0.018544	0.018544
9	31	P1	40	0.004007	0.004007	0.003953	0.003953
9	31	P50	46	0.012021	0.012021	0.011968	0.011968
9	31	P75	48	0.012918	0.012918	0.012864	0.012864
9	31	P90	51	-0.007215	-0.007215	-0.007267	-0.007267
9	31	P95	52	0.002307	0.002307	0.002254	0.002254
9	31	P99	110	0.035700	0.035700	0.035645	0.035645
9	31	P999	110	0.035700	0.035700	0.035645	0.035645
10	31	P1	42	0.006380	0.006380	0.005858	0.005858
10	31	P50	46	0.007478	0.007478	0.006956	0.006956
10	31	P75	48	0.022233	0.022233	0.021703	0.021703
10	31	P90	51	0.007736	0.007736	0.007214	0.007214
10	31	P95	111	0.026847	0.026847	0.026315	0.026315
10	31	P99	214	0.021960	0.021960	0.021431	0.021431
10	31	P999	214	0.021960	0.021960	0.021431	0.021431
11	31	P1	45	0.006634	0.006634	0.016635	0.016635
11	31	P50	49	-0.006119	-0.006119	0.008612	0.008612
11	31	P75	53	-0.012127	-0.012127	-0.005918	-0.005918
11	31	P90	55	0.016053	0.016053	0.033604	0.033604
11	31	P95	62	0.026812	0.026812	0.000141	0.000141
11	31	P99	94	0.001305	0.001305	0.018601	0.018601
11	31	P999	94	0.001305	0.001305	0.018601	0.018601
12	31	P1	41	0.009140	0.009140	0.022958	0.022958
12	31	P50	45	-0.003303	-0.003303	0.010344	0.010344
12	31	P75	48	0.025571	0.025571	0.039614	0.039614
12	31	P90	53	0.013134	0.013134	0.027006	0.027006
12	31	P95	113	0.038693	0.038693	0.008150	0.008150
12	31	P99	211	0.021960	0.021960	0.035953	0.035953
12	31	P999	211	0.021960	0.021960	0.035953	0.035953
13	31	P1	43	0.000000	0.000000	-0.003202	-0.003202
13	31	P50	49	-0.003898	-0.003898	0.001940	0.001940
13	31	P75	51	-0.009830	-0.009830	0.002363	0.002363
13	31	P90	52	0.005474	0.005474	0.002254	0.002254
13	31	P95	63	0.031272	0.031272	0.027969	0.027969
13	31	P99	97	0.034240	0.034240	0.030928	0.030928
13	31	P999	97	0.034240	0.034240	0.030928	0.030928
14	31	P1	41	-0.008811	-0.008811	0.022958	0.022958
14	31	P50	45	0.014989	0.014989	0.011739	0.011739
14	31	P75	49	-0.003383	-0.003383	0.000852	0.000852
14	31	P90	50	0.001235	0.001235	0.042344	0.042344
14	31	P95	59	0.009545	0.009545	0.006313	0.006313
14	31	P99	114	0.002517	0.002517	0.043679	0.043679
14	31	P999	114	0.002517	0.002517	0.043679	0.043679
15	31	P1	42	-0.017738	-0.017738	0.013168	0.013168
15	31	P50	47	-0.000040	-0.000040	0.016594	0.016594
15	31	P75	51	0.012490	0.012490	0.010867	0.010867
15	31	P90	54	0.013268	0.013268	0.007988	0.007988
15	31	P95	111	0.031692	0.031692	0.026315	0.026315
15	31	P99	120	0.040944	0.040944	0.035520	0.035520
15	31	P999	120	0.040944	0.040944	0.035520	0.035520
16	31	P1	42	0.001810	0.001810	0.004819	0.004819
16	31	P50	45	0.015479	0.015479	0.012227	0.012227
16	31	P75	48	0.009518	0.009518	0.009935	0.009935
16	31	P90	51	0.025189	0.025189	0.021906	0.021906
16	31	P95	57	0.000542	0.000542	0.041622	0.041622
16	31	P99	109	0.003927	0.003927	0.000713	0.000713
16	31	P999	109	0.003927	0.003927	0.000713	0.000713
17	31	P1	41	-0.006810	-0.006810	0.000976	0.000976
17	31	P50	46	0.021698	0.021698	0.021908	0.021908
17	31	P75	50	-0.014027	-0.014027	0.005282	0.005282
17	31	P90	51	0.012490	0.012490	0.014533	0.014533
17	31	P95	61	0.021862	0.021862	0.016537	0.016537
17	31	P99	109	0.005955	0.005955	0.000713	0.000713
17	31	P999	109	0.005955	0.005955	0.000713	0.000713
18	31	P1	40	0.007179	0.007179	0.003953	0.003953
18	31	P50	45	0.011876	0.011876	0.008636	0.008636
18	31	P75	47	0.019860	0.019860	0.016594	0.016594
18	31	P90	51	0.025189	0.025189	0.021906	0.021906
18	31	P95	54	0.011226	0.011226	0.007988	0.007988
18	31	P99	112	0.020419	0.020419	0.017152	0.017152
18	31	P999	112	0.020419	0.020419	0.017152	0.017152
19	31	P1	42	0.021960	0.021960	0.020531	0.020531
19	31	P50	47	0.010673	0.010673	0.003430	0.003430
19	31	P75	49	0.015402	0.015402	0.018397	0.018397
19	31	P90	54	0.031566	0.031566	0.007988	0.007988
19	31	P95	106	0.008333	0.008333	0.029035	0.029035
19	31	P99	118	0.031885	0.031885	0.008300	0.008300
19	31	P999	118	0.031885	0.031885	0.008300	0.008300
20	31	P1	41	-0.007865	-0.007865	0.000976	0.000976
20	31	P50	45	-0.000273	-0.000273	0.008636	0.008636
20	31	P75	48	0.030432	0.030432	0.039614	0.039614
20	31	P90	51	0.012880	0.012880	0.013065	0.013065
20	31	P95	111	0.017251	0.017251	0.026315	0.026315
20	31	P99	212	0.021960	0.021960	0.031067	0.031067
20	31	P999	212	0.021960	0.021960	0.031067	0.031067
21	31	P1	40	0.023249	0.023249	0.003953	0.003953
21	31	P50	45	0.000779	0.000779	0.012227	0.012227
21	31	P75	49	0.037970	0.037970	0.018397	0.018397
21	31	P90	62	0.019363	0.019363	0.000141	0.000141
21	31	P95	109	0.019946	0.019946	0.000713	0.000713
21	31	P99	218	0.021960	0.021960	0.002689	0.002689
21	31	P999	218	0.021960	0.021960	0.002689	0.002689
22	31	P1	45	-0.007215	-0.007215	-0.012388	-0.012388
22	31	P50	48	-0.007489	-0.007489	0.013598	0.013598
22	31	P75	51	-0.005673	-0.005673	-0.010855	-0.010855
22	31	P90	53	0.032386	0.032386	0.027006	0.027006
22	31	P95	55	0.039019	0.039019	0.033604	0.033604
22	31	P99	97	0.036328	0.036328	0.030928	0.030928
22	31	P999	97	0.036328	0.036328	0.030928	0.030928
23	31	P1	41	0.018705	0.018705	0.022958	0.022958
23	31	P50	46	-0.003434	-0.003434	0.000725	0.000725
23	31	P75	48	0.020407	0.020407	0.024667	0.024667
23	31	P90	57	0.015002	0.015002	0.019239	0.019239
23	31	P95	63	0.023696	0.023696	0.027969	0.027969
23	31	P99	213	0.021960	0.021960	0.026226	0.026226
23	31	P999	213	0.021960	0.021960	0.026226	0.026226
24	31	P1	40	0.007179	0.007179	0.003953	0.003953
24	31	P50	48	0.002960	0.002960	0.001612	0.001612
24	31	P75	50	-0.003105	-0.003105	0.015524	0.015524
24	31	P90	56	-0.003476	-0.003476	-0.006667	-0.006667
24	31	P95	105	0.042172	0.042172	0.038835	0.038835
24	31	P99	113	0.011389	0.011389	0.008150	0.008150
24	31	P999	113	0.011389	0.011389	0.008150	0.008150
25	31	P1	40	-0.003332	-0.003332	-0.017620	-0.017620
25	31	P50	45	-0.001645	-0.001645	0.004093	0.004093
25	31	P75	47	0.009217	0.009217	0.010304	0.010304
25	31	P90	52	0.016831	0.016831	0.002254	0.002254
25	31	P95	108	0.024668	0.024668	0.009978	0.009978
25	31	P99	217	0.021960	0.021960	0.007309	0.007309
25	31	P999	217	0.021960	0.021960	0.007309	0.007309
26	32	P1	949	-0.007368	-0.007368	-0.012739	-0.012739
26	32	P50	1016	-0.000756	-0.004090	0.000837	-0.002503
26	32	P75	1041	0.012141	0.007267	0.003269	-0.000079
26	32	P90	1070	0.023480	0.023480	0.010598	0.010598
26	32	P95	1128	0.006648	0.006648	0.009938	0.009938
26	32	P99	1149	0.009951	0.009951	0.035504	0.035504
26	32	P999	1149	0.009951	0.009951	0.035504	0.035504
27	24	P1	1	-0.010802	-0.010802	0.010920	0.010920
27	24	P50	38	0.034084	-0.203202	0.011864	-0.185704
