file	bpd	bound	scope	arm	conv	quantile	n	p50	p95	p99	max	within_bound	mean_signed
ScriptLog-DPMExtended-clean.log	53	0.044403	key	T	binning	P1	95	0.014422	0.034802	0.034802	0.034802	1.000000	0.008719
ScriptLog-DPMExtended-clean.log	53	0.044403	key	T	raw	P1	95	0.014422	0.034802	0.034802	0.034802	1.000000	0.008719
ScriptLog-DPMExtended-clean.log	53	0.044403	key	T	binning	P50	95	0.016219	0.032457	0.035141	0.035141	1.000000	-0.005156
ScriptLog-DPMExtended-clean.log	53	0.044403	key	T	raw	P50	95	0.016219	0.032457	0.035141	0.035141	1.000000	-0.005362
ScriptLog-DPMExtended-clean.log	53	0.044403	key	T	binning	P75	95	0.007716	0.020839	0.033552	0.033552	1.000000	-0.001807
ScriptLog-DPMExtended-clean.log	53	0.044403	key	T	raw	P75	95	0.007716	0.020839	0.033552	0.033552	1.000000	-0.001955
ScriptLog-DPMExtended-clean.log	53	0.044403	key	T	binning	P90	95	0.010001	0.024693	0.030233	0.030233	1.000000	0.010269
ScriptLog-DPMExtended-clean.log	53	0.044403	key	T	raw	P90	95	0.010001	0.024693	0.030233	0.030233	1.000000	0.010269
ScriptLog-DPMExtended-clean.log	53	0.044403	key	T	binning	P95	95	0.016724	0.033164	0.039283	0.039283	1.000000	0.016364
ScriptLog-DPMExtended-clean.log	53	0.044403	key	T	raw	P95	95	0.016724	0.033164	0.039283	0.039283	1.000000	0.016364
ScriptLog-DPMExtended-clean.log	53	0.044403	key	T	binning	P99	95	0.021960	0.038893	0.044277	0.044277	1.000000	0.021869
ScriptLog-DPMExtended-clean.log	53	0.044403	key	T	raw	P99	95	0.021960	0.038893	0.044277	0.044277	1.000000	0.021869
ScriptLog-DPMExtended-clean.log	53	0.044403	key	T	binning	P999	95	0.025232	0.039969	0.044081	0.044081	1.000000	0.022986
ScriptLog-DPMExtended-clean.log	53	0.044403	key	T	raw	P999	95	0.025232	0.039969	0.044081	0.044081	1.000000	0.022986
ScriptLog-DPMExtended-clean.log	53	0.044403	key	G	binning	P1	95	0.034368	0.044403	0.044403	0.044403	1.000000	0.018347
ScriptLog-DPMExtended-clean.log	53	0.044403	key	G	raw	P1	95	0.034368	0.044403	0.044403	0.044403	1.000000	0.018347
