group	step	n_union	remaps_so_far	quantile	oracle	T_int_err	T_ceil_err	G_int_err	G_ceil_err
1	1	61	1	P1	1	-0.015000	-0.015000	0.000925	0.000925
1	1	61	1	P50	1	0.012725	0.012725	0.029070	0.029070
1	1	61	1	P75	1	0.026879	0.026879	0.043438	0.043438
1	1	61	1	P90	4	0.006703	0.006703	-0.021878	-0.021878
1	1	61	1	P95	4	0.019922	0.019922	-0.009047	-0.009047
1	1	61	1	P99	4	0.033316	0.033316	0.003953	0.003953
1	1	61	1	P999	4	0.033316	0.033316	0.003953	0.003953
1	2	75	2	P1	1	-0.003176	-0.003176	0.000925	0.000925
1	2	75	2	P50	1	0.031615	0.031615	0.035750	0.035750
1	2	75	2	P75	4	-0.024636	-0.024636	-0.031106	-0.031106
1	2	75	2	P90	4	0.017330	0.017330	-0.009829	-0.009829
1	2	75	2	P95	4	0.035219	0.035219	-0.001977	-0.001977
1	2	75	2	P99	4	0.048842	0.048842	0.003953	0.003953
1	2	75	2	P999	4	0.048842	0.048842	0.003953	0.003953
1	3	89	3	P1	1	-0.003176	-0.003176	0.000925	0.000925
1	3	89	3	P50	1	0.038333	0.038333	0.042474	0.042474
1	3	89	3	P75	4	-0.018456	-0.018456	-0.024707	-0.024707
1	3	89	3	P90	4	0.012906	0.012906	-0.006565	-0.006565
1	3	89	3	P95	4	0.030717	0.030717	-0.001319	-0.001319
1	3	89	3	P99	4	0.048842	0.048842	0.003953	0.003953
1	3	89	3	P999	4	0.048842	0.048842	0.003953	0.003953
1	4	103	4	P1	1	-0.002251	-0.002251	0.001850	0.001850
1	4	103	4	P50	3	-0.025382	-0.025382	0.007287	0.007287
1	4	103	4	P75	4	-0.014463	-0.014463	-0.019988	-0.019988
1	4	103	4	P90	4	0.004116	0.004116	-0.005692	-0.005692
1	4	103	4	P95	4	0.026235	0.026235	-0.000881	-0.000881
1	4	103	4	P99	4	0.044281	0.044281	0.002985	0.002985
1	4	103	4	P999	4	0.048842	0.048842	0.003953	0.003953
1	5	108	5	P1	1	-0.002429	-0.002429	0.001672	0.001672
