key_ordinal	n	quantile	oracle	T_int	T_int_err	T_ceil	T_ceil_err	G_int	G_int_err	G_ceil	G_ceil_err
1	334	P1	1	0.979024	-0.020976	0.979024	-0.020976	1.000524	0.000524	1.000524	0.000524
1	334	P50	1	1.000262	0.000262	1.000131	0.000131	1.022228	0.022228	1.022094	0.022094
1	334	P75	1	1.011185	0.011185	1.011185	0.011185	1.033391	0.033391	1.033391	0.033391
1	334	P90	1	1.017823	0.017823	1.017823	0.017823	1.040174	0.040174	1.040174	0.040174
1	334	P95	1	1.020090	0.020090	1.020090	0.020090	1.042491	0.042491	1.042491	0.042491
1	334	P99	1	1.021826	0.021826	1.021826	0.021826	1.044266	0.044266	1.044266	0.044266
1	334	P999	46	46.753198	0.016374	46.753198	0.016374	47.779905	0.038694	47.779905	0.038694
2	516	P1	3	2.893670	-0.035443	2.893670	-0.035443	2.968907	-0.010364	2.968907	-0.010364
2	516	P50	4	3.975484	-0.006129	3.975018	-0.006245	3.905437	-0.023641	3.904980	-0.023755
2	516	P75	4	4.035994	0.008999	4.035522	0.008880	3.964881	-0.008780	3.964417	-0.008896
2	516	P90	4	4.072551	0.018138	4.072551	0.018138	4.000794	0.000198	4.000794	0.000198
2	516	P95	4	4.084969	0.021242	4.084969	0.021242	4.012993	0.003248	4.012993	0.003248
2	516	P99	5	5.040852	0.008170	5.040852	0.008170	5.171916	0.034383	5.171916	0.034383
2	516	P999	45	46.569087	0.034869	46.569087	0.034869	45.748553	0.016635	45.748553	0.016635
3	516	P1	3	2.940476	-0.019841	2.940476	-0.019841	2.967758	-0.010747	2.967758	-0.010747
3	516	P50	4	4.029576	0.007394	4.029085	0.007271	3.894056	-0.026486	3.893582	-0.026604
3	516	P75	4	4.093333	0.023333	4.092835	0.023209	3.955670	-0.011083	3.955188	-0.011203
3	516	P90	4	4.131870	0.032968	4.131870	0.032968	3.992910	-0.001772	3.992910	-0.001772
3	516	P95	4	4.144964	0.036241	4.144964	0.036241	4.005564	0.001391	4.005564	0.001391
3	516	P99	4	4.155065	0.038766	4.155065	0.038766	4.015325	0.003831	4.015325	0.003831
3	516	P999	43	43.400888	0.009323	43.400888	0.009323	43.803563	0.018688	43.803563	0.018688
4	303	P1	3	2.917360	-0.027547	2.917360	-0.027547	2.993213	-0.002262	2.993213	-0.002262
4	303	P50	4	4.007335	0.001834	4.007335	0.001834	3.936727	-0.015818	3.936727	-0.015818
4	303	P75	4	4.060827	0.015207	4.060827	0.015207	3.989277	-0.002681	3.989277	-0.002681
4	303	P90	5	4.903828	-0.019234	4.903828	-0.019234	5.031330	0.006266	5.031330	0.006266
4	303	P95	5	4.990964	-0.001807	4.990964	-0.001807	5.120731	0.024146	5.120731	0.024146
4	303	P99	5	5.061786	0.012357	5.061786	0.012357	5.193394	0.038679	5.193394	0.038679
4	303	P999	5	5.079648	0.015930	5.079648	0.015930	5.211721	0.042344	5.211721	0.042344
5	515	P1	3	2.893398	-0.035534	2.893398	-0.035534	2.968628	-0.010457	2.968628	-0.010457
5	515	P50	4	3.972544	-0.006864	3.972544	-0.006864	3.902549	-0.024363	3.902549	-0.024363
5	515	P75	4	4.033340	0.008335	4.033340	0.008335	3.962274	-0.009432	3.962274	-0.009432
5	515	P90	4	4.070072	0.017518	4.070072	0.017518	3.998358	-0.000410	3.998358	-0.000410
5	515	P95	4	4.082550	0.020637	4.082550	0.020637	4.010616	0.002654	4.010616	0.002654
5	515	P99	5	5.012196	0.002439	5.012196	0.002439	5.142516	0.028503	5.142516	0.028503
5	515	P999	32	32.896851	0.028027	32.896851	0.028027	32.317218	0.009913	32.317218	0.009913
6	514	P1	3	2.897357	-0.034214	2.897357	-0.034214	2.972689	-0.009104	2.972689	-0.009104
6	514	P50	4	3.994785	-0.001304	3.994332	-0.001417	3.924398	-0.018900	3.923953	-0.019012
6	514	P75	4	4.053211	0.013303	4.053211	0.013303	3.981794	-0.004551	3.981794	-0.004551
6	514	P90	5	4.871821	-0.025636	4.871821	-0.025636	4.998491	-0.000302	4.998491	-0.000302
6	514	P95	5	4.978807	-0.004239	4.978807	-0.004239	5.108258	0.021652	5.108258	0.021652
6	514	P99	5	5.062700	0.012540	5.062700	0.012540	5.194333	0.038867	5.194333	0.038867
6	514	P999	7	7.190796	0.027257	7.190796	0.027257	7.064096	0.009157	7.064096	0.009157
7	100	P1	3	2.912890	-0.029037	2.900263	-0.033246	2.988627	-0.003791	2.975671	-0.008110
7	100	P50	4	3.997932	-0.000517	3.995865	-0.001034	3.927489	-0.018128	3.925458	-0.018635
7	100	P75	4	4.049961	0.012490	4.047867	0.011967	3.978602	-0.005350	3.976544	-0.005864
7	100	P90	4	4.081503	0.020376	4.079392	0.019848	4.009588	0.002397	4.007515	0.001879
7	100	P95	5	4.934634	-0.013073	4.899032	-0.020194	5.062937	0.012587	5.026409	0.005282
7	100	P99	5	5.079648	0.015930	5.042999	0.008600	5.211721	0.042344	5.174120	0.034824
7	100	P999	5	5.079648	0.015930	5.079648	0.015930	5.211721	0.042344	5.211721	0.042344
8	205	P1	3	2.898463	-0.033846	2.898463	-0.033846	2.973825	-0.008725	2.973825	-0.008725
8	205	P50	4	3.985193	-0.003702	3.985193	-0.003702	3.914975	-0.021256	3.914975	-0.021256
8	205	P75	4	4.039399	0.009850	4.039399	0.009850	3.968226	-0.007943	3.968226	-0.007943
8	205	P90	4	4.072708	0.018177	4.072708	0.018177	4.000948	0.000237	4.000948	0.000237
8	205	P95	4	4.083511	0.020878	4.083511	0.020878	4.011561	0.002890	4.011561	0.002890
