pair	n_a	n_b	n_union	remap	quantile	oracle	T_int_err	T_ceil_err	G_int_err	G_ceil_err
1	47	14	61	1	P1	1	-0.015000	-0.015000	0.000925	0.000925
1	47	14	61	1	P50	1	0.012725	0.012725	0.029070	0.029070
1	47	14	61	1	P75	1	0.026879	0.026879	0.043438	0.043438
1	47	14	61	1	P90	4	0.006703	0.006703	-0.021878	-0.021878
1	47	14	61	1	P95	4	0.019922	0.019922	-0.009047	-0.009047
1	47	14	61	1	P99	4	0.033316	0.033316	0.003953	0.003953
1	47	14	61	1	P999	4	0.033316	0.033316	0.003953	0.003953
2	14	14	28	0	P1	3	-0.029037	-0.029037	-0.003791	-0.003791
2	14	14	28	0	P50	4	-0.002829	-0.004711	-0.020399	-0.022248
2	14	14	28	0	P75	4	0.010443	0.008536	-0.007361	-0.009234
2	14	14	28	0	P90	4	0.018107	0.018107	0.000168	0.000168
2	14	14	28	0	P95	4	0.020032	0.020032	0.002059	0.002059
2	14	14	28	0	P99	4	0.021960	0.021960	0.003953	0.003953
2	14	14	28	0	P999	4	0.021960	0.021960	0.003953	0.003953
3	14	5	19	1	P1	1	0.004618	0.004618	0.008727	0.008727
3	14	5	19	1	P50	4	-0.028171	-0.028171	-0.028232	-0.028232
3	14	5	19	1	P75	4	-0.010364	-0.010364	-0.010481	-0.010481
3	14	5	19	1	P90	4	0.000477	0.000477	0.000325	0.000325
3	14	5	19	1	P95	4	0.004116	0.004116	0.003953	0.003953
3	14	5	19	1	P99	4	0.004116	0.004116	0.003953	0.003953
3	14	5	19	1	P999	4	0.004116	0.004116	0.003953	0.003953
4	4	2	6	0	P1	1	-0.014377	-0.014377	0.007267	0.007267
4	4	2	6	0	P50	1	0.007267	0.000000	0.029387	0.021960
4	4	2	6	0	P75	1	0.014587	0.014587	0.036868	0.036868
4	4	2	6	0	P90	1	0.021960	0.021960	0.044403	0.044403
4	4	2	6	0	P95	1	0.021960	0.021960	0.044403	0.044403
4	4	2	6	0	P99	1	0.021960	0.021960	0.044403	0.044403
4	4	2	6	0	P999	1	0.021960	0.021960	0.044403	0.044403
5	5	19	24	1	P1	1	0.000553	0.000553	0.002719	0.002719
5	5	19	24	1	P50	1	0.033807	0.030994	0.035929	0.033120
5	5	19	24	1	P75	2	-0.024763	-0.030062	-0.024866	-0.030147
5	5	19	24	1	P90	2	-0.008689	-0.008689	-0.008849	-0.008849
5	5	19	24	1	P95	2	-0.003272	-0.003272	-0.003452	-0.003452
5	5	19	24	1	P99	2	0.002174	0.002174	0.001975	0.001975
5	5	19	24	1	P999	2	0.002174	0.002174	0.001975	0.001975
6	21	13	34	1	P1	1	-0.012462	-0.012462	0.003348	0.003348
6	21	13	34	1	P50	15	-0.019262	-0.021924	-0.006294	-0.008989
6	21	13	34	1	P75	15	0.002298	0.002298	0.015528	0.015528
6	21	13	34	1	P90	15	0.016012	0.016012	0.029409	0.029409
6	21	13	34	1	P95	16	-0.005151	-0.005151	0.007923	0.007923
6	21	13	34	1	P99	18	0.007549	0.007549	0.020654	0.020654
6	21	13	34	1	P999	18	0.007549	0.007549	0.020654	0.020654
7	7	21	28	1	P1	1	0.000378	0.000378	0.006226	0.006226
7	7	21	28	1	P50	8	0.001006	-0.003828	0.001092	-0.003729
7	7	21	28	1	P75	9	-0.003019	-0.006632	-0.003247	-0.006849
7	7	21	28	1	P90	9	0.011564	0.011564	0.011293	0.011293
7	7	21	28	1	P95	9	0.015243	0.015243	0.014961	0.014961
7	7	21	28	1	P99	9	0.018936	0.018936	0.018642	0.018642
7	7	21	28	1	P999	9	0.018936	0.018936	0.018642	0.018642
8	8	18	26	0	P1	1	-0.019852	-0.019852	0.001672	0.001672
8	8	18	26	0	P50	1	0.001672	0.000000	0.023669	0.021960
8	8	18	26	0	P75	1	0.011765	0.011765	0.033984	0.033984
8	8	18	26	0	P90	1	0.018551	0.018551	0.040918	0.040918
8	8	18	26	0	P95	1	0.020254	0.020254	0.042659	0.042659
8	8	18	26	0	P99	1	0.021960	0.021960	0.044403	0.044403
8	8	18	26	0	P999	1	0.021960	0.021960	0.044403	0.044403
9	15	20	35	0	P1	1	-0.020273	-0.020273	0.001242	0.001242
9	15	20	35	0	P50	1	0.000621	0.000621	0.022595	0.022595
9	15	20	35	0	P75	1	0.011862	0.011862	0.034083	0.034083
9	15	20	35	0	P90	1	0.018162	0.018162	0.040521	0.040521
9	15	20	35	0	P95	1	0.020692	0.020692	0.043107	0.043107
9	15	20	35	0	P99	1	0.021960	0.021960	0.044403	0.044403
9	15	20	35	0	P999	1	0.021960	0.021960	0.044403	0.044403
10	17	11	28	0	P1	1	-0.019969	-0.019969	0.001553	0.001553
10	17	11	28	0	P50	1	0.001553	0.000000	0.023547	0.021960
10	17	11	28	0	P75	1	0.012490	0.010920	0.034725	0.033120
10	17	11	28	0	P90	1	0.018794	0.018794	0.041167	0.041167
10	17	11	28	0	P95	1	0.020376	0.020376	0.042783	0.042783
10	17	11	28	0	P99	1	0.021960	0.021960	0.044403	0.044403
10	17	11	28	0	P999	1	0.021960	0.021960	0.044403	0.044403
11	6	12	18	0	P1	1	-0.019124	-0.019124	0.002417	0.002417
11	6	12	18	0	P50	1	0.002417	0.000000	0.024430	0.021960
11	6	12	18	0	P75	1	0.012141	0.012141	0.034368	0.034368
11	6	12	18	0	P90	1	0.019497	0.019497	0.041885	0.041885
11	6	12	18	0	P95	1	0.021960	0.021960	0.044403	0.044403
11	6	12	18	0	P99	1	0.021960	0.021960	0.044403	0.044403
11	6	12	18	0	P999	1	0.021960	0.021960	0.044403	0.044403
12	9	9	18	0	P1	1	-0.019124	-0.019124	0.002417	0.002417
12	9	9	18	0	P50	1	0.002417	0.000000	0.024430	0.021960
12	9	9	18	0	P75	1	0.012141	0.012141	0.034368	0.034368
12	9	9	18	0	P90	1	0.019497	0.019497	0.041885	0.041885
12	9	9	18	0	P95	1	0.021960	0.021960	0.044403	0.044403
12	9	9	18	0	P99	1	0.021960	0.021960	0.044403	0.044403
12	9	9	18	0	P999	1	0.021960	0.021960	0.044403	0.044403
13	8	20	28	1	P1	1	-0.015480	-0.015480	0.005445	0.005445
13	8	20	28	1	P50	12	0.004529	-0.000309	0.025570	0.020632
13	8	20	28	1	P75	13	0.004750	-0.000693	0.025786	0.020230
13	8	20	28	1	P90	14	0.034403	0.034403	0.011149	0.011149
13	8	20	28	1	P95	15	-0.013353	-0.013353	0.007289	0.007289
13	8	20	28	1	P99	15	0.008316	0.008316	0.029409	0.029409
13	8	20	28	1	P999	15	0.008316	0.008316	0.029409	0.029409
14	20	8	28	1	P1	1	-0.010274	-0.010274	0.005445	0.005445
14	20	8	28	1	P50	73	-0.016377	-0.020258	-0.005189	-0.009110
14	20	8	28	1	P75	75	0.004903	-0.005964	0.016282	0.005304
14	20	8	28	1	P90	81	0.026118	0.026118	0.015335	0.015335
14	20	8	28	1	P95	84	0.033452	0.033452	0.000574	0.000574
14	20	8	28	1	P99	95	-0.003170	-0.003170	0.007879	0.007879
14	20	8	28	1	P999	95	-0.003170	-0.003170	0.007879	0.007879
15	7	8	15	0	P1	1	-0.018650	-0.018650	0.002901	0.002901
15	7	8	15	0	P50	1	0.001449	0.001449	0.023441	0.023441
