key_ordinal	n	quantile	oracle	T_int_err	T_ceil_err	G_int_err	G_ceil_err
1	47	P1	1	-0.020583	-0.020583	0.000925	0.000925
1	47	P50	1	0.000462	0.000462	0.022433	0.022433
1	47	P75	1	0.011622	0.011622	0.033837	0.033837
1	47	P90	1	0.018188	0.018188	0.040548	0.040548
1	47	P95	1	0.020073	0.020073	0.042474	0.042474
1	47	P99	1	0.021960	0.021960	0.044403	0.044403
1	47	P999	1	0.021960	0.021960	0.044403	0.044403
2	14	P1	3	-0.010802	-0.010802	-0.001625	-0.001625
2	14	P50	4	0.012162	0.007774	-0.021878	-0.026119
2	14	P75	4	0.025440	0.025440	-0.009047	-0.009047
2	14	P90	4	0.034389	0.034389	-0.000399	-0.000399
2	14	P95	4	0.038893	0.038893	0.003953	0.003953
2	14	P99	4	0.038893	0.038893	0.003953	0.003953
2	14	P999	4	0.038893	0.038893	0.003953	0.003953
3	14	P1	3	-0.016299	-0.016299	0.009278	0.009278
3	14	P50	4	0.000000	-0.003614	-0.017620	-0.021170
3	14	P75	4	0.010920	0.010920	-0.006892	-0.006892
3	14	P90	4	0.018267	0.018267	0.000325	0.000325
3	14	P95	4	0.021960	0.021960	0.003953	0.003953
3	14	P99	4	0.021960	0.021960	0.003953	0.003953
3	14	P999	4	0.021960	0.021960	0.003953	0.003953
4	14	P1	3	-0.023396	-0.023396	0.001996	0.001996
4	14	P50	4	-0.001973	-0.005907	-0.019558	-0.023422
4	14	P75	4	0.009923	0.009923	-0.007872	-0.007872
4	14	P90	4	0.017932	0.017932	-0.000004	-0.000004
4	14	P95	4	0.021960	0.021960	0.003953	0.003953
4	14	P99	4	0.021960	0.021960	0.003953	0.003953
4	14	P999	4	0.021960	0.021960	0.003953	0.003953
5	14	P1	3	-0.016299	-0.016299	0.009278	0.009278
5	14	P50	4	0.000000	-0.003614	-0.017620	-0.021170
5	14	P75	4	0.010920	0.010920	-0.006892	-0.006892
5	14	P90	4	0.018267	0.018267	0.000325	0.000325
5	14	P95	4	0.021960	0.021960	0.003953	0.003953
5	14	P99	4	0.021960	0.021960	0.003953	0.003953
5	14	P999	4	0.021960	0.021960	0.003953	0.003953
6	5	P1	1	-0.012949	-0.012949	0.008727	0.008727
6	5	P50	1	0.004354	0.004354	0.026410	0.026410
6	5	P75	1	0.013119	0.013119	0.035367	0.035367
6	5	P90	1	0.021960	0.021960	0.044403	0.044403
6	5	P95	1	0.021960	0.021960	0.044403	0.044403
6	5	P99	1	0.021960	0.021960	0.044403	0.044403
6	5	P999	1	0.021960	0.021960	0.044403	0.044403
7	4	P1	1	-0.010802	-0.010802	0.010920	0.010920
7	4	P50	1	0.010920	0.000000	0.033120	0.021960
7	4	P75	1	0.021960	0.010920	0.044403	0.033120
7	4	P90	1	0.021960	0.021960	0.044403	0.044403
7	4	P95	1	0.021960	0.021960	0.044403	0.044403
7	4	P99	1	0.021960	0.021960	0.044403	0.044403
7	4	P999	1	0.021960	0.021960	0.044403	0.044403
