bpd	arm	test	key_or_pair	N	canonical_same	max_rel_diff	max_bins
53	T	ordering	0	31	0	0.0339315	0.764
53	T	ordering	1	31	0	0.0212766	0.479
53	T	ordering	2	31	0	0.0227547	0.512
53	T	ordering	3	31	0	0.0288962	0.651
53	T	ordering	4	31	0	0.0221812	0.500
53	T	ordering	5	31	0	0.0123869	0.279
53	T	ordering	6	31	0	0.0275227	0.620
53	T	ordering	7	31	0	0.0206257	0.465
53	T	ordering	8	31	0	0.0394673	0.889
53	T	ordering	9	31	0	0.0158999	0.358
53	T	ordering	10	31	0	0.0201288	0.453
53	T	ordering	11	31	0	0.0232558	0.524
53	T	ordering	12	31	0	0.0287766	0.648
53	T	ordering	13	31	0	0.02338	0.527
53	T	ordering	14	31	0	0.0213176	0.480
53	T	ordering	15	31	0	0.0242865	0.547
53	T	ordering	16	31	0	0.0259182	0.584
53	T	ordering	17	31	0	0.0289222	0.651
53	T	ordering	18	31	0	0.0137176	0.309
53	T	ordering	19	31	0	0.0287766	0.648
53	T	ordering	20	31	0	0.0354291	0.798
53	T	ordering	21	31	0	0.0242865	0.547
53	T	ordering	22	31	0	0.015297	0.345
53	T	ordering	23	32	0	0.0188111	0.424
53	T	ordering	24	24	0	0.0363216	0.818
53	T	ordering	25	28	0	0.0409443	0.922
53	T	ordering	26	43	0	0.0389362	0.877
53	T	ordering	27	30	0	0.00239725	0.054
53	T	ordering	28	24	1	0	0.000
53	T	ordering	29	31	0	0.0390323	0.879
53	T	ordering	30	32	0	0.0216871	0.488
53	T	ordering	31	32	0	0.0335651	0.756
53	T	ordering	32	32	0	0.0295665	0.666
53	T	ordering	33	32	0	0.013228	0.298
53	T	ordering	34	32	0	0.0124069	0.279
53	T	ordering	35	32	0	0.00584105	0.132
53	T	ordering	36	32	0	0.00796583	0.179
53	T	ordering	37	31	0	0.0288726	0.650
53	T	ordering	38	32	0	0.0277479	0.625
53	T	ordering	39	623	0	0.0323943	0.730
53	T	ordering	40	31	0	0.0294091	0.662
53	T	ordering	41	31	0	0.0347946	0.784
53	T	ordering	42	31	0	0.0304835	0.687
53	T	ordering	43	31	0	0.0385713	0.869
53	T	ordering	44	623	0	0.0019709	0.044
53	T	ordering	45	31	0	0.0125655	0.283
53	T	ordering	46	31	0	0.0320512	0.722
53	T	ordering	47	31	0	0.0213589	0.481
53	T	ordering	48	623	0	0.0019709	0.044
53	T	ordering	49	31	0	0.0370994	0.836
53	T	ordering	50	31	0	0.00933998	0.210
53	T	ordering	51	31	0	0.0225672	0.508
53	T	ordering	52	623	0	0.0266505	0.600
53	T	ordering	53	31	0	0.0162987	0.367
53	T	ordering	54	31	0	0.0182441	0.411
53	T	ordering	55	623	0	0.0273802	0.617
53	T	ordering	56	31	0	0.0367204	0.827
53	T	ordering	57	31	0	0.0160085	0.361
53	T	ordering	58	623	1	0	0.000
53	T	ordering	59	31	0	0.00593609	0.134
53	T	ordering	60	31	0	0.0297302	0.670
53	T	ordering	61	623	0	0.0294091	0.662
53	T	ordering	62	31	0	0.0105699	0.238
53	T	ordering	63	31	0	0.0185371	0.417
53	T	ordering	64	31	0	0.0329528	0.742
53	T	ordering	65	623	0	0.0285689	0.643
53	T	ordering	66	623	0	0.00197479	0.044
53	T	ordering	67	31	0	0.0019709	0.044
53	T	ordering	68	31	0	0.0129921	0.293
53	T	ordering	69	623	1	0	0.000
