bpd	arm	test	key_or_pair	N	canonical_same	max_rel_diff	max_bins
53	T	ordering	0	47	1	0	0.000
53	T	ordering	1	21	1	0	0.000
53	T	ordering	2	21	0	0.0124735	0.281
53	T	ordering	3	20	1	0	0.000
53	T	ordering	4	20	0	0.00687079	0.155
53	T	ordering	5	20	0	0.034084	0.768
53	T	ordering	6	20	0	0.00197479	0.044
53	T	ordering	7	21	0	0.0363636	0.819
53	T	ordering	8	334	1	0	0.000
53	T	ordering	9	34	0	0.0165687	0.373
53	T	ordering	10	516	0	0.0266505	0.600
53	T	ordering	11	516	0	0.0273802	0.617
53	T	ordering	12	303	1	0	0.000
53	T	ordering	13	515	0	0.0266505	0.600
53	T	ordering	14	514	1	0	0.000
53	T	ordering	15	100	0	0.0165687	0.373
53	T	ordering	16	205	1	0	0.000
53	T	ordering	17	272	0	0.021176	0.477
53	T	ordering	18	525	0	0.025289	0.570
53	T	ordering	19	595	0	0.0032015	0.072
53	T	ordering	20	533	0	0.0382395	0.861
53	T	ordering	21	1501	0	0.0235343	0.530
53	T	ordering	22	518	0	0.0355197	0.800
53	T	ordering	23	21	0	0.00850517	0.192
53	T	ordering	24	140	1	0	0.000
53	T	ordering	25	38	0	0.00857813	0.193
53	T	ordering	26	82	0	0.0165687	0.373
53	T	ordering	27	123	1	0	0.000
53	T	ordering	28	146	1	0	0.000
53	T	ordering	29	38	0	0.00850517	0.192
53	T	ordering	30	601	1	0	0.000
53	T	ordering	31	662	0	0.0032015	0.072
53	T	ordering	32	776	0	0.00857813	0.193
53	T	ordering	33	61	0	0.00857813	0.193
53	T	ordering	34	194	1	0	0.000
53	T	ordering	35	777	1	0	0.000
53	T	ordering	36	84	0	0.0124735	0.281
53	T	ordering	37	605	1	0	0.000
53	T	ordering	38	763	1	0	0.000
53	T	ordering	39	60	0	0.0194379	0.438
53	T	ordering	40	827	0	0.00850517	0.192
53	T	ordering	41	97	0	0.0124735	0.281
53	T	ordering	42	493	1	0	0.000
53	T	ordering	43	96	0	0.0110265	0.248
53	T	ordering	44	777	0	0.000121366	0.003
53	T	ordering	45	601	0	0.00319128	0.072
53	T	ordering	46	357	0	0.00319128	0.072
53	T	ordering	47	94	1	0	0.000
53	T	ordering	48	84	1	0	0.000
53	T	ordering	49	84	0	0.025289	0.570
53	T	ordering	50	601	1	0	0.000
53	T	ordering	51	637	0	0.00590106	0.133
53	T	ordering	52	694	1	0	0.000
53	T	ordering	53	601	0	0.025289	0.570
53	T	ordering	54	94	0	0.0235343	0.530
53	T	ordering	55	93	1	0	0.000
53	T	ordering	56	62	0	0.0186421	0.420
53	T	ordering	57	777	0	0.0198232	0.446
53	T	ordering	58	23	0	0.0162987	0.367
53	T	ordering	59	25	1	0	0.000
53	T	ordering	60	22	0	0.0165687	0.373
53	T	ordering	61	35	1	0	0.000
53	T	ordering	62	21	0	0.0162987	0.367
53	T	ordering	63	21	0	0.0165687	0.373
53	T	ordering	64	29	0	0.0162987	0.367
53	T	ordering	65	20	1	0	0.000
53	T	ordering	66	29	1	0	0.000
53	T	ordering	67	1736	0	0.0168598	0.380
53	T	ordering	68	20	1	0	0.000
53	T	ordering	69	20	1	0	0.000
53	T	ordering	70	20	1	0	0.000
53	T	ordering	71	20	1	0	0.000
53	T	ordering	72	249	0	0.00722374	0.163
53	T	ordering	73	21	0	0.0235343	0.530
53	T	ordering	74	20	0	0.0221812	0.500
53	T	ordering	75	20	0	0.0265324	0.598
53	T	ordering	76	21	0	0.0150707	0.339
53	T	ordering	77	542	0	0.0165687	0.373
53	T	ordering	78	21	0	0.0318158	0.717
53	T	ordering	79	1610	1	0	0.000
53	T	ordering	80	1601	1	0	0.000
53	T	ordering	81	1622	1	0	0.000
53	T	ordering	82	2456	1	0	0.000
53	T	ordering	83	1964	1	0	0.000
53	T	ordering	84	1640	1	0	0.000
53	T	ordering	85	1795	1	0	0.000
53	T	ordering	86	1671	1	0	0.000
53	T	ordering	87	1639	1	0	0.000
53	T	ordering	88	1708	1	0	0.000
53	T	ordering	89	2491	1	0	0.000
53	T	ordering	90	2069	1	0	0.000
53	T	ordering	91	1621	1	0	0.000
53	T	ordering	92	540	1	0	0.000
53	T	ordering	93	90	1	0	0.000
53	T	ordering	94	539	1	0	0.000
53	T	ordering	95	44	1	0	0.000
53	T	ordering	96	45	1	0	0.000
53	T	ordering	97	38	1	0	0.000
53	T	ordering	98	37	1	0	0.000
53	T	ordering	99	22	0	0.0284259	0.640
53	T	ordering	100	42	1	0	0.000
53	T	ordering	101	79	0	0.00593609	0.134
53	T	ordering	102	2341	0	0.0172538	0.389
53	T	ordering	103	126	1	0	0.000
53	T	ordering	104	352	1	0	0.000
53	T	ordering	105	495	0	0.0313752	0.707
53	T	ordering	106	26	1	0	0.000
53	T	ordering	107	885	1	0	0.000
53	T	ordering	108	246	0	0.0343014	0.773
53	T	ordering	109	7378	0	0.0145651	0.328
53	T	ordering	110	33	1	0	0.000
53	T	ordering	111	44	1	0	0.000
53	T	ordering	112	537	1	0	0.000
53	T	ordering	113	30	1	0	0.000
53	T	ordering	114	297	0	0.028506	0.642
53	T	ordering	115	165	1	0	0.000
53	T	ordering	116	534	0	0.014356	0.323
