candidate	fixture	lines	metric	median	min	max
arm-A	twx-unique-1k.log	1000	build_ns_per_line	3132	3055	3486
arm-A	twx-unique-1k.log	1000	rss_delta_after_build_kb	720	720	720
arm-A	twx-unique-1k.log	1000	distinct_keys	993	993	993
arm-A	twx-unique-1k.log	1000	devel_size_bytes	463083	463083	463083
arm-A	twx-unique-1k.log	1000	lookup_asbuilt_s	5.5e-05	5.4e-05	5.5e-05
arm-A	twx-unique-1k.log	1000	lookup_rebuilt_s	5.1e-05	5.1e-05	5.1e-05
arm-A	twx-unique-1k.log	1000	walk_s	0.00025	0.000249	0.000256
arm-A	twx-unique-1k.log	1000	walk_fill_count	993	993	993
arm-A	twx-unique-1k.log	1000	sort_avail_s	0.002118	0.002049	0.002125
arm-A	twx-unique-1k.log	1000	sort_fill_s	0.00189	0.001879	0.0019
arm-A	twx-unique-1k.log	1000	churn_s	0.000339	0.000339	0.000339
arm-A	twx-unique-1k.log	1000	churn_rss_delta_kb	0	0	0
arm-A	twx-unique-1k.log	1000	churn_devel_size_bytes	106738	106738	106738
arm-A	twx-unique-1k.log	1000	churn_walk_s	3.1e-05	3.1e-05	3.2e-05
arm-A	twx-unique-1k.log	1000	churn_sort_fill_s	0.00017	0.000169	0.000171
arm-B	twx-unique-1k.log	1000	build_ns_per_line	3107	3049	3465
arm-B	twx-unique-1k.log	1000	rss_delta_after_build_kb	672	672	672
arm-B	twx-unique-1k.log	1000	distinct_keys	993	993	993
arm-B	twx-unique-1k.log	1000	devel_size_bytes	463083	463083	463083
arm-B	twx-unique-1k.log	1000	lookup_asbuilt_s	5.4e-05	5.4e-05	5.5e-05
arm-B	twx-unique-1k.log	1000	lookup_rebuilt_s	5.2e-05	5.1e-05	5.2e-05
arm-B	twx-unique-1k.log	1000	walk_s	0.000252	0.000251	0.000256
arm-B	twx-unique-1k.log	1000	walk_fill_count	993	993	993
arm-B	twx-unique-1k.log	1000	sort_avail_s	0.000885	0.000879	0.000908
arm-B	twx-unique-1k.log	1000	sort_fill_s	0.000888	0.000885	0.000889
arm-B	twx-unique-1k.log	1000	churn_s	0.000325	0.000325	0.000325
arm-B	twx-unique-1k.log	1000	churn_rss_delta_kb	0	0	0
arm-B	twx-unique-1k.log	1000	churn_devel_size_bytes	100338	100338	100338
arm-B	twx-unique-1k.log	1000	churn_walk_s	3.1e-05	3.1e-05	3.3e-05
arm-B	twx-unique-1k.log	1000	churn_sort_fill_s	7.9e-05	7.9e-05	8.2e-05
arm-C	twx-unique-1k.log	1000	build_ns_per_line	3180	3077	3438
arm-C	twx-unique-1k.log	1000	rss_delta_after_build_kb	688	688	688
