bpd	arm	test	key_or_pair	N	canonical_same	max_rel_diff	max_bins
53	T	ordering	0	103	1	0	0.000
53	T	ordering	1	25	0	0.00590106	0.133
53	T	ordering	2	25	0	0.0165687	0.373
53	T	ordering	3	25	0	0.0162987	0.367
53	T	ordering	4	25	0	0.0165687	0.373
53	T	ordering	5	36	1	0	0.000
53	T	ordering	6	58	1	0	0.000
53	T	ordering	7	37	1	0	0.000
53	T	ordering	8	38	1	0	0.000
53	T	ordering	9	135	0	0.0019709	0.044
53	T	ordering	10	135	0	0.00857813	0.193
53	T	ordering	11	79	1	0	0.000
53	T	ordering	12	58	1	0	0.000
53	T	ordering	13	135	0	0.0313752	0.707
53	T	ordering	14	54	1	0	0.000
53	T	ordering	15	123	1	0	0.000
53	T	ordering	16	95	1	0	0.000
53	T	ordering	17	122	1	0	0.000
53	T	ordering	18	113	1	0	0.000
53	T	ordering	19	80	1	0	0.000
53	T	ordering	20	30	1	0	0.000
53	T	ordering	21	67	1	0	0.000
53	T	ordering	22	36	1	0	0.000
53	T	ordering	23	49	1	0	0.000
53	T	ordering	24	59	1	0	0.000
53	T	ordering	25	138	0	0.0368311	0.829
53	T	ordering	26	139	0	0.0221035	0.498
53	T	ordering	27	20	1	0	0.000
53	T	ordering	28	20	1	0	0.000
53	T	ordering	29	22	1	0	0.000
53	T	ordering	30	135	0	0.00590106	0.133
53	T	ordering	31	134	0	0.0165687	0.373
53	T	ordering	32	139	1	0	0.000
53	T	ordering	33	139	0	0.031329	0.706
53	T	ordering	34	134	0	0.014356	0.323
53	T	ordering	35	108	1	0	0.000
53	T	ordering	36	513	1	0	0.000
53	T	ordering	37	44	0	0.0162987	0.367
53	T	ordering	38	797	1	0	0.000
53	T	ordering	39	797	1	0	0.000
53	T	ordering	40	286	1	0	0.000
53	T	ordering	41	792	0	0.0162987	0.367
53	T	ordering	42	796	1	0	0.000
53	T	ordering	43	128	0	0.0165687	0.373
53	T	ordering	44	216	0	0.0162987	0.367
53	T	ordering	45	425	0	0.0238095	0.536
53	T	ordering	46	814	0	0.025289	0.570
53	T	ordering	47	877	0	0.0304207	0.685
53	T	ordering	48	823	0	0.0246652	0.555
53	T	ordering	49	1683	0	0.0235343	0.530
53	T	ordering	50	803	0	0.0194379	0.438
53	T	ordering	51	28	0	0.0194379	0.438
53	T	ordering	52	25	1	0	0.000
53	T	ordering	53	23	0	0.00850517	0.192
53	T	ordering	54	23	0	0.0032015	0.072
53	T	ordering	55	23	0	0.00593609	0.134
53	T	ordering	56	129	0	0.00850517	0.192
53	T	ordering	57	740	1	0	0.000
53	T	ordering	58	179	0	0.0343014	0.773
53	T	ordering	59	110	0	0.0130945	0.295
53	T	ordering	60	23	1	0	0.000
53	T	ordering	61	23	0	0.0032015	0.072
53	T	ordering	62	32	0	0.0194379	0.438
53	T	ordering	63	24	0	0.0186421	0.420
53	T	ordering	64	25	0	0.0032015	0.072
53	T	ordering	65	25	1	0	0.000
53	T	ordering	66	69	0	0.0032015	0.072
53	T	ordering	67	303	0	0.0032015	0.072
53	T	ordering	68	264	0	0.00850517	0.192
53	T	ordering	69	28	1	0	0.000
53	T	ordering	70	46	1	0	0.000
53	T	ordering	71	886	0	0.0162987	0.367
53	T	ordering	72	921	0	0.00319128	0.072
53	T	ordering	73	925	0	0.00857813	0.193
53	T	ordering	74	54	1	0	0.000
53	T	ordering	75	321	0	0.0032015	0.072
53	T	ordering	76	929	0	0.0198232	0.446
53	T	ordering	77	77	1	0	0.000
53	T	ordering	78	891	1	0	0.000
53	T	ordering	79	1003	0	0.0198232	0.446
53	T	ordering	80	38	0	0.00857813	0.193
53	T	ordering	81	971	0	0.0343014	0.773
53	T	ordering	82	219	0	0.00319128	0.072
53	T	ordering	83	712	0	0.0198232	0.446
53	T	ordering	84	218	0	0.0111495	0.251
53	T	ordering	85	911	1	0	0.000
53	T	ordering	86	886	0	0.0032015	0.072
53	T	ordering	87	249	0	0.0032015	0.072
53	T	ordering	88	204	0	0.0032015	0.072
53	T	ordering	89	70	1	0	0.000
53	T	ordering	90	77	0	0.0186421	0.420
53	T	ordering	91	886	0	0.00319128	0.072
53	T	ordering	92	671	1	0	0.000
53	T	ordering	93	721	0	0.025289	0.570
53	T	ordering	94	886	0	0.0344186	0.775
53	T	ordering	95	205	0	0.00850517	0.192
53	T	ordering	96	208	0	0.0246652	0.555
53	T	ordering	97	54	0	0.0126311	0.284
53	T	ordering	98	914	0	0.0194379	0.438
53	T	ordering	99	21	0	0.0165687	0.373
53	T	ordering	100	65	0	0.0162987	0.367
53	T	ordering	101	76	1	0	0.000
53	T	ordering	102	131	0	0.0165687	0.373
53	T	ordering	103	131	0	0.0162987	0.367
53	T	ordering	104	23	0	0.0165687	0.373
53	T	ordering	105	72	1	0	0.000
53	T	ordering	106	126	0	0.0162987	0.367
53	T	ordering	107	30	0	0.0162987	0.367
53	T	ordering	108	127	0	0.0162987	0.367
53	T	ordering	109	30	0	0.0162987	0.367
53	T	ordering	110	45	1	0	0.000
53	T	ordering	111	39	0	0.0165687	0.373
53	T	ordering	112	135	0	0.0165687	0.373
53	T	ordering	113	39	0	0.0165687	0.373
53	T	ordering	114	132	0	0.0165687	0.373
53	T	ordering	115	129	0	0.0165687	0.373
53	T	ordering	116	30	1	0	0.000
53	T	ordering	117	127	0	0.0162987	0.367
53	T	ordering	118	120	1	0	0.000
53	T	ordering	119	127	0	0.0165687	0.373
53	T	ordering	120	31	0	0.0162987	0.367
53	T	ordering	121	34	0	0.0105699	0.238
53	T	ordering	122	2880	0	0.0172497	0.388
53	T	ordering	123	137	0	0.0198232	0.446
53	T	ordering	124	138	1	0	0.000
53	T	ordering	125	137	0	0.00197479	0.044
53	T	ordering	126	134	0	0.00593609	0.134
53	T	ordering	127	135	1	0	0.000
53	T	ordering	128	416	1	0	0.000
53	T	ordering	129	29	1	0	0.000
53	T	ordering	130	36	1	0	0.000
53	T	ordering	131	413	0	0.0219881	0.495
53	T	ordering	132	136	0	0.0384615	0.866
53	T	ordering	133	139	1	0	0.000
53	T	ordering	134	137	0	0.0197175	0.444
53	T	ordering	135	137	0	0.0304207	0.685
53	T	ordering	136	140	0	0.0239878	0.540
53	T	ordering	137	843	0	0.00593609	0.134
53	T	ordering	138	47	0	0.0265324	0.598
53	T	ordering	139	27	0	0.0285714	0.643
53	T	ordering	140	25	0	0.03755	0.846
53	T	ordering	141	2634	1	0	0.000
53	T	ordering	142	2682	1	0	0.000
53	T	ordering	143	2683	1	0	0.000
53	T	ordering	144	4595	1	0	0.000
53	T	ordering	145	3625	1	0	0.000
53	T	ordering	146	2733	1	0	0.000
53	T	ordering	147	3218	1	0	0.000
53	T	ordering	148	2645	1	0	0.000
53	T	ordering	149	2826	1	0	0.000
53	T	ordering	150	2974	1	0	0.000
53	T	ordering	151	3981	0	0.0019709	0.044
53	T	ordering	152	2954	1	0	0.000
53	T	ordering	153	2436	1	0	0.000
53	T	ordering	154	31	0	0.014356	0.323
53	T	ordering	155	99	1	0	0.000
53	T	ordering	156	946	1	0	0.000
53	T	ordering	157	98	1	0	0.000
53	T	ordering	158	940	1	0	0.000
53	T	ordering	159	83	1	0	0.000
53	T	ordering	160	36	0	0.0233118	0.525
53	T	ordering	161	65	1	0	0.000
53	T	ordering	162	58	1	0	0.000
53	T	ordering	163	73	1	0	0.000
53	T	ordering	164	33	0	0.0276673	0.623
53	T	ordering	165	64	1	0	0.000
53	T	ordering	166	56	0	0.0165687	0.373
53	T	ordering	167	3891	0	0.0166921	0.376
53	T	ordering	168	20	1	0	0.000
53	T	ordering	169	162	1	0	0.000
53	T	ordering	170	542	1	0	0.000
53	T	ordering	171	31	1	0	0.000
53	T	ordering	172	39	1	0	0.000
53	T	ordering	173	761	0	0.0246652	0.555
53	T	ordering	174	81	1	0	0.000
53	T	ordering	175	1390	1	0	0.000
53	T	ordering	176	380	0	0.0241015	0.543
53	T	ordering	177	137670	0	0.00393792	0.089
53	T	ordering	178	66	1	0	0.000
53	T	ordering	179	32	1	0	0.000
53	T	ordering	180	842	0	0.0226031	0.509
53	T	ordering	181	26	1	0	0.000
53	T	ordering	182	25	0	0.0226031	0.509
53	T	ordering	183	450	0	0.0387677	0.873
53	T	ordering	184	27	1	0	0.000
53	T	ordering	185	250	1	0	0.000
53	T	ordering	186	21	1	0	0.000
53	T	ordering	187	20	0	0.0019709	0.044
53	T	ordering	188	24	1	0	0.000
53	T	ordering	189	816	1	0	0.000
53	T	ordering	190	828	1	0	0.000
53	T	ordering	191	602	1	0	0.000
53	T	ordering	192	29	1	0	0.000
53	T	ordering	193	388	1	0	0.000
53	T	ordering	194	40	1	0	0.000
53	T	ordering	195	1440	0	0.0346771	0.781
53	T	ordering	196	26	1	0	0.000
53	T	ordering	197	960	0	0.00850517	0.192
53	T	ordering	198	21	1	0	0.000
53	T	ordering	199	1678	1	0	0.000
53	T	merge	0,0+1	128	1	0	0.000
53	T	merge	1,1+1	50	1	0	0.000
53	T	merge	2,2+1	50	1	0	0.000
53	T	merge	3,3+1	50	1	0	0.000
53	T	merge	4,4+1	61	1	0	0.000
53	T	merge	5,5+1	94	1	0	0.000
53	T	merge	6,6+1	95	1	0	0.000
53	T	merge	7,7+1	75	1	0	0.000
53	T	merge	8,8+1	173	1	0	0.000
53	T	merge	9,9+1	270	1	0	0.000
53	T	merge	10,10+1	214	1	0	0.000
53	T	merge	11,11+1	137	1	0	0.000
53	T	merge	12,12+1	193	1	0	0.000
53	T	merge	13,13+1	189	1	0	0.000
53	T	merge	14,14+1	177	1	0	0.000
53	T	merge	15,15+1	218	1	0	0.000
53	T	merge	16,16+1	217	1	0	0.000
53	T	merge	17,17+1	235	1	0	0.000
53	T	merge	18,18+1	193	1	0	0.000
53	T	merge	19,19+1	110	1	0	0.000
53	T	merge	20,20+1	97	1	0	0.000
