arm	bpd	metric	median_s	min_s	max_s
T	53	fill_s	0.500014	0.480563	0.517838
T	53	percentile_pass_s	7.469733	7.459827	7.469982
T	53	merge_pairs_s	0.064648	0.064574	0.068091
T	53	fold_all_s	3.280325	3.266573	3.297330
S	53	fill_s	0.348586	0.334634	0.363869
S	53	percentile_pass_s	0.951787	0.951477	0.959930
S	53	merge_pairs_s	0.087776	0.085011	0.089160
S	53	fold_all_s	5.872270	5.857768	5.888225
G	53	fill_s	0.215836	0.214308	0.222737
G	53	percentile_pass_s	0.787383	0.784234	0.788242
G	53	merge_pairs_s	0.004214	0.003706	0.004451
G	53	fold_all_s	0.092676	0.088566	0.095038
T	616	fill_s	0.551641	0.528827	0.572269
T	616	percentile_pass_s	75.190329	75.167212	75.588443
T	616	merge_pairs_s	0.546467	0.546332	0.556409
T	616	fold_all_s	33.222320	33.196312	33.494811
S	616	fill_s	0.361924	0.333901	0.393920
S	616	percentile_pass_s	1.270505	1.268254	1.283033
S	616	merge_pairs_s	0.759186	0.743062	0.775575
S	616	fold_all_s	60.475371	60.447111	60.501505
G	616	fill_s	0.210368	0.209593	0.211707
G	616	percentile_pass_s	1.023864	1.019364	1.026920
G	616	merge_pairs_s	0.021191	0.020457	0.022012
G	616	fold_all_s	0.116612	0.108126	0.120108
