file	bpd	bound	scope	arm	conv	quantile	n	p50	p95	p99	max	within_bound	mean_signed
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	T	binning	P1	328	0.021026	0.035111	0.037900	0.039070	1.000000	-0.019124
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	T	raw	P1	328	0.021026	0.035111	0.037900	0.039070	1.000000	-0.019131
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	T	binning	P50	328	0.000486	0.019683	0.030597	0.034418	1.000000	-0.000300
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	T	raw	P50	328	0.000462	0.019764	0.030571	0.034418	1.000000	-0.000381
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	T	binning	P75	328	0.011070	0.019743	0.027353	0.040299	1.000000	0.009255
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	T	raw	P75	328	0.011046	0.019743	0.027353	0.040299	1.000000	0.009199
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	T	binning	P90	328	0.017626	0.024377	0.035686	0.039246	1.000000	0.013509
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	T	raw	P90	328	0.017621	0.023721	0.035686	0.039246	1.000000	0.013400
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	T	binning	P95	328	0.019834	0.026292	0.038629	0.043720	1.000000	0.015529
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	T	raw	P95	328	0.019830	0.026292	0.038629	0.043720	1.000000	0.015478
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	T	binning	P99	328	0.021566	0.034120	0.041080	0.044378	1.000000	0.016333
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	T	raw	P99	328	0.021566	0.034120	0.041080	0.044378	1.000000	0.016289
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	T	binning	P999	328	0.021960	0.038893	0.044277	0.044277	1.000000	0.019373
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	T	raw	P999	328	0.021960	0.038893	0.044277	0.044277	1.000000	0.019373
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	G	binning	P1	328	0.000593	0.030664	0.038169	0.042635	1.000000	-0.002386
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	G	raw	P1	328	0.000593	0.030664	0.038169	0.042635	1.000000	-0.002393
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	G	binning	P50	328	0.022049	0.028013	0.040084	0.043917	1.000000	0.012402
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	G	raw	P50	328	0.022013	0.028232	0.040084	0.043755	1.000000	0.012316
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	G	binning	P75	328	0.033187	0.034342	0.038370	0.041599	1.000000	0.020892
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	G	raw	P75	328	0.033166	0.034275	0.038370	0.041599	1.000000	0.020848
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	G	binning	P90	328	0.039933	0.041082	0.042635	0.044403	1.000000	0.024482
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	G	raw	P90	328	0.039920	0.041082	0.042635	0.044403	1.000000	0.024374
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	G	binning	P95	328	0.042179	0.043269	0.043863	0.044403	1.000000	0.026463
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	G	raw	P95	328	0.042172	0.043269	0.043863	0.044403	1.000000	0.026413
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	G	binning	P99	328	0.039261	0.044307	0.044403	0.044403	1.000000	0.024941
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	G	raw	P99	328	0.039261	0.044307	0.044403	0.044403	1.000000	0.024919
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	G	binning	P999	328	0.017252	0.044403	0.044403	0.044403	1.000000	0.016580
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	key	G	raw	P999	328	0.017252	0.044403	0.044403	0.044403	1.000000	0.016580
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	T	binning	P1	2517	0.015396	0.029037	0.036285	0.044191	1.000000	-0.005214
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	T	raw	P1	2517	0.015396	0.029037	0.036285	0.044191	1.000000	-0.005215
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	T	binning	P50	2517	0.007267	0.026496	0.038893	0.043790	1.000000	0.008475
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	T	raw	P50	2517	0.004354	0.233530	0.490027	0.906309	0.896702	-0.024643
