## A. [key] N>=100 — #189 V5 table shape, per arm (binning = oracle rank forced; raw = native ceil)

| bpd | bound | arm | binning_max (range over 7 q) | binning_p50 (range) | raw_max (range) | max raw−binning gap at any q | pass |
|---|---|---|---|---|---|---|---|
| 53 | 4.44% | T | 3.44%–4.44% | 0.05%–2.20% | 3.44%–4.44% | none | PASS |
| 53 | 4.44% | G | 4.16%–4.44% | 0.06%–4.22% | 4.16%–4.44% | none | PASS |
| 115 | 2.02% | T | 1.56%–2.01% | 0.02%–1.20% | 1.56%–2.01% | none | PASS |
| 115 | 2.02% | G | 1.81%–2.02% | 0.03%–1.92% | 1.81%–2.02% | none | PASS |
| 256 | 0.90% | T | 0.83%–0.93% | 0.01%–0.86% | 0.83%–1.76% | +0.85% | FAIL |
| 256 | 0.90% | G | 0.83%–0.90% | 0.01%–0.86% | 0.83%–1.90% | +1.00% | PASS |
| 616 | 0.37% | T | 0.33%–0.37% | 0.01%–0.37% | 0.37%–1.87% | +1.54% | PASS |
| 616 | 0.37% | G | 0.36%–0.37% | 0.01%–0.36% | 0.36%–1.95% | +1.57% | PASS |

## B. [key] N>=100 — per quantile, binning_max / raw_max, T vs G (rank-convention crossover)

### bpd=53 (bound 4.44%)

| Q | T binning_p50 | T binning_max | T raw_max | G binning_p50 | G binning_max | G raw_max | G bias (mean signed) | T bias |
|---|---|---|---|---|---|---|---|---|
| P1 | 2.10% | 3.91% | 3.91% | 0.06% | 4.26% | 4.26% | -0.24% | -1.91% |
| P50 | 0.05% | 3.44% | 3.44% | 2.20% | 4.39% | 4.38% | +1.24% | -0.03% |
| P75 | 1.11% | 4.03% | 4.03% | 3.32% | 4.16% | 4.16% | +2.09% | +0.93% |
| P90 | 1.76% | 3.92% | 3.92% | 3.99% | 4.44% | 4.44% | +2.45% | +1.35% |
| P95 | 1.98% | 4.37% | 4.37% | 4.22% | 4.44% | 4.44% | +2.65% | +1.55% |
| P99 | 2.16% | 4.44% | 4.44% | 3.93% | 4.44% | 4.44% | +2.49% | +1.63% |
| P999 | 2.20% | 4.43% | 4.43% | 1.73% | 4.44% | 4.44% | +1.66% | +1.94% |

### bpd=115 (bound 2.02%)

| Q | T binning_p50 | T binning_max | T raw_max | G binning_p50 | G binning_max | G raw_max | G bias (mean signed) | T bias |
|---|---|---|---|---|---|---|---|---|
| P1 | 0.97% | 1.97% | 1.97% | 0.03% | 1.81% | 1.81% | -0.18% | -0.83% |
| P50 | 0.02% | 1.69% | 1.68% | 1.01% | 2.00% | 1.99% | +0.61% | -0.03% |
| P75 | 0.51% | 1.56% | 1.56% | 1.52% | 1.90% | 1.90% | +1.03% | +0.40% |
| P90 | 0.81% | 1.92% | 1.90% | 1.82% | 2.02% | 2.02% | +1.22% | +0.59% |
| P95 | 0.91% | 1.73% | 1.73% | 1.92% | 2.02% | 2.02% | +1.27% | +0.70% |
| P99 | 0.99% | 2.01% | 2.01% | 1.64% | 2.02% | 2.02% | +1.19% | +0.83% |
| P999 | 1.20% | 2.00% | 2.00% | 0.77% | 2.02% | 2.02% | +0.89% | +1.19% |

### bpd=256 (bound 0.90%)

| Q | T binning_p50 | T binning_max | T raw_max | G binning_p50 | G binning_max | G raw_max | G bias (mean signed) | T bias |
|---|---|---|---|---|---|---|---|---|
| P1 | 0.01% | 0.83% | 0.83% | 0.01% | 0.83% | 0.83% | -0.03% | -0.09% |
| P50 | 0.45% | 0.89% | 0.89% | 0.45% | 0.89% | 0.89% | +0.36% | +0.32% |
| P75 | 0.68% | 0.93% | 0.93% | 0.68% | 0.85% | 0.85% | +0.53% | +0.51% |
| P90 | 0.81% | 0.90% | 1.34% | 0.81% | 0.90% | 1.49% | +0.61% | +0.57% |
| P95 | 0.86% | 0.90% | 1.76% | 0.86% | 0.90% | 1.90% | +0.63% | +0.59% |
| P99 | 0.85% | 0.90% | 1.49% | 0.83% | 0.90% | 1.51% | +0.63% | +0.59% |
| P999 | 0.76% | 0.90% | 0.90% | 0.74% | 0.90% | 0.90% | +0.65% | +0.65% |

### bpd=616 (bound 0.37%)

| Q | T binning_p50 | T binning_max | T raw_max | G binning_p50 | G binning_max | G raw_max | G bias (mean signed) | T bias |
|---|---|---|---|---|---|---|---|---|
| P1 | 0.37% | 0.37% | 0.37% | 0.01% | 0.37% | 0.37% | -0.03% | -0.26% |
| P50 | 0.18% | 0.37% | 0.37% | 0.19% | 0.37% | 0.37% | +0.11% | -0.15% |
| P75 | 0.09% | 0.37% | 0.37% | 0.28% | 0.36% | 0.36% | +0.18% | -0.06% |
| P90 | 0.04% | 0.33% | 1.87% | 0.34% | 0.37% | 1.95% | +0.21% | -0.01% |
| P95 | 0.02% | 0.37% | 1.72% | 0.36% | 0.37% | 1.80% | +0.23% | +0.01% |
| P99 | 0.01% | 0.36% | 1.30% | 0.32% | 0.37% | 1.46% | +0.22% | +0.04% |
| P999 | 0.13% | 0.37% | 0.37% | 0.21% | 0.37% | 0.37% | +0.19% | +0.13% |

## C. [small] all keys N>=2 — binning convention: median / p95 / max, within one bin; raw within one bin

### bpd=53 (bound 4.44%, n=2517 keys)

| Q | T p50 / p95 / max | T within | G p50 / p95 / max | G within | T raw within | G raw within |
|---|---|---|---|---|---|---|
| P1 | 1.54% / 2.90% / 4.42% | 100.00% | 0.93% / 4.23% / 4.44% | 100.00% | 100.00% | 100.00% |
| P50 | 0.73% / 2.65% / 4.38% | 100.00% | 2.25% / 4.44% / 4.44% | 100.00% | 89.67% | 90.43% |
| P75 | 1.56% / 3.51% / 4.40% | 100.00% | 2.38% / 4.44% / 4.44% | 100.00% | 97.54% | 97.74% |
| P90 | 2.20% / 3.89% / 4.38% | 100.00% | 2.80% / 4.44% / 4.44% | 100.00% | 99.44% | 99.48% |
| P95 | 2.20% / 3.89% / 4.38% | 100.00% | 2.94% / 4.44% / 4.44% | 100.00% | 99.80% | 99.80% |
| P99 | 2.20% / 3.89% / 4.44% | 100.00% | 2.94% / 4.44% / 4.44% | 100.00% | 100.00% | 100.00% |
| P999 | 2.20% / 3.89% / 4.43% | 100.00% | 2.37% / 4.44% / 4.44% | 100.00% | 100.00% | 100.00% |

### bpd=115 (bound 2.02%, n=2517 keys)

| Q | T p50 / p95 / max | T within | G p50 / p95 / max | G within | T raw within | G raw within |
|---|---|---|---|---|---|---|
| P1 | 0.76% / 1.71% / 2.01% | 100.00% | 0.50% / 1.81% / 2.02% | 100.00% | 100.00% | 100.00% |
| P50 | 0.33% / 1.33% / 2.02% | 100.00% | 1.02% / 2.02% / 2.02% | 100.00% | 87.09% | 87.52% |
| P75 | 0.67% / 1.51% / 2.01% | 100.00% | 1.51% / 2.02% / 2.02% | 100.00% | 96.62% | 96.66% |
| P90 | 1.01% / 1.74% / 2.01% | 100.00% | 1.54% / 2.02% / 2.02% | 100.00% | 99.17% | 99.17% |
| P95 | 1.01% / 1.78% / 2.02% | 100.00% | 1.54% / 2.02% / 2.02% | 100.00% | 99.72% | 99.72% |
| P99 | 1.01% / 1.78% / 2.02% | 100.00% | 1.54% / 2.02% / 2.02% | 100.00% | 100.00% | 100.00% |
| P999 | 1.01% / 1.78% / 2.02% | 100.00% | 1.39% / 2.02% / 2.02% | 100.00% | 100.00% | 100.00% |

### bpd=256 (bound 0.90%, n=2517 keys)

| Q | T p50 / p95 / max | T within | G p50 / p95 / max | G within | T raw within | G raw within |
|---|---|---|---|---|---|---|
| P1 | 0.29% / 0.90% / 0.90% | 100.00% | 0.23% / 0.79% / 0.90% | 100.00% | 100.00% | 100.00% |
| P50 | 0.50% / 0.90% / 1.31% | 99.96% | 0.48% / 0.90% / 0.90% | 100.00% | 86.17% | 85.46% |
| P75 | 0.70% / 0.90% / 0.93% | 99.96% | 0.69% / 0.90% / 0.90% | 100.00% | 95.87% | 95.83% |
| P90 | 0.84% / 0.90% / 0.90% | 100.00% | 0.79% / 0.90% / 0.90% | 100.00% | 99.05% | 99.01% |
| P95 | 0.88% / 0.90% / 0.90% | 100.00% | 0.79% / 0.90% / 0.90% | 100.00% | 99.60% | 99.60% |
| P99 | 0.90% / 0.90% / 0.90% | 100.00% | 0.79% / 0.90% / 0.90% | 100.00% | 99.96% | 99.96% |
| P999 | 0.90% / 0.90% / 0.90% | 100.00% | 0.79% / 0.90% / 0.90% | 100.00% | 100.00% | 100.00% |

### bpd=616 (bound 0.37%, n=2517 keys)

| Q | T p50 / p95 / max | T within | G p50 / p95 / max | G within | T raw within | G raw within |
|---|---|---|---|---|---|---|
| P1 | 0.21% / 0.37% / 0.37% | 100.00% | 0.09% / 0.35% / 0.37% | 100.00% | 100.00% | 100.00% |
| P50 | 0.14% / 0.28% / 0.37% | 100.00% | 0.19% / 0.37% / 0.37% | 100.00% | 85.46% | 85.46% |
| P75 | 0.07% / 0.23% / 0.37% | 100.00% | 0.21% / 0.37% / 0.37% | 100.00% | 95.79% | 95.79% |
| P90 | 0.02% / 0.27% / 0.37% | 100.00% | 0.21% / 0.37% / 0.37% | 100.00% | 98.93% | 98.93% |
| P95 | 0.01% / 0.27% / 0.37% | 100.00% | 0.21% / 0.37% / 0.37% | 100.00% | 99.60% | 99.60% |
| P99 | 0.00% / 0.28% / 0.37% | 100.00% | 0.21% / 0.37% / 0.37% | 100.00% | 99.96% | 99.96% |
| P999 | 0.00% / 0.28% / 0.37% | 100.00% | 0.21% / 0.37% / 0.37% | 100.00% | 100.00% | 100.00% |

## D. [pair] merged pairs — binning convention

### bpd=53 (bound 4.44%, n=1258 pairs)

| Q | T p50 / p95 / max | T within | T max in bins | G p50 / p95 / max | G within | G max in bins |
|---|---|---|---|---|---|---|
| P1 | 1.29% / 3.56% / 5.56% | 98.57% | 1.25 | 0.54% / 4.26% / 4.44% | 100.00% | 1.00 |
| P50 | 1.09% / 3.56% / 5.28% | 99.13% | 1.19 | 2.25% / 4.03% / 4.44% | 100.00% | 1.00 |
| P75 | 1.33% / 3.56% / 5.72% | 99.21% | 1.28 | 2.37% / 4.26% / 4.44% | 100.00% | 1.00 |
| P90 | 1.77% / 3.89% / 5.50% | 97.14% | 1.23 | 2.16% / 4.44% / 4.44% | 100.00% | 1.00 |
| P95 | 1.98% / 3.89% / 5.50% | 96.58% | 1.23 | 1.96% / 4.44% / 4.44% | 100.00% | 1.00 |
