file	bpd	geometry	arm	bins	mass	mass_exact	mass_retention	peak	peak_exact	peak_retention	peak_col	peak_col_exact	peak_x_offset	empty_cells	empty_exact	cells_differ	abs_dev	abs_dev_pct	max_cell_dev	overflow	underflow
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	115	heatmap	T	52	122798	122798	1	27896	27896	1	8	8	0	2	2	30	486	0.395771918109415	57	0	0
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	115	heatmap	S	52	122798	122798	1	27896	27896	1	8	8	0	2	2	30	486	0.395771918109415	57	0	0
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	115	heatmap	G	52	122798	122798	1	27896	27896	1	8	8	0	2	2	28	1272	1.03584748937279	174	0	0
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	115	histogram	T	42	122798	122798	1	32803	32803	1	6	6	0	1	1	23	948	0.771999543966514	208	0	0
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	115	histogram	S	42	122798	122798	1	32803	32803	1	6	6	0	1	1	23	948	0.771999543966514	208	0	0
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	115	histogram	G	42	122798	122798	1	32803	32803	1	6	6	0	1	1	27	1708	1.39090213195655	480	0	0
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	115	heatmap-keyed	T	52	122798	122798	1	27896	27896	1	8	8	0	1	2	36	8524	6.94148113161452	4082		
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	115	heatmap-keyed	S	52	122798	122798	1	27896	27896	1	8	8	0	1	2	36	8524	6.94148113161452	4082		
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	115	heatmap-keyed	G	52	122798	122798	1	27896	27896	1	8	8	0	2	2	28	1272	1.03584748937279	174		
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	256	heatmap	T	52	122798	122798	1	27896	27896	1	8	8	0	2	2	23	354	0.288278310721673	94	0	0
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	256	heatmap	S	52	122798	122798	1	27896	27896	1	8	8	0	2	2	23	354	0.288278310721673	94	0	0
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	256	heatmap	G	52	122798	122798	1	27896	27896	1	8	8	0	2	2	18	400	0.32573820420528	132	0	0
