# V7 bucket-stats surface — consolidated summary
# Sources: prototype/426-results/v7/{dpm,tomcat}-bpd{16,32,53,115,616}-{all,T,S,G}.txt
# dpm    = /tmp/ltl-426-fixtures/bin-dpm-full.log, bucket-size 2000  -> 62 buckets, N/bucket 798..2000
# tomcat = logs/AccessLogs/localhost_access_log-twx01-...2025-05-07.txt, bucket-size 20000 -> 29 buckets, N/bucket 15800..20000
file	bpd	arm	max_rel_err	within_1bin_pct	mean_rel_err	clamp_hi_pct	clamp_lo_pct	rss_kb	devel_size_b	build_s	ladder_s
dpm	16	T	0.177740	99.71	0.037967	9.68	3.81	208	194786	0.1157	0.00793
dpm	16	S	0.177740	99.71	0.037967	9.68	3.81	224	168348	0.0801	0.00508
dpm	16	G	0.151374	100.00	0.036438	9.68	4.84	128	136422	0.0552	0.00433
dpm	32	T	0.074604	100.00	0.018196	9.24	3.23	320	291738	0.1140	0.01489
dpm	32	S	0.074604	100.00	0.018196	9.24	3.23	384	279452	0.0797	0.00872
dpm	32	G	0.071446	100.00	0.019369	9.53	4.40	256	230934	0.0546	0.00749
dpm	53	T	0.043904	100.00	0.010882	9.24	2.79	416	398378	0.1120	0.02349
dpm	53	S	0.043904	100.00	0.010882	9.24	2.79	512	412692	0.0779	0.01239
dpm	53	G	0.043206	100.00	0.012991	9.38	5.28	352	341054	0.0544	0.01143
dpm	115	T	0.019711	100.00	0.005627	9.24	2.79	688	674890	0.1165	0.05260
dpm	115	S	0.019711	100.00	0.005627	9.24	2.79	912	791212	0.0825	0.02570
dpm	115	G	0.020215	100.00	0.005554	9.38	4.40	672	645686	0.0551	0.02241
dpm	616	T	0.003728	100.00	0.001191	9.24	3.08	3120	2531282	0.1265	0.28252
dpm	616	S	0.003728	100.00	0.001191	9.24	3.08	4256	3588988	0.0999	0.12720
dpm	616	G	0.003735	100.00	0.001099	9.24	2.93	2912	2714054	0.0562	0.10931
tomcat	16	T	0.147182	100.00	0.025321	12.54	31.97	112	82909	0.5313	0.00318
tomcat	16	S	0.147182	100.00	0.025321	12.54	31.97	80	68335	0.3639	0.00199
tomcat	16	G	0.154401	100.00	0.042424	14.73	0.00	64	54209	0.2598	0.00172
tomcat	32	T	0.067051	100.00	0.010886	10.34	32.29	144	121501	0.5313	0.00565
tomcat	32	S	0.067051	100.00	0.010886	10.34	32.29	208	111743	0.3622	0.00327
tomcat	32	G	0.074430	100.00	0.021079	11.91	0.00	112	93329	0.2604	0.00281
tomcat	53	T	0.041255	100.00	0.007494	9.09	28.53	240	167093	0.5331	0.00908
tomcat	53	S	0.041255	100.00	0.007494	9.09	28.53	224	168247	0.3646	0.00468
tomcat	53	G	0.044298	100.00	0.012920	11.29	0.00	176	141193	0.2592	0.00416
tomcat	115	T	0.017505	100.00	0.003768	8.15	28.53	288	285805	0.5441	0.01998
tomcat	115	S	0.017505	100.00	0.003768	8.15	28.53	480	329503	0.3662	0.00916
tomcat	115	G	0.020177	100.00	0.006217	10.66	0.00	336	271649	0.2676	0.00830
tomcat	616	T	0.004522	99.69	0.000764	6.58	31.35	1200	1030629	0.5458	0.11126
tomcat	616	S	0.004522	99.69	0.000764	6.58	31.35	2000	1504815	0.3733	0.04463
tomcat	616	G	0.003736	100.00	0.001040	8.15	0.00	1264	1143857	0.2621	0.03939
