family	fixture	lines	class	arm	median_s	min_s	max_s	us_per_line	delta_us_per_line	pct_of_budget
access	pure-access-100k.log	100000	-	baseline	0.262294	0.260549	0.263777	2.6229	+0.0000	0.00
access	pure-access-100k.log	100000	2	c2-regex	0.276776	0.275559	0.277513	2.7678	+0.1448	1.08
access	pure-access-100k.log	100000	2	c2-intcmp	0.265559	0.264714	0.275081	2.6556	+0.0326	0.24
access	pure-access-100k.log	100000	2	c2-firstchar	0.267612	0.265359	0.284322	2.6761	+0.0532	0.40
access	pure-access-100k.log	100000	2	c2-bucketmap	0.261441	0.260993	0.263098	2.6144	-0.0085	-0.06
access	pure-access-100k.log	100000	4	c4-regex-succfirst	0.267444	0.266761	0.269774	2.6744	+0.0515	0.39
access	pure-access-100k.log	100000	4	c4-intcmp-succfirst	0.264406	0.263578	0.296677	2.6441	+0.0211	0.16
access	pure-access-100k.log	100000	5	c5-closure	0.271802	0.267442	0.275441	2.7180	+0.0951	0.71
access	pure-access-100k.log	100000	5	c5-interp	0.362845	0.356768	0.364074	3.6284	+1.0055	7.53
access	pure-access-100k.log	100000	6	c6-none	0.270430	0.266488	0.271566	2.7043	+0.0814	0.61
access	pure-access-100k.log	100000	6	c6-nested-hash	0.281757	0.279332	0.282878	2.8176	+0.1946	1.46
access	pure-access-100k.log	100000	6	c6-two-flat	0.280352	0.278237	0.282465	2.8035	+0.1806	1.35
access	pure-access-100k.log	100000	6	c6-array-idx	0.276471	0.275177	0.277200	2.7647	+0.1418	1.06
access	pure-access-100k.log	100000	6	c6-array-idx+msg	0.284225	0.279151	0.284876	2.8423	+0.2193	1.64
access	pure-access-100k.log	100000	6	c6-array-idx+entrycmp	0.282965	0.282329	0.283045	2.8296	+0.2067	1.55
access	pure-access-1m.log	1000000	-	baseline	2.598024	2.586973	2.634227	2.5980	+0.0000	0.00
access	pure-access-1m.log	1000000	2	c2-regex	2.748076	2.744068	2.838347	2.7481	+0.1501	1.12
access	pure-access-1m.log	1000000	2	c2-intcmp	2.632044	2.616093	2.758856	2.6320	+0.0340	0.25
access	pure-access-1m.log	1000000	2	c2-firstchar	2.660439	2.619938	2.804478	2.6604	+0.0624	0.47
access	pure-access-1m.log	1000000	2	c2-bucketmap	2.610732	2.595119	2.621422	2.6107	+0.0127	0.10
access	pure-access-1m.log	1000000	4	c4-regex-succfirst	2.651910	2.650299	2.677116	2.6519	+0.0539	0.40
access	pure-access-1m.log	1000000	4	c4-intcmp-succfirst	2.585091	2.583406	2.589637	2.5851	-0.0129	-0.10
access	pure-access-1m.log	1000000	5	c5-closure	2.659140	2.657542	2.661810	2.6591	+0.0611	0.46
access	pure-access-1m.log	1000000	5	c5-interp	3.557624	3.547036	3.608359	3.5576	+0.9596	7.19
access	pure-access-1m.log	1000000	6	c6-none	2.716315	2.713476	2.724966	2.7163	+0.1183	0.89
access	pure-access-1m.log	1000000	6	c6-nested-hash	2.832624	2.810265	2.849952	2.8326	+0.2346	1.76
access	pure-access-1m.log	1000000	6	c6-two-flat	2.811471	2.803057	2.905984	2.8115	+0.2134	1.60
access	pure-access-1m.log	1000000	6	c6-array-idx	2.744755	2.740228	2.748539	2.7448	+0.1467	1.10
access	pure-access-1m.log	1000000	6	c6-array-idx+msg	2.871069	2.838885	2.990926	2.8711	+0.2730	2.05
access	pure-access-1m.log	1000000	6	c6-array-idx+entrycmp	2.801723	2.792849	2.815367	2.8017	+0.2037	1.53
