family	fixture	lines	class	arm	median_s	min_s	max_s	us_per_line	delta_us_per_line	pct_of_budget
scriptlog	pure-applog-100k.log	100000	-	baseline	0.217021	0.215045	0.229865	2.1702	+0.0000	0.00
scriptlog	pure-applog-100k.log	100000	1	c1-regex	0.226435	0.225044	0.235831	2.2644	+0.0941	1.30
scriptlog	pure-applog-100k.log	100000	1	c1-hashset	0.218405	0.217246	0.221406	2.1841	+0.0138	0.19
scriptlog	pure-applog-100k.log	100000	1	c1-eqchain	0.218648	0.217580	0.219552	2.1865	+0.0163	0.22
scriptlog	pure-applog-100k.log	100000	3	c3-regex-regex	0.225770	0.224895	0.227041	2.2577	+0.0875	1.21
scriptlog	pure-applog-100k.log	100000	3	c3-hash-index	0.220269	0.218117	0.221349	2.2027	+0.0325	0.45
scriptlog	pure-applog-100k.log	100000	3	c3-hash-indexgate-regex	0.220274	0.218170	0.220423	2.2027	+0.0325	0.45
scriptlog	pure-applog-100k.log	100000	5	c5-closure	0.223034	0.222045	0.225650	2.2303	+0.0601	0.83
scriptlog	pure-applog-100k.log	100000	5	c5-interp	0.277154	0.275687	0.277829	2.7715	+0.6013	8.29
scriptlog	pure-applog-100k.log	100000	6	c6-none	0.226099	0.223592	0.229932	2.2610	+0.0908	1.25
scriptlog	pure-applog-100k.log	100000	6	c6-nested-hash	0.233572	0.232789	0.235508	2.3357	+0.1655	2.28
scriptlog	pure-applog-100k.log	100000	6	c6-array-idx	0.227923	0.226805	0.236319	2.2792	+0.1090	1.50
scriptlog	pure-applog-480k.log	479904	-	baseline	1.035971	1.035819	1.037658	2.1587	+0.0000	0.00
scriptlog	pure-applog-480k.log	479904	1	c1-regex	1.086530	1.083830	1.093954	2.2641	+0.1054	1.45
scriptlog	pure-applog-480k.log	479904	1	c1-hashset	1.053348	1.042547	1.060013	2.1949	+0.0362	0.50
scriptlog	pure-applog-480k.log	479904	1	c1-eqchain	1.052327	1.041371	1.064456	2.1928	+0.0341	0.47
scriptlog	pure-applog-480k.log	479904	3	c3-regex-regex	1.096586	1.089755	1.108563	2.2850	+0.1263	1.74
scriptlog	pure-applog-480k.log	479904	3	c3-hash-index	1.064664	1.062723	1.070118	2.2185	+0.0598	0.82
scriptlog	pure-applog-480k.log	479904	3	c3-hash-indexgate-regex	1.067297	1.063093	1.082803	2.2240	+0.0653	0.90
scriptlog	pure-applog-480k.log	479904	5	c5-closure	1.091222	1.087824	1.101119	2.2738	+0.1151	1.59
scriptlog	pure-applog-480k.log	479904	5	c5-interp	1.324063	1.323298	1.351476	2.7590	+0.6003	8.28
scriptlog	pure-applog-480k.log	479904	6	c6-none	1.089181	1.084700	1.099746	2.2696	+0.1109	1.53
scriptlog	pure-applog-480k.log	479904	6	c6-nested-hash	1.130166	1.128131	1.179411	2.3550	+0.1963	2.71
scriptlog	pure-applog-480k.log	479904	6	c6-array-idx	1.113233	1.099999	1.123261	2.3197	+0.1610	2.22
