family	fixture	lines	class	arm	median_s	min_s	max_s	us_per_line	delta_us_per_line	pct_of_budget
scriptlog	pure-scriptlog-100k.log	100000	-	baseline	0.299010	0.296420	0.299572	2.9901	+0.0000	0.00
scriptlog	pure-scriptlog-100k.log	100000	1	c1-regex	0.309198	0.308465	0.313531	3.0920	+0.1019	0.94
scriptlog	pure-scriptlog-100k.log	100000	1	c1-hashset	0.301107	0.300618	0.301593	3.0111	+0.0210	0.19
scriptlog	pure-scriptlog-100k.log	100000	1	c1-eqchain	0.301645	0.300848	0.302249	3.0165	+0.0263	0.24
scriptlog	pure-scriptlog-100k.log	100000	3	c3-regex-regex	0.308763	0.307814	0.310124	3.0876	+0.0975	0.90
scriptlog	pure-scriptlog-100k.log	100000	3	c3-hash-index	0.301105	0.300938	0.301819	3.0111	+0.0210	0.19
scriptlog	pure-scriptlog-100k.log	100000	3	c3-hash-indexgate-regex	0.302310	0.301815	0.302603	3.0231	+0.0330	0.31
scriptlog	pure-scriptlog-100k.log	100000	5	c5-closure	0.306689	0.305724	0.309872	3.0669	+0.0768	0.71
scriptlog	pure-scriptlog-100k.log	100000	5	c5-interp	0.359616	0.358123	0.375313	3.5962	+0.6061	5.61
scriptlog	pure-scriptlog-100k.log	100000	6	c6-none	0.306340	0.305420	0.306734	3.0634	+0.0733	0.68
scriptlog	pure-scriptlog-100k.log	100000	6	c6-nested-hash	0.315261	0.314757	0.316036	3.1526	+0.1625	1.50
scriptlog	pure-scriptlog-100k.log	100000	6	c6-array-idx	0.311533	0.310708	0.311901	3.1153	+0.1252	1.16
scriptlog	pure-scriptlog-1m.log	1000000	-	baseline	3.050264	3.044783	3.054458	3.0503	+0.0000	0.00
scriptlog	pure-scriptlog-1m.log	1000000	1	c1-regex	3.131912	3.128660	3.142223	3.1319	+0.0816	0.76
scriptlog	pure-scriptlog-1m.log	1000000	1	c1-hashset	3.070953	3.068279	3.074554	3.0710	+0.0207	0.19
scriptlog	pure-scriptlog-1m.log	1000000	1	c1-eqchain	3.135240	3.099373	3.174529	3.1352	+0.0850	0.79
scriptlog	pure-scriptlog-1m.log	1000000	3	c3-regex-regex	3.173995	3.168912	3.195252	3.1740	+0.1237	1.15
scriptlog	pure-scriptlog-1m.log	1000000	3	c3-hash-index	3.108619	3.107012	3.157075	3.1086	+0.0584	0.54
scriptlog	pure-scriptlog-1m.log	1000000	3	c3-hash-indexgate-regex	3.130684	3.108898	3.149893	3.1307	+0.0804	0.74
scriptlog	pure-scriptlog-1m.log	1000000	5	c5-closure	3.143137	3.133411	3.160578	3.1431	+0.0929	0.86
scriptlog	pure-scriptlog-1m.log	1000000	5	c5-interp	3.650391	3.646198	3.662505	3.6504	+0.6001	5.56
scriptlog	pure-scriptlog-1m.log	1000000	6	c6-none	3.140828	3.138076	3.170486	3.1408	+0.0906	0.84
scriptlog	pure-scriptlog-1m.log	1000000	6	c6-nested-hash	3.231243	3.208850	3.278355	3.2312	+0.1810	1.68
scriptlog	pure-scriptlog-1m.log	1000000	6	c6-array-idx	3.208667	3.177242	3.264634	3.2087	+0.1584	1.47
