family	fixture	lines	class	arm	median_s	min_s	max_s	us_per_line	delta_us_per_line	pct_of_budget
scriptlog	synth-info-100k.log	100000	-	baseline	0.302765	0.301755	0.305280	3.0276	+0.0000	0.00
scriptlog	synth-info-100k.log	100000	1	c1-regex	0.305429	0.303275	0.310175	3.0543	+0.0266	0.25
scriptlog	synth-info-100k.log	100000	1	c1-hashset	0.304686	0.301601	0.307621	3.0469	+0.0192	0.18
scriptlog	synth-info-100k.log	100000	1	c1-eqchain	0.304050	0.303180	0.308482	3.0405	+0.0129	0.12
scriptlog	synth-info-100k.log	100000	3	c3-regex-regex	0.305370	0.304443	0.307109	3.0537	+0.0261	0.24
scriptlog	synth-info-100k.log	100000	3	c3-hash-index	0.303203	0.302779	0.308067	3.0320	+0.0044	0.04
scriptlog	synth-info-100k.log	100000	3	c3-hash-indexgate-regex	0.303441	0.302487	0.307738	3.0344	+0.0068	0.06
scriptlog	synth-info-100k.log	100000	5	c5-closure	0.305904	0.305396	0.309832	3.0590	+0.0314	0.29
scriptlog	synth-info-100k.log	100000	5	c5-interp	0.348586	0.347622	0.351644	3.4859	+0.4582	4.24
scriptlog	synth-info-100k.log	100000	6	c6-none	0.306345	0.305177	0.310602	3.0635	+0.0358	0.33
scriptlog	synth-info-100k.log	100000	6	c6-nested-hash	0.309438	0.308582	0.312821	3.0944	+0.0667	0.62
scriptlog	synth-info-100k.log	100000	6	c6-array-idx	0.311840	0.310744	0.314664	3.1184	+0.0908	0.84
scriptlog	synth-info-1m.log	1000000	-	baseline	3.097583	3.093695	3.138503	3.0976	+0.0000	0.00
scriptlog	synth-info-1m.log	1000000	1	c1-regex	3.126778	3.122617	3.130106	3.1268	+0.0292	0.27
scriptlog	synth-info-1m.log	1000000	1	c1-hashset	3.116849	3.114131	3.130040	3.1168	+0.0193	0.18
scriptlog	synth-info-1m.log	1000000	1	c1-eqchain	3.149446	3.144624	3.165979	3.1494	+0.0519	0.48
scriptlog	synth-info-1m.log	1000000	3	c3-regex-regex	3.147025	3.144606	3.149578	3.1470	+0.0494	0.46
scriptlog	synth-info-1m.log	1000000	3	c3-hash-index	3.141975	3.141555	3.152008	3.1420	+0.0444	0.41
scriptlog	synth-info-1m.log	1000000	3	c3-hash-indexgate-regex	3.143454	3.138941	3.156209	3.1435	+0.0459	0.42
scriptlog	synth-info-1m.log	1000000	5	c5-closure	3.166325	3.157671	3.186711	3.1663	+0.0687	0.64
scriptlog	synth-info-1m.log	1000000	5	c5-interp	3.591722	3.578136	3.595089	3.5917	+0.4941	4.58
scriptlog	synth-info-1m.log	1000000	6	c6-none	3.164556	3.154353	3.179166	3.1646	+0.0670	0.62
scriptlog	synth-info-1m.log	1000000	6	c6-nested-hash	3.199368	3.189934	3.227665	3.1994	+0.1018	0.94
scriptlog	synth-info-1m.log	1000000	6	c6-array-idx	3.234426	3.226524	3.251637	3.2344	+0.1368	1.27
