label	keys	sources	T	arm	partner	found	missed	miss_rate	probe_len_median	posting_visits_median	dice_per_search	returned_per_search	ms_median	ms_min	ms_max
app-DEBUG	1709	500	50	shipped	500	500	0	0.0%	50	24759	817.0	50.0	8.953	8.646	9.141
app-DEBUG	1709	500	50	sized	500	500	0	0.0%	83	81123	1708.0	50.0	21.137	20.631	21.401
app-DEBUG	1709	500	60	shipped	500	500	0	0.0%	50	24759	817.0	50.0	8.768	8.730	9.202
app-DEBUG	1709	500	60	sized	500	500	0	0.0%	71	60627	1708.0	50.0	19.459	18.714	19.497
app-DEBUG	1709	500	70	shipped	500	500	0	0.0%	50	24759	817.0	50.0	9.073	8.804	9.114
app-DEBUG	1709	500	70	sized	500	500	0	0.0%	58	38410	1708.0	50.0	17.029	16.606	17.051
app-DEBUG	1709	500	75	shipped	500	500	0	0.0%	50	24759	817.0	50.0	8.877	8.717	11.111
app-DEBUG	1709	500	75	sized	500	500	0	0.0%	50	24759	1708.0	50.0	15.986	15.790	19.011
app-DEBUG	1709	500	80	shipped	500	500	0	0.0%	50	24759	817.0	50.0	9.315	9.072	10.918
app-DEBUG	1709	500	80	sized	500	500	0	0.0%	42	11095	1708.0	50.0	14.629	14.415	14.869
app-DEBUG	1709	500	85	shipped	500	500	0	0.0%	50	24759	817.0	50.0	9.122	8.638	9.198
app-DEBUG	1709	500	85	sized	500	500	0	0.0%	33	499	430.1	50.0	3.439	3.435	3.471
app-DEBUG	1709	500	90	shipped	500	500	0	0.0%	50	24759	817.0	50.0	9.043	9.002	9.071
app-DEBUG	1709	500	90	sized	500	500	0	0.0%	23	204	187.9	50.0	1.508	1.491	1.509
app-DEBUG	1709	500	95	shipped	500	500	0	0.0%	50	24759	817.0	50.0	8.985	8.968	9.085
app-DEBUG	1709	500	95	sized	500	500	0	0.0%	12	79	76.7	50.0	0.666	0.632	0.775
