label	keys	sources	T	arm	partner	found	missed	miss_rate	probe_len_median	posting_visits_median	dice_per_search	returned_per_search	ms_median	ms_min	ms_max
app-ERROR	238	238	50	shipped	232	163	69	29.7%	50	509	5.8	5.2	0.243	0.239	0.267
app-ERROR	238	238	50	sized	232	232	0	0.0%	130	6766	186.2	37.3	2.817	2.701	2.869
app-ERROR	238	238	60	shipped	229	127	102	44.5%	50	509	5.8	4.9	0.238	0.236	0.246
app-ERROR	238	238	60	sized	229	229	0	0.0%	111	4918	154.4	36.6	2.229	2.219	2.237
app-ERROR	238	238	70	shipped	224	125	99	44.2%	50	509	5.8	4.9	0.236	0.233	0.240
app-ERROR	238	238	70	sized	224	224	0	0.0%	90	3073	123.4	36.5	1.820	1.793	1.824
app-ERROR	238	238	75	shipped	220	119	101	45.9%	50	509	5.8	4.8	0.236	0.235	0.242
app-ERROR	238	238	75	sized	220	220	0	0.0%	78	2146	115.4	33.6	1.671	1.663	1.692
app-ERROR	238	238	80	shipped	218	118	100	45.9%	50	509	5.8	4.7	0.241	0.233	0.263
app-ERROR	238	238	80	sized	218	218	0	0.0%	65	1226	104.2	30.3	1.510	1.460	1.510
app-ERROR	238	238	85	shipped	216	116	100	46.3%	50	509	5.8	3.8	0.239	0.232	0.252
app-ERROR	238	238	85	sized	216	216	0	0.0%	51	670	80.1	22.9	1.124	1.124	1.740
app-ERROR	238	238	90	shipped	183	108	75	41.0%	50	509	5.6	3.1	0.230	0.229	0.236
app-ERROR	238	238	90	sized	183	183	0	0.0%	36	124	33.5	10.2	0.558	0.536	0.573
app-ERROR	238	238	95	shipped	175	100	75	42.9%	50	509	5.5	1.3	0.233	0.227	0.240
app-ERROR	238	238	95	sized	175	114	61	34.9%	19	23	4.8	1.4	0.169	0.168	0.172
