label	keys	sources	T	arm	partner	found	missed	miss_rate	probe_len_median	posting_visits_median	dice_per_search	returned_per_search	ms_median	ms_min	ms_max
app-WARN	3048	500	50	shipped	500	500	0	0.0%	50	10374	36.2	23.9	1.654	1.553	2.110
app-WARN	3048	500	50	sized	500	500	0	0.0%	112	57461	1467.8	49.2	22.025	20.424	22.770
app-WARN	3048	500	60	shipped	500	500	0	0.0%	50	10374	36.2	23.9	1.568	1.565	2.254
app-WARN	3048	500	60	sized	500	500	0	0.0%	96	45087	1411.0	49.2	18.782	18.480	24.749
app-WARN	3048	500	70	shipped	500	500	0	0.0%	50	10374	36.2	23.9	1.570	1.534	2.117
app-WARN	3048	500	70	sized	500	500	0	0.0%	78	31469	1354.0	49.2	16.939	16.701	22.222
app-WARN	3048	500	75	shipped	500	500	0	0.0%	50	10374	36.2	23.9	1.565	1.506	2.832
app-WARN	3048	500	75	sized	500	500	0	0.0%	67	23180	1337.7	49.2	16.010	15.943	21.742
app-WARN	3048	500	80	shipped	500	500	0	0.0%	50	10374	36.2	23.9	1.643	1.559	2.203
app-WARN	3048	500	80	sized	500	500	0	0.0%	56	14892	1333.8	49.2	15.515	15.313	19.917
app-WARN	3048	500	85	shipped	500	500	0	0.0%	50	10374	36.2	23.9	1.590	1.556	2.177
app-WARN	3048	500	85	sized	500	500	0	0.0%	44	5856	1327.6	49.2	14.441	14.242	17.426
app-WARN	3048	500	90	shipped	500	500	0	0.0%	50	10374	34.3	23.9	1.518	1.517	1.520
app-WARN	3048	500	90	sized	500	500	0	0.0%	31	585	156.6	49.2	1.877	1.870	1.900
app-WARN	3048	500	95	shipped	493	493	0	0.0%	50	10374	34.3	23.8	1.533	1.521	2.037
app-WARN	3048	500	95	sized	493	493	0	0.0%	16	173	44.0	42.9	0.593	0.586	0.616
