label	keys	sources	T	arm	partner	missed	top_is_best	returned_any	gap_median	gap_max	dice_per_search	visits_per_search	ms_median	ms_min	ms_max
app-DEBUG	1709	500	50	shipped	500	0	500	500	0	0	817.0	0	9.576	9.211	10.987
app-DEBUG	1709	500	50	bound_incr_1	500	0	500	500	0	0	3.6	5	0.103	0.099	0.104
app-DEBUG	1709	500	50	first_seen_1	500	0	500	500	0	0	3.6	5	0.104	0.098	0.106
app-DEBUG	1709	500	50	hybrid_b16_1	500	0	500	500	0	0	3.6	5	0.103	0.102	0.104
app-DEBUG	1709	500	50	hybrid_b64_1	500	0	500	500	0	0	3.6	5	0.105	0.101	0.105
app-DEBUG	1709	500	50	hybrid_b64_5	500	0	500	500	0	0	7.1	9	0.133	0.129	0.139
app-DEBUG	1709	500	60	shipped	500	0	500	500	0	0	817.0	0	9.611	9.440	17.338
app-DEBUG	1709	500	60	bound_incr_1	500	0	500	500	0	0	3.6	5	0.113	0.101	0.120
app-DEBUG	1709	500	60	first_seen_1	500	0	500	500	0	0	3.6	5	0.116	0.102	0.133
app-DEBUG	1709	500	60	hybrid_b16_1	500	0	500	500	0	0	3.6	5	0.115	0.106	0.118
app-DEBUG	1709	500	60	hybrid_b64_1	500	0	500	500	0	0	3.6	5	0.106	0.105	0.122
app-DEBUG	1709	500	60	hybrid_b64_5	500	0	500	500	0	0	7.1	9	0.142	0.139	0.170
app-DEBUG	1709	500	70	shipped	500	0	500	500	0	0	817.0	0	9.707	9.667	12.256
app-DEBUG	1709	500	70	bound_incr_1	500	0	500	500	0	0	3.6	5	0.103	0.103	0.114
app-DEBUG	1709	500	70	first_seen_1	500	0	500	500	0	0	3.6	5	0.104	0.101	0.113
app-DEBUG	1709	500	70	hybrid_b16_1	500	0	500	500	0	0	3.6	5	0.103	0.103	0.127
app-DEBUG	1709	500	70	hybrid_b64_1	500	0	500	500	0	0	3.6	5	0.105	0.102	0.115
app-DEBUG	1709	500	70	hybrid_b64_5	500	0	500	500	0	0	7.1	9	0.134	0.130	0.190
app-DEBUG	1709	500	75	shipped	500	0	500	500	0	0	817.0	0	9.580	9.257	10.146
app-DEBUG	1709	500	75	bound_incr_1	500	0	500	500	0	0	3.6	5	0.101	0.098	0.110
app-DEBUG	1709	500	75	first_seen_1	500	0	500	500	0	0	3.6	5	0.103	0.095	0.108
app-DEBUG	1709	500	75	hybrid_b16_1	500	0	500	500	0	0	3.6	5	0.101	0.098	0.105
app-DEBUG	1709	500	75	hybrid_b64_1	500	0	500	500	0	0	3.6	5	0.104	0.103	0.105
app-DEBUG	1709	500	75	hybrid_b64_5	500	0	500	500	0	0	7.1	9	0.132	0.126	0.148
app-DEBUG	1709	500	80	shipped	500	0	500	500	0	0	817.0	0	9.711	9.710	9.801
app-DEBUG	1709	500	80	bound_incr_1	500	0	500	500	0	0	3.6	5	0.102	0.102	0.103
app-DEBUG	1709	500	80	first_seen_1	500	0	500	500	0	0	3.6	5	0.102	0.102	0.103
app-DEBUG	1709	500	80	hybrid_b16_1	500	0	500	500	0	0	3.6	5	0.104	0.098	0.105
app-DEBUG	1709	500	80	hybrid_b64_1	500	0	500	500	0	0	3.6	5	0.104	0.100	0.104
app-DEBUG	1709	500	80	hybrid_b64_5	500	0	500	500	0	0	7.1	9	0.135	0.125	0.143
app-DEBUG	1709	500	85	shipped	500	0	500	500	0	0	817.0	0	9.568	9.415	9.774
app-DEBUG	1709	500	85	bound_incr_1	500	0	500	500	0	0	3.6	5	0.106	0.102	0.110
app-DEBUG	1709	500	85	first_seen_1	500	0	500	500	0	0	3.6	5	0.104	0.101	0.108
app-DEBUG	1709	500	85	hybrid_b16_1	500	0	500	500	0	0	3.6	5	0.103	0.102	0.105
app-DEBUG	1709	500	85	hybrid_b64_1	500	0	500	500	0	0	3.6	5	0.105	0.102	0.119
app-DEBUG	1709	500	85	hybrid_b64_5	500	0	500	500	0	0	7.1	9	0.133	0.130	0.138
app-DEBUG	1709	500	90	shipped	500	0	500	500	0	0	817.0	0	9.518	9.376	10.573
app-DEBUG	1709	500	90	bound_incr_1	500	0	500	500	0	0	3.6	5	0.106	0.104	0.111
app-DEBUG	1709	500	90	first_seen_1	500	0	500	500	0	0	3.6	5	0.106	0.104	0.112
app-DEBUG	1709	500	90	hybrid_b16_1	500	0	500	500	0	0	3.6	5	0.103	0.100	0.104
app-DEBUG	1709	500	90	hybrid_b64_1	500	0	500	500	0	0	3.6	5	0.103	0.103	0.104
app-DEBUG	1709	500	90	hybrid_b64_5	500	0	500	500	0	0	7.1	9	0.130	0.127	0.133
app-DEBUG	1709	500	95	shipped	500	0	500	500	0	0	817.0	0	9.565	9.380	10.250
app-DEBUG	1709	500	95	bound_incr_1	500	0	500	500	0	0	3.6	5	0.102	0.102	0.107
app-DEBUG	1709	500	95	first_seen_1	500	0	500	500	0	0	3.6	5	0.105	0.101	0.107
app-DEBUG	1709	500	95	hybrid_b16_1	500	0	500	500	0	0	3.6	5	0.110	0.105	0.110
app-DEBUG	1709	500	95	hybrid_b64_1	500	0	500	500	0	0	3.6	5	0.106	0.106	0.108
app-DEBUG	1709	500	95	hybrid_b64_5	500	0	500	500	0	0	7.1	9	0.136	0.135	0.137
