label	keys	sources	T	arm	partner	missed	top_is_best	returned_any	gap_median	gap_max	dice_per_search	visits_per_search	ms_median	ms_min	ms_max
app-ERROR	238	238	50	shipped	232	69	107	163	0	46	5.8	0	0.252	0.248	0.280
app-ERROR	238	238	50	bound_incr_1	232	0	98	232	1	47	4.3	144	0.193	0.187	0.212
app-ERROR	238	238	50	first_seen_1	232	0	78	232	4	47	4.5	35	0.161	0.158	0.182
app-ERROR	238	238	50	hybrid_b16_1	232	0	78	232	4	47	3.4	36	0.156	0.152	0.158
app-ERROR	238	238	50	hybrid_b64_1	232	0	78	232	4	47	4.2	35	0.158	0.149	0.166
app-ERROR	238	238	50	hybrid_b64_5	232	0	172	232	0	26	17.3	186	0.343	0.332	0.343
app-ERROR	238	238	60	shipped	229	102	107	127	0	26	5.8	0	0.251	0.241	0.253
app-ERROR	238	238	60	bound_incr_1	229	0	115	229	0	28	4.5	155	0.201	0.200	0.204
app-ERROR	238	238	60	first_seen_1	229	0	101	229	1	28	4.5	40	0.173	0.169	0.176
app-ERROR	238	238	60	hybrid_b16_1	229	0	101	229	1	28	3.4	40	0.165	0.162	0.165
app-ERROR	238	238	60	hybrid_b64_1	229	0	101	229	1	28	4.4	40	0.169	0.167	0.176
app-ERROR	238	238	60	hybrid_b64_5	229	0	172	229	0	26	18.9	165	0.370	0.370	0.374
app-ERROR	238	238	70	shipped	224	99	106	125	0	26	5.8	0	0.248	0.245	0.250
app-ERROR	238	238	70	bound_incr_1	224	0	110	224	1	28	4.2	136	0.190	0.186	0.211
app-ERROR	238	238	70	first_seen_1	224	0	99	224	1	28	4.5	36	0.178	0.167	0.187
app-ERROR	238	238	70	hybrid_b16_1	224	0	99	224	1	28	3.6	36	0.161	0.160	0.164
app-ERROR	238	238	70	hybrid_b64_1	224	0	99	224	1	28	4.5	36	0.172	0.168	0.172
app-ERROR	238	238	70	hybrid_b64_5	224	0	167	224	0	26	14.4	100	0.310	0.303	0.317
app-ERROR	238	238	75	shipped	220	101	103	119	0	5	5.8	0	0.246	0.244	0.252
app-ERROR	238	238	75	bound_incr_1	220	0	115	220	0	24	4.2	123	0.187	0.186	0.197
app-ERROR	238	238	75	first_seen_1	220	0	104	220	1	24	4.2	36	0.173	0.168	0.176
app-ERROR	238	238	75	hybrid_b16_1	220	0	104	220	1	24	3.7	36	0.166	0.165	0.167
app-ERROR	238	238	75	hybrid_b64_1	220	0	104	220	1	24	4.2	36	0.170	0.166	0.175
app-ERROR	238	238	75	hybrid_b64_5	220	0	177	220	0	17	14.0	86	0.307	0.306	0.313
app-ERROR	238	238	80	shipped	218	100	102	118	0	5	5.8	0	0.247	0.247	0.252
app-ERROR	238	238	80	bound_incr_1	218	0	117	218	0	18	4.5	104	0.189	0.187	0.194
app-ERROR	238	238	80	first_seen_1	218	0	106	218	1	18	3.7	32	0.165	0.165	0.170
app-ERROR	238	238	80	hybrid_b16_1	218	0	106	218	1	18	3.7	32	0.163	0.163	0.168
app-ERROR	238	238	80	hybrid_b64_1	218	0	106	218	1	18	3.7	32	0.164	0.163	0.169
app-ERROR	238	238	80	hybrid_b64_5	218	0	183	218	0	17	15.7	83	0.334	0.328	0.355
app-ERROR	238	238	85	shipped	216	100	100	116	0	5	5.8	0	0.258	0.254	0.264
app-ERROR	238	238	85	bound_incr_1	216	0	133	216	0	15	3.7	88	0.188	0.183	0.191
app-ERROR	238	238	85	first_seen_1	216	0	122	216	0	15	3.8	32	0.173	0.168	0.184
app-ERROR	238	238	85	hybrid_b16_1	216	0	122	216	0	15	3.8	32	0.165	0.165	0.193
app-ERROR	238	238	85	hybrid_b64_1	216	0	122	216	0	15	3.8	32	0.169	0.165	0.171
app-ERROR	238	238	85	hybrid_b64_5	216	0	192	216	0	5	19.0	88	0.378	0.370	0.379
app-ERROR	238	238	90	shipped	183	75	92	108	0	5	5.6	0	0.242	0.242	0.242
app-ERROR	238	238	90	bound_incr_1	183	0	121	183	0	6	5.8	76	0.212	0.206	0.228
app-ERROR	238	238	90	first_seen_1	183	0	111	183	0	6	6.2	40	0.203	0.201	0.204
app-ERROR	238	238	90	hybrid_b16_1	183	0	111	183	0	6	6.2	40	0.204	0.200	0.205
app-ERROR	238	238	90	hybrid_b64_1	183	0	111	183	0	6	6.2	40	0.206	0.200	0.210
app-ERROR	238	238	90	hybrid_b64_5	183	0	169	183	0	3	18.3	91	0.366	0.364	0.368
app-ERROR	238	238	95	shipped	175	75	84	100	0	5	5.5	0	0.247	0.240	0.248
app-ERROR	238	238	95	bound_incr_1	175	61	84	114	0	5	1.4	40	0.141	0.139	0.144
app-ERROR	238	238	95	first_seen_1	175	61	78	114	0	5	2.1	27	0.143	0.142	0.151
app-ERROR	238	238	95	hybrid_b16_1	175	61	78	114	0	5	2.0	27	0.147	0.142	0.165
app-ERROR	238	238	95	hybrid_b64_1	175	61	78	114	0	5	2.1	27	0.146	0.140	0.158
app-ERROR	238	238	95	hybrid_b64_5	175	61	90	114	0	5	4.2	54	0.175	0.169	0.178
