label	keys	sources	T	arm	partner	missed	top_is_best	returned_any	gap_median	gap_max	dice_per_search	visits_per_search	ms_median	ms_min	ms_max
app-WARN	3048	500	50	shipped	500	0	500	500	0	0	36.2	0	1.567	1.548	1.590
app-WARN	3048	500	50	bound_incr_1	500	0	500	500	0	0	3.7	5	0.132	0.129	0.137
app-WARN	3048	500	50	first_seen_1	500	0	500	500	0	0	3.7	5	0.132	0.130	0.133
app-WARN	3048	500	50	hybrid_b16_1	500	0	500	500	0	0	3.7	5	0.131	0.129	0.137
app-WARN	3048	500	50	hybrid_b64_1	500	0	500	500	0	0	3.7	5	0.137	0.130	0.142
app-WARN	3048	500	50	hybrid_b64_5	500	0	500	500	0	0	14.2	22	0.246	0.236	0.261
app-WARN	3048	500	60	shipped	500	0	500	500	0	0	36.2	0	1.572	1.559	1.578
app-WARN	3048	500	60	bound_incr_1	500	0	500	500	0	0	3.7	5	0.137	0.131	0.144
app-WARN	3048	500	60	first_seen_1	500	0	500	500	0	0	3.7	5	0.131	0.129	0.138
app-WARN	3048	500	60	hybrid_b16_1	500	0	500	500	0	0	3.7	5	0.133	0.129	0.136
app-WARN	3048	500	60	hybrid_b64_1	500	0	500	500	0	0	3.7	5	0.137	0.129	0.140
app-WARN	3048	500	60	hybrid_b64_5	500	0	500	500	0	0	14.0	21	0.236	0.236	0.255
app-WARN	3048	500	70	shipped	500	0	500	500	0	0	36.2	0	1.608	1.570	1.617
app-WARN	3048	500	70	bound_incr_1	500	0	500	500	0	0	3.7	5	0.137	0.130	0.153
app-WARN	3048	500	70	first_seen_1	500	0	500	500	0	0	3.7	5	0.133	0.132	0.149
app-WARN	3048	500	70	hybrid_b16_1	500	0	500	500	0	0	3.7	5	0.139	0.128	0.142
app-WARN	3048	500	70	hybrid_b64_1	500	0	500	500	0	0	3.7	5	0.135	0.134	0.138
app-WARN	3048	500	70	hybrid_b64_5	500	0	500	500	0	0	13.3	21	0.240	0.234	0.245
app-WARN	3048	500	75	shipped	500	0	500	500	0	0	36.2	0	1.597	1.528	1.598
app-WARN	3048	500	75	bound_incr_1	500	0	500	500	0	0	3.6	5	0.139	0.134	0.179
app-WARN	3048	500	75	first_seen_1	500	0	500	500	0	0	3.6	5	0.138	0.129	0.140
app-WARN	3048	500	75	hybrid_b16_1	500	0	500	500	0	0	3.6	5	0.131	0.130	0.134
app-WARN	3048	500	75	hybrid_b64_1	500	0	500	500	0	0	3.6	5	0.131	0.129	0.167
app-WARN	3048	500	75	hybrid_b64_5	500	0	500	500	0	0	13.1	21	0.242	0.231	0.266
app-WARN	3048	500	80	shipped	500	0	500	500	0	0	36.2	0	1.589	1.567	1.758
app-WARN	3048	500	80	bound_incr_1	500	0	500	500	0	0	3.6	5	0.135	0.130	0.139
app-WARN	3048	500	80	first_seen_1	500	0	500	500	0	0	3.6	5	0.137	0.130	0.138
app-WARN	3048	500	80	hybrid_b16_1	500	0	500	500	0	0	3.6	5	0.136	0.132	0.139
app-WARN	3048	500	80	hybrid_b64_1	500	0	500	500	0	0	3.6	5	0.131	0.128	0.139
app-WARN	3048	500	80	hybrid_b64_5	500	0	500	500	0	0	13.1	21	0.230	0.227	0.237
app-WARN	3048	500	85	shipped	500	0	500	500	0	0	36.2	0	1.550	1.522	1.561
app-WARN	3048	500	85	bound_incr_1	500	0	500	500	0	0	3.6	5	0.132	0.131	0.134
app-WARN	3048	500	85	first_seen_1	500	0	500	500	0	0	3.6	5	0.134	0.134	0.138
app-WARN	3048	500	85	hybrid_b16_1	500	0	500	500	0	0	3.6	5	0.133	0.131	0.135
app-WARN	3048	500	85	hybrid_b64_1	500	0	500	500	0	0	3.6	5	0.130	0.129	0.132
app-WARN	3048	500	85	hybrid_b64_5	500	0	500	500	0	0	13.0	21	0.230	0.228	0.245
app-WARN	3048	500	90	shipped	500	0	500	500	0	0	34.3	0	1.541	1.501	1.543
app-WARN	3048	500	90	bound_incr_1	500	0	500	500	0	0	2.5	5	0.119	0.117	0.121
app-WARN	3048	500	90	first_seen_1	500	0	500	500	0	0	2.5	5	0.119	0.118	0.119
app-WARN	3048	500	90	hybrid_b16_1	500	0	500	500	0	0	2.5	5	0.119	0.118	0.125
app-WARN	3048	500	90	hybrid_b64_1	500	0	500	500	0	0	2.5	5	0.119	0.118	0.122
app-WARN	3048	500	90	hybrid_b64_5	500	0	500	500	0	0	5.7	21	0.158	0.157	0.159
app-WARN	3048	500	95	shipped	493	0	493	493	0	0	34.3	0	1.542	1.534	1.555
app-WARN	3048	500	95	bound_incr_1	493	0	493	493	0	0	2.6	7	0.121	0.120	0.138
app-WARN	3048	500	95	first_seen_1	493	0	493	493	0	0	2.6	7	0.124	0.119	0.124
app-WARN	3048	500	95	hybrid_b16_1	493	0	493	493	0	0	2.6	7	0.127	0.119	0.133
app-WARN	3048	500	95	hybrid_b64_1	493	0	493	493	0	0	2.6	7	0.120	0.117	0.125
app-WARN	3048	500	95	hybrid_b64_5	493	0	493	493	0	0	5.7	22	0.157	0.156	0.158
