label	keys	sources	T	arm	partner	missed	top_is_best	returned_any	gap_median	gap_max	dice_per_search	visits_per_search	ms_median	ms_min	ms_max
day-dl-200	5000	500	50	shipped	500	500	0	0	-	-	0.0	0	0.375	0.369	0.404
day-dl-200	5000	500	50	bound_incr_1	500	0	500	500	0	0	1.2	122453	36.048	34.990	37.298
day-dl-200	5000	500	50	first_seen_1	500	0	3	500	6	14	1.0	19	0.249	0.249	0.303
day-dl-200	5000	500	50	hybrid_b16_1	500	0	3	500	6	14	1.0	19	0.251	0.247	0.252
day-dl-200	5000	500	50	hybrid_b64_1	500	0	3	500	6	14	1.0	19	0.250	0.249	0.251
day-dl-200	5000	500	50	hybrid_b64_5	500	0	14	500	4	13	5.0	27	0.354	0.353	0.357
day-dl-200	5000	500	60	shipped	500	500	0	0	-	-	0.0	0	0.383	0.375	0.392
day-dl-200	5000	500	60	bound_incr_1	500	0	500	500	0	0	1.2	127553	37.789	36.081	38.099
day-dl-200	5000	500	60	first_seen_1	500	0	3	500	6	14	1.0	19	0.249	0.247	0.252
day-dl-200	5000	500	60	hybrid_b16_1	500	0	3	500	6	14	1.0	19	0.254	0.248	0.265
day-dl-200	5000	500	60	hybrid_b64_1	500	0	3	500	6	14	1.0	19	0.253	0.253	0.255
day-dl-200	5000	500	60	hybrid_b64_5	500	0	14	500	4	13	5.0	27	0.350	0.346	0.353
day-dl-200	5000	500	70	shipped	500	500	0	0	-	-	0.0	0	0.368	0.362	0.369
day-dl-200	5000	500	70	bound_incr_1	500	0	500	500	0	0	1.2	115273	33.245	31.808	35.087
day-dl-200	5000	500	70	first_seen_1	500	0	8	500	5	11	1.9	21	0.284	0.273	0.285
day-dl-200	5000	500	70	hybrid_b16_1	500	0	8	500	5	11	1.9	21	0.277	0.274	0.281
day-dl-200	5000	500	70	hybrid_b64_1	500	0	8	500	5	11	1.9	21	0.274	0.272	0.285
day-dl-200	5000	500	70	hybrid_b64_5	500	0	35	500	4	6	9.8	37	0.472	0.454	0.519
day-dl-200	5000	500	75	shipped	500	500	0	0	-	-	0.0	0	0.369	0.342	0.374
day-dl-200	5000	500	75	bound_incr_1	500	0	500	500	0	0	1.2	98603	28.606	26.822	30.381
day-dl-200	5000	500	75	first_seen_1	500	0	12	500	5	6	2.7	22	0.291	0.287	0.320
day-dl-200	5000	500	75	hybrid_b16_1	500	0	12	500	5	6	2.7	22	0.293	0.288	0.303
day-dl-200	5000	500	75	hybrid_b64_1	500	0	12	500	5	6	2.7	22	0.288	0.276	0.291
day-dl-200	5000	500	75	hybrid_b64_5	500	0	68	500	4	6	13.4	43	0.542	0.520	0.545
day-dl-200	5000	500	80	shipped	446	446	0	0	-	-	0.0	0	0.359	0.354	0.369
day-dl-200	5000	500	80	bound_incr_1	446	0	446	446	0	0	1.1	74259	22.911	19.596	24.040
day-dl-200	5000	500	80	first_seen_1	446	0	445	446	0	1	576.4	8431	14.299	14.274	14.530
day-dl-200	5000	500	80	hybrid_b16_1	446	0	445	446	0	1	16.3	63705	20.349	17.850	20.472
day-dl-200	5000	500	80	hybrid_b64_1	446	0	443	446	0	1	40.0	11073	4.464	3.861	4.560
day-dl-200	5000	500	80	hybrid_b64_5	446	0	446	446	0	0	64.2	80270	26.810	22.179	27.087
day-dl-200	5000	500	85	shipped	0	0	0	0	-	-	0.0	0	0.385	0.378	0.397
day-dl-200	5000	500	85	bound_incr_1	0	0	0	0	-	-	0.0	20332	9.515	9.360	10.077
day-dl-200	5000	500	85	first_seen_1	0	0	0	0	-	-	4674.0	20332	108.618	106.166	117.719
day-dl-200	5000	500	85	hybrid_b16_1	0	0	0	0	-	-	16.0	20332	9.317	9.291	10.221
day-dl-200	5000	500	85	hybrid_b64_1	0	0	0	0	-	-	64.0	20332	10.913	10.908	11.050
day-dl-200	5000	500	85	hybrid_b64_5	0	0	0	0	-	-	64.0	20332	11.061	10.664	11.460
day-dl-200	5000	500	90	shipped	0	0	0	0	-	-	0.0	0	0.369	0.353	0.376
day-dl-200	5000	500	90	bound_incr_1	0	0	0	0	-	-	0.0	737	0.840	0.693	0.859
day-dl-200	5000	500	90	first_seen_1	0	0	0	0	-	-	615.7	737	13.920	13.508	14.140
day-dl-200	5000	500	90	hybrid_b16_1	0	0	0	0	-	-	16.0	737	1.285	1.273	1.447
day-dl-200	5000	500	90	hybrid_b64_1	0	0	0	0	-	-	64.0	737	2.326	2.321	2.743
day-dl-200	5000	500	90	hybrid_b64_5	0	0	0	0	-	-	64.0	737	2.343	2.303	2.480
day-dl-200	5000	500	95	shipped	0	0	0	0	-	-	0.0	0	0.384	0.373	0.397
day-dl-200	5000	500	95	bound_incr_1	0	0	0	0	-	-	0.0	39	0.253	0.251	0.273
day-dl-200	5000	500	95	first_seen_1	0	0	0	0	-	-	10.7	39	0.478	0.469	0.479
day-dl-200	5000	500	95	hybrid_b16_1	0	0	0	0	-	-	10.6	39	0.473	0.472	0.512
day-dl-200	5000	500	95	hybrid_b64_1	0	0	0	0	-	-	10.7	39	0.475	0.474	0.491
day-dl-200	5000	500	95	hybrid_b64_5	0	0	0	0	-	-	10.7	39	0.517	0.471	0.547
