label	keys	sources	T	arm	partner	missed	top_is_best	returned_any	gap_median	gap_max	dice_per_search	visits_per_search	ms_median	ms_min	ms_max
day-mixed-200	4990	500	50	shipped	500	298	202	202	0	0	50.6	0	4.070	3.752	4.557
day-mixed-200	4990	500	50	bound_incr_1	500	0	490	500	0	24	1.5	67482	22.415	21.985	22.786
day-mixed-200	4990	500	50	first_seen_1	500	0	107	500	6	44	2.1	35	0.219	0.202	0.220
day-mixed-200	4990	500	50	hybrid_b16_1	500	0	106	500	6	44	1.8	35	0.205	0.205	0.211
day-mixed-200	4990	500	50	hybrid_b64_1	500	0	106	500	6	44	2.0	35	0.199	0.194	0.206
day-mixed-200	4990	500	50	hybrid_b64_5	500	0	179	500	3	24	9.4	312	0.398	0.379	0.404
day-mixed-200	4990	500	60	shipped	495	296	199	199	0	0	49.4	0	4.090	4.016	4.365
day-mixed-200	4990	500	60	bound_incr_1	495	0	489	495	0	23	1.8	70016	22.223	22.094	23.171
day-mixed-200	4990	500	60	first_seen_1	495	0	118	495	5	34	3.1	44	0.242	0.224	0.243
day-mixed-200	4990	500	60	hybrid_b16_1	495	0	118	495	5	34	2.3	44	0.207	0.206	0.237
day-mixed-200	4990	500	60	hybrid_b64_1	495	0	118	495	5	34	2.8	44	0.218	0.198	0.238
day-mixed-200	4990	500	60	hybrid_b64_5	495	0	202	495	3	12	13.0	473	0.487	0.440	0.517
day-mixed-200	4990	500	70	shipped	489	296	193	193	0	0	46.6	0	4.209	3.941	4.443
day-mixed-200	4990	500	70	bound_incr_1	489	0	485	489	0	5	1.6	63413	21.214	20.449	22.035
day-mixed-200	4990	500	70	first_seen_1	489	0	144	489	4	17	5.0	144	0.268	0.263	0.292
day-mixed-200	4990	500	70	hybrid_b16_1	489	0	141	489	4	17	3.2	155	0.258	0.257	0.276
day-mixed-200	4990	500	70	hybrid_b64_1	489	0	144	489	4	17	4.1	154	0.267	0.257	0.287
day-mixed-200	4990	500	70	hybrid_b64_5	489	0	219	489	2	6	17.8	358	0.480	0.469	0.486
day-mixed-200	4990	500	75	shipped	475	296	179	179	0	0	45.1	0	4.349	3.874	4.350
day-mixed-200	4990	500	75	bound_incr_1	475	0	471	475	0	5	1.8	54202	18.490	17.189	18.623
day-mixed-200	4990	500	75	first_seen_1	475	0	157	475	4	14	6.5	123	0.264	0.262	0.277
day-mixed-200	4990	500	75	hybrid_b16_1	475	0	154	475	4	14	4.2	126	0.256	0.255	0.264
day-mixed-200	4990	500	75	hybrid_b64_1	475	0	157	475	4	14	5.7	123	0.269	0.260	0.270
day-mixed-200	4990	500	75	hybrid_b64_5	475	0	238	475	0	6	21.8	309	0.523	0.510	0.535
day-mixed-200	4990	500	80	shipped	408	247	161	161	0	0	42.5	0	3.960	3.905	4.217
day-mixed-200	4990	500	80	bound_incr_1	408	0	402	408	0	9	1.6	40611	13.505	13.185	16.648
day-mixed-200	4990	500	80	first_seen_1	408	0	384	408	0	7	482.8	7035	12.556	12.494	12.782
day-mixed-200	4990	500	80	hybrid_b16_1	408	0	382	408	0	7	12.1	32631	10.937	10.548	11.336
day-mixed-200	4990	500	80	hybrid_b64_1	408	0	384	408	0	7	27.0	7321	3.031	2.993	3.131
day-mixed-200	4990	500	80	hybrid_b64_5	408	0	407	408	0	1	52.5	43467	15.011	14.391	15.244
day-mixed-200	4990	500	85	shipped	132	0	132	132	0	0	37.8	0	3.750	3.676	3.895
day-mixed-200	4990	500	85	bound_incr_1	132	0	125	132	0	7	1.0	10955	5.473	5.282	5.676
day-mixed-200	4990	500	85	first_seen_1	132	0	119	132	0	7	2588.4	10882	61.764	60.734	63.056
day-mixed-200	4990	500	85	hybrid_b16_1	132	0	118	132	0	7	12.6	10883	5.650	5.414	5.659
day-mixed-200	4990	500	85	hybrid_b64_1	132	0	119	132	0	7	43.1	10882	6.323	6.035	6.423
day-mixed-200	4990	500	85	hybrid_b64_5	132	0	132	132	0	0	49.8	10980	6.414	6.099	6.668
day-mixed-200	4990	500	90	shipped	69	0	69	69	0	0	30.3	0	3.733	3.482	3.949
day-mixed-200	4990	500	90	bound_incr_1	69	0	69	69	0	0	2.0	485	0.581	0.528	0.587
day-mixed-200	4990	500	90	first_seen_1	69	0	68	69	0	1	344.0	448	7.927	7.762	9.993
day-mixed-200	4990	500	90	hybrid_b16_1	69	0	68	69	0	1	13.8	448	0.787	0.758	0.800
day-mixed-200	4990	500	90	hybrid_b64_1	69	0	68	69	0	1	43.7	448	1.439	1.430	1.474
day-mixed-200	4990	500	90	hybrid_b64_5	69	0	69	69	0	0	45.0	485	1.436	1.435	1.479
day-mixed-200	4990	500	95	shipped	22	0	22	22	0	0	18.6	0	3.848	3.165	3.961
day-mixed-200	4990	500	95	bound_incr_1	22	0	22	22	0	0	0.5	51	0.185	0.177	0.187
day-mixed-200	4990	500	95	first_seen_1	22	0	22	22	0	0	6.9	49	0.322	0.312	0.338
day-mixed-200	4990	500	95	hybrid_b16_1	22	0	22	22	0	0	6.8	49	0.316	0.315	0.327
day-mixed-200	4990	500	95	hybrid_b64_1	22	0	22	22	0	0	6.9	49	0.311	0.301	0.312
day-mixed-200	4990	500	95	hybrid_b64_5	22	0	22	22	0	0	6.9	49	0.311	0.307	0.312
