label	keys	sources	T	arm	partner	missed	top_is_best	returned_any	gap_median	gap_max	dice_per_search	visits_per_search	ms_median	ms_min	ms_max
errors-ERROR	4990	500	50	shipped	499	1	498	498	0	0	189.8	0	14.051	13.748	15.685
errors-ERROR	4990	500	50	bound_incr_1	499	0	499	499	0	0	15.1	17	0.364	0.362	0.369
errors-ERROR	4990	500	50	first_seen_1	499	0	499	499	0	0	15.1	16	0.366	0.365	0.366
errors-ERROR	4990	500	50	hybrid_b16_1	499	0	499	499	0	0	15.1	16	0.367	0.365	0.368
errors-ERROR	4990	500	50	hybrid_b64_1	499	0	499	499	0	0	15.1	16	0.369	0.360	0.369
errors-ERROR	4990	500	50	hybrid_b64_5	499	0	499	499	0	0	15.1	18	0.370	0.363	0.374
errors-ERROR	4990	500	60	shipped	499	1	498	498	0	0	189.8	0	13.627	13.579	13.651
errors-ERROR	4990	500	60	bound_incr_1	499	0	499	499	0	0	15.1	17	0.372	0.362	0.383
errors-ERROR	4990	500	60	first_seen_1	499	0	499	499	0	0	15.1	16	0.373	0.368	0.381
errors-ERROR	4990	500	60	hybrid_b16_1	499	0	499	499	0	0	15.1	16	0.393	0.367	0.393
errors-ERROR	4990	500	60	hybrid_b64_1	499	0	499	499	0	0	15.1	16	0.365	0.362	0.397
errors-ERROR	4990	500	60	hybrid_b64_5	499	0	499	499	0	0	15.1	17	0.367	0.365	0.563
errors-ERROR	4990	500	70	shipped	498	0	498	498	0	0	189.8	0	13.805	13.280	14.397
errors-ERROR	4990	500	70	bound_incr_1	498	0	498	498	0	0	15.1	17	0.371	0.370	0.406
errors-ERROR	4990	500	70	first_seen_1	498	0	498	498	0	0	15.1	17	0.373	0.369	0.380
errors-ERROR	4990	500	70	hybrid_b16_1	498	0	498	498	0	0	15.1	17	0.378	0.367	0.382
errors-ERROR	4990	500	70	hybrid_b64_1	498	0	498	498	0	0	15.1	17	0.371	0.366	0.413
errors-ERROR	4990	500	70	hybrid_b64_5	498	0	498	498	0	0	15.1	17	0.388	0.381	0.397
errors-ERROR	4990	500	75	shipped	498	0	498	498	0	0	189.8	0	14.704	13.540	14.808
errors-ERROR	4990	500	75	bound_incr_1	498	0	498	498	0	0	15.1	17	0.369	0.368	0.374
errors-ERROR	4990	500	75	first_seen_1	498	0	498	498	0	0	15.1	16	0.370	0.362	0.389
errors-ERROR	4990	500	75	hybrid_b16_1	498	0	498	498	0	0	15.1	16	0.371	0.365	0.377
errors-ERROR	4990	500	75	hybrid_b64_1	498	0	498	498	0	0	15.1	16	0.365	0.361	0.404
errors-ERROR	4990	500	75	hybrid_b64_5	498	0	498	498	0	0	15.1	17	0.363	0.363	0.366
errors-ERROR	4990	500	80	shipped	496	0	496	496	0	0	189.8	0	13.753	13.259	13.990
errors-ERROR	4990	500	80	bound_incr_1	496	0	496	496	0	0	15.1	17	0.370	0.369	0.378
errors-ERROR	4990	500	80	first_seen_1	496	0	496	496	0	0	15.1	17	0.389	0.361	0.402
errors-ERROR	4990	500	80	hybrid_b16_1	496	0	496	496	0	0	15.1	17	0.368	0.362	0.379
errors-ERROR	4990	500	80	hybrid_b64_1	496	0	496	496	0	0	15.1	17	0.363	0.362	0.392
errors-ERROR	4990	500	80	hybrid_b64_5	496	0	496	496	0	0	15.1	17	0.368	0.364	0.369
errors-ERROR	4990	500	85	shipped	496	0	496	496	0	0	189.8	0	13.536	12.956	13.626
errors-ERROR	4990	500	85	bound_incr_1	496	0	496	496	0	0	15.1	16	0.365	0.362	0.366
errors-ERROR	4990	500	85	first_seen_1	496	0	496	496	0	0	15.1	16	0.368	0.368	0.394
errors-ERROR	4990	500	85	hybrid_b16_1	496	0	496	496	0	0	15.1	16	0.372	0.365	0.381
errors-ERROR	4990	500	85	hybrid_b64_1	496	0	496	496	0	0	15.1	16	0.367	0.358	0.370
errors-ERROR	4990	500	85	hybrid_b64_5	496	0	496	496	0	0	15.1	16	0.372	0.368	0.378
errors-ERROR	4990	500	90	shipped	496	0	496	496	0	0	189.8	0	13.621	13.308	13.790
errors-ERROR	4990	500	90	bound_incr_1	496	0	496	496	0	0	15.1	16	0.371	0.362	0.386
errors-ERROR	4990	500	90	first_seen_1	496	0	496	496	0	0	15.1	16	0.359	0.358	0.364
errors-ERROR	4990	500	90	hybrid_b16_1	496	0	496	496	0	0	15.1	16	0.362	0.360	0.398
errors-ERROR	4990	500	90	hybrid_b64_1	496	0	496	496	0	0	15.1	16	0.374	0.360	0.378
errors-ERROR	4990	500	90	hybrid_b64_5	496	0	496	496	0	0	15.1	16	0.363	0.362	0.367
errors-ERROR	4990	500	95	shipped	496	0	496	496	0	0	189.8	0	13.723	12.929	13.750
errors-ERROR	4990	500	95	bound_incr_1	496	0	496	496	0	0	15.1	16	0.372	0.367	0.434
errors-ERROR	4990	500	95	first_seen_1	496	0	496	496	0	0	15.1	16	0.374	0.374	0.385
errors-ERROR	4990	500	95	hybrid_b16_1	496	0	496	496	0	0	15.1	16	0.373	0.368	0.383
errors-ERROR	4990	500	95	hybrid_b64_1	496	0	496	496	0	0	15.1	16	0.370	0.368	0.385
errors-ERROR	4990	500	95	hybrid_b64_5	496	0	496	496	0	0	15.1	16	0.370	0.367	0.396
