label	keys	sources	T	arm	partner	missed	top_is_best	returned_any	gap_median	gap_max	dice_per_search	visits_per_search	ms_median	ms_min	ms_max
script-ERROR	209	209	50	shipped	208	1	207	207	0	0	30.5	0	0.564	0.539	0.628
script-ERROR	209	209	50	bound_incr_1	208	0	197	208	0	15	3.0	592	0.249	0.239	0.291
script-ERROR	209	209	50	first_seen_1	208	0	112	208	0	45	4.5	19	0.147	0.131	0.163
script-ERROR	209	209	50	hybrid_b16_1	208	0	112	208	0	45	3.6	19	0.131	0.127	0.160
script-ERROR	209	209	50	hybrid_b64_1	208	0	112	208	0	45	3.9	19	0.141	0.133	0.155
script-ERROR	209	209	50	hybrid_b64_5	208	0	197	208	0	8	16.5	142	0.294	0.287	0.312
script-ERROR	209	209	60	shipped	206	0	206	206	0	0	29.6	0	0.545	0.536	0.551
script-ERROR	209	209	60	bound_incr_1	206	0	196	206	0	8	2.9	610	0.276	0.237	0.354
script-ERROR	209	209	60	first_seen_1	206	0	149	206	0	25	7.4	26	0.185	0.184	0.308
script-ERROR	209	209	60	hybrid_b16_1	206	0	149	206	0	25	5.1	33	0.170	0.160	0.262
script-ERROR	209	209	60	hybrid_b64_1	206	0	149	206	0	25	6.3	26	0.204	0.160	0.256
script-ERROR	209	209	60	hybrid_b64_5	206	0	196	206	0	8	18.2	94	0.344	0.319	0.391
script-ERROR	209	209	70	shipped	204	0	204	204	0	0	29.1	0	0.535	0.534	0.571
script-ERROR	209	209	70	bound_incr_1	204	0	193	204	0	8	3.1	565	0.262	0.256	0.262
script-ERROR	209	209	70	first_seen_1	204	0	150	204	0	18	6.4	22	0.184	0.182	0.223
script-ERROR	209	209	70	hybrid_b16_1	204	0	150	204	0	18	5.1	28	0.174	0.150	0.184
script-ERROR	209	209	70	hybrid_b64_1	204	0	150	204	0	18	6.2	22	0.173	0.167	0.284
script-ERROR	209	209	70	hybrid_b64_5	204	0	194	204	0	8	15.5	58	0.285	0.270	0.511
script-ERROR	209	209	75	shipped	204	0	204	204	0	0	29.0	0	1.348	0.523	1.434
script-ERROR	209	209	75	bound_incr_1	204	0	187	204	0	18	4.2	516	0.400	0.235	1.005
script-ERROR	209	209	75	first_seen_1	204	0	150	204	0	18	5.7	18	0.161	0.157	0.274
script-ERROR	209	209	75	hybrid_b16_1	204	0	150	204	0	18	4.8	23	0.158	0.150	0.435
script-ERROR	209	209	75	hybrid_b64_1	204	0	150	204	0	18	5.6	18	0.159	0.151	0.332
script-ERROR	209	209	75	hybrid_b64_5	204	0	194	204	0	8	14.3	50	0.276	0.257	0.585
script-ERROR	209	209	80	shipped	201	0	201	201	0	0	28.5	0	0.614	0.554	1.044
script-ERROR	209	209	80	bound_incr_1	201	0	181	201	0	16	2.9	453	0.236	0.222	0.454
script-ERROR	209	209	80	first_seen_1	201	0	162	201	0	11	5.1	18	0.160	0.151	0.348
script-ERROR	209	209	80	hybrid_b16_1	201	0	161	201	0	11	4.7	21	0.160	0.141	0.330
script-ERROR	209	209	80	hybrid_b64_1	201	0	162	201	0	11	5.1	18	0.166	0.157	0.438
script-ERROR	209	209	80	hybrid_b64_5	201	0	193	201	0	3	13.9	54	0.286	0.262	0.493
script-ERROR	209	209	85	shipped	197	0	197	197	0	0	26.8	0	0.574	0.493	0.900
script-ERROR	209	209	85	bound_incr_1	197	0	180	197	0	9	3.2	370	0.209	0.196	0.401
script-ERROR	209	209	85	first_seen_1	197	0	159	197	0	11	4.8	18	0.210	0.161	0.309
script-ERROR	209	209	85	hybrid_b16_1	197	0	158	197	0	11	4.5	18	0.219	0.144	0.351
script-ERROR	209	209	85	hybrid_b64_1	197	0	159	197	0	11	4.8	18	0.190	0.147	0.354
script-ERROR	209	209	85	hybrid_b64_5	197	0	190	197	0	3	14.2	72	0.318	0.276	0.558
script-ERROR	209	209	90	shipped	191	0	191	191	0	0	26.2	0	0.858	0.492	1.109
script-ERROR	209	209	90	bound_incr_1	191	0	179	191	0	4	3.7	262	0.350	0.188	0.392
script-ERROR	209	209	90	first_seen_1	191	0	177	191	0	4	5.6	29	0.249	0.163	0.352
script-ERROR	209	209	90	hybrid_b16_1	191	0	176	191	0	4	4.8	29	0.157	0.155	0.360
script-ERROR	209	209	90	hybrid_b64_1	191	0	177	191	0	4	5.6	29	0.196	0.171	0.237
script-ERROR	209	209	90	hybrid_b64_5	191	0	190	191	0	1	16.8	135	0.327	0.313	0.456
script-ERROR	209	209	95	shipped	157	0	157	157	0	0	20.1	0	0.482	0.455	0.516
script-ERROR	209	209	95	bound_incr_1	157	0	148	157	0	2	3.1	119	0.163	0.150	0.164
script-ERROR	209	209	95	first_seen_1	157	0	149	157	0	3	5.5	24	0.173	0.170	0.189
script-ERROR	209	209	95	hybrid_b16_1	157	0	149	157	0	3	5.1	24	0.163	0.156	0.169
script-ERROR	209	209	95	hybrid_b64_1	157	0	149	157	0	3	5.5	24	0.171	0.170	0.174
script-ERROR	209	209	95	hybrid_b64_5	157	0	156	157	0	1	12.5	60	0.286	0.268	0.337
