label	keys	sources	T	arm	partner	missed	top_is_best	returned_any	gap_median	gap_max	dice_per_search	visits_per_search	ms_median	ms_min	ms_max
script-INFO	2851	500	50	shipped	500	1	494	499	0	14	1727.4	0	20.852	20.202	21.791
script-INFO	2851	500	50	bound_incr_1	500	0	144	500	5	39	2.2	9557	2.814	2.610	3.038
script-INFO	2851	500	50	first_seen_1	500	0	228	500	1	31	39.1	41	0.342	0.315	0.350
script-INFO	2851	500	50	hybrid_b16_1	500	0	178	500	2	31	9.0	41	0.137	0.134	0.143
script-INFO	2851	500	50	hybrid_b64_1	500	0	215	500	1	31	22.3	41	0.220	0.213	0.221
script-INFO	2851	500	50	hybrid_b64_5	500	0	267	500	0	17	25.9	46	0.255	0.239	0.259
script-INFO	2851	500	60	shipped	500	1	494	499	0	14	1727.4	0	21.296	21.229	27.817
script-INFO	2851	500	60	bound_incr_1	500	0	122	500	5	26	2.1	9713	2.938	2.906	3.524
script-INFO	2851	500	60	first_seen_1	500	0	228	500	1	31	39.1	41	0.337	0.318	0.356
script-INFO	2851	500	60	hybrid_b16_1	500	0	178	500	2	31	9.0	41	0.141	0.138	0.144
script-INFO	2851	500	60	hybrid_b64_1	500	0	215	500	1	31	22.3	41	0.218	0.216	0.243
script-INFO	2851	500	60	hybrid_b64_5	500	0	267	500	0	17	25.9	46	0.254	0.244	0.265
script-INFO	2851	500	70	shipped	500	1	494	499	0	14	1679.4	0	20.063	19.677	20.595
script-INFO	2851	500	70	bound_incr_1	500	0	86	500	6	26	3.7	7026	2.156	1.930	2.242
script-INFO	2851	500	70	first_seen_1	500	0	228	500	1	21	37.9	41	0.313	0.303	0.318
script-INFO	2851	500	70	hybrid_b16_1	500	0	180	500	2	21	8.9	41	0.140	0.134	0.147
script-INFO	2851	500	70	hybrid_b64_1	500	0	216	500	1	21	22.1	41	0.217	0.213	0.236
script-INFO	2851	500	70	hybrid_b64_5	500	0	275	500	0	16	26.3	48	0.250	0.240	0.289
script-INFO	2851	500	75	shipped	500	1	494	499	0	14	1639.6	0	19.045	18.631	20.077
script-INFO	2851	500	75	bound_incr_1	500	0	56	500	8	20	2.3	4455	1.461	1.424	1.598
script-INFO	2851	500	75	first_seen_1	500	0	228	500	1	18	36.4	41	0.295	0.291	0.323
script-INFO	2851	500	75	hybrid_b16_1	500	0	180	500	2	18	8.9	41	0.137	0.134	0.144
script-INFO	2851	500	75	hybrid_b64_1	500	0	217	500	1	18	22.0	41	0.212	0.211	0.215
script-INFO	2851	500	75	hybrid_b64_5	500	0	278	500	0	16	26.6	129	0.280	0.272	0.283
script-INFO	2851	500	80	shipped	500	1	494	499	0	14	1619.3	0	19.079	18.607	20.001
script-INFO	2851	500	80	bound_incr_1	500	0	112	500	5	16	15.1	5048	1.757	1.722	1.949
script-INFO	2851	500	80	first_seen_1	500	0	242	500	1	16	36.9	42	0.291	0.285	0.317
script-INFO	2851	500	80	hybrid_b16_1	500	0	192	500	1	16	9.2	46	0.139	0.134	0.151
script-INFO	2851	500	80	hybrid_b64_1	500	0	231	500	1	16	22.5	42	0.208	0.204	0.221
script-INFO	2851	500	80	hybrid_b64_5	500	0	285	500	0	10	28.1	80	0.256	0.248	0.265
script-INFO	2851	500	85	shipped	500	6	494	494	0	0	1531.7	0	18.363	17.705	18.885
script-INFO	2851	500	85	bound_incr_1	500	2	132	498	4	10	104.9	4014	2.245	2.240	2.438
script-INFO	2851	500	85	first_seen_1	500	2	258	498	0	11	36.5	43	0.315	0.291	0.324
script-INFO	2851	500	85	hybrid_b16_1	500	2	206	498	1	12	9.6	53	0.144	0.142	0.151
script-INFO	2851	500	85	hybrid_b64_1	500	2	247	498	1	11	22.7	43	0.218	0.214	0.244
script-INFO	2851	500	85	hybrid_b64_5	500	2	306	498	0	7	32.6	145	0.327	0.317	0.350
script-INFO	2851	500	90	shipped	495	6	489	489	0	0	1092.0	0	14.751	14.323	15.289
script-INFO	2851	500	90	bound_incr_1	495	7	288	488	0	8	10.3	2581	0.988	0.929	1.017
script-INFO	2851	500	90	first_seen_1	495	7	297	488	0	5	26.9	67	0.255	0.253	0.256
script-INFO	2851	500	90	hybrid_b16_1	495	7	274	488	0	5	12.6	347	0.256	0.254	0.266
script-INFO	2851	500	90	hybrid_b64_1	495	7	298	488	0	5	22.9	151	0.258	0.245	0.305
script-INFO	2851	500	90	hybrid_b64_5	495	7	391	488	0	5	45.9	757	0.628	0.606	0.676
script-INFO	2851	500	95	shipped	239	5	234	234	0	0	927.3	0	13.460	13.166	14.374
script-INFO	2851	500	95	bound_incr_1	239	6	193	233	0	2	13.4	1071	0.570	0.506	0.584
script-INFO	2851	500	95	first_seen_1	239	6	189	233	0	2	176.1	535	1.546	1.527	1.772
script-INFO	2851	500	95	hybrid_b16_1	239	6	179	233	0	2	20.3	633	0.446	0.426	0.496
script-INFO	2851	500	95	hybrid_b64_1	239	6	185	233	0	2	45.7	542	0.602	0.552	0.644
script-INFO	2851	500	95	hybrid_b64_5	239	6	222	233	0	1	56.9	901	0.819	0.744	0.909
