label	keys	sources	T	arm	partner	missed	top_is_best	returned_any	gap_median	gap_max	dice_per_search	visits_per_search	ms_median	ms_min	ms_max
script-WARN	1940	500	50	shipped	500	0	500	500	0	0	819.8	0	11.822	11.614	12.315
script-WARN	1940	500	50	bound_incr_1	500	0	385	500	0	3	5.8	7629	1.874	1.809	1.874
script-WARN	1940	500	50	first_seen_1	500	0	343	500	0	29	39.9	41	0.477	0.471	0.513
script-WARN	1940	500	50	hybrid_b16_1	500	0	211	500	1	29	14.9	41	0.249	0.242	0.299
script-WARN	1940	500	50	hybrid_b64_1	500	0	334	500	0	29	38.1	41	0.449	0.440	0.546
script-WARN	1940	500	50	hybrid_b64_5	500	0	342	500	0	21	38.8	43	0.466	0.446	0.471
script-WARN	1940	500	60	shipped	500	0	500	500	0	0	819.8	0	12.190	11.661	13.677
script-WARN	1940	500	60	bound_incr_1	500	0	450	500	0	3	3.9	7888	1.710	1.705	1.795
script-WARN	1940	500	60	first_seen_1	500	0	343	500	0	29	39.9	41	0.453	0.443	0.455
script-WARN	1940	500	60	hybrid_b16_1	500	0	211	500	1	29	14.9	41	0.233	0.231	0.234
script-WARN	1940	500	60	hybrid_b64_1	500	0	334	500	0	29	38.1	41	0.433	0.428	0.448
script-WARN	1940	500	60	hybrid_b64_5	500	0	342	500	0	21	38.8	43	0.444	0.441	0.454
script-WARN	1940	500	70	shipped	500	0	500	500	0	0	819.8	0	12.381	11.630	12.633
script-WARN	1940	500	70	bound_incr_1	500	0	446	500	0	3	6.6	7362	1.709	1.637	1.895
script-WARN	1940	500	70	first_seen_1	500	0	344	500	0	25	39.9	41	0.451	0.445	0.466
script-WARN	1940	500	70	hybrid_b16_1	500	0	212	500	1	25	14.9	41	0.237	0.230	0.243
script-WARN	1940	500	70	hybrid_b64_1	500	0	335	500	0	25	38.1	41	0.467	0.434	0.481
script-WARN	1940	500	70	hybrid_b64_5	500	0	342	500	0	21	39.0	55	0.481	0.440	0.520
script-WARN	1940	500	75	shipped	500	0	500	500	0	0	819.8	0	12.740	12.723	13.701
script-WARN	1940	500	75	bound_incr_1	500	0	399	500	0	3	4.6	6596	1.551	1.466	1.640
script-WARN	1940	500	75	first_seen_1	500	0	346	500	0	21	40.1	41	0.447	0.443	0.469
script-WARN	1940	500	75	hybrid_b16_1	500	0	213	500	1	21	15.0	41	0.230	0.227	0.238
script-WARN	1940	500	75	hybrid_b64_1	500	0	337	500	0	21	38.3	41	0.434	0.422	0.434
script-WARN	1940	500	75	hybrid_b64_5	500	0	353	500	0	15	40.3	47	0.465	0.445	0.473
script-WARN	1940	500	80	shipped	500	0	500	500	0	0	819.8	0	12.063	12.016	13.579
script-WARN	1940	500	80	bound_incr_1	500	0	401	500	0	3	5.1	5763	1.427	1.401	1.436
script-WARN	1940	500	80	first_seen_1	500	0	350	500	0	15	40.4	42	0.459	0.449	0.478
script-WARN	1940	500	80	hybrid_b16_1	500	0	223	500	1	18	15.3	96	0.253	0.248	0.256
script-WARN	1940	500	80	hybrid_b64_1	500	0	341	500	0	15	38.6	42	0.443	0.438	0.445
script-WARN	1940	500	80	hybrid_b64_5	500	0	361	500	0	14	42.1	64	0.494	0.489	0.498
script-WARN	1940	500	85	shipped	500	0	500	500	0	0	819.8	0	11.636	11.142	12.550
script-WARN	1940	500	85	bound_incr_1	500	0	389	500	0	9	6.2	4624	1.181	1.147	1.325
script-WARN	1940	500	85	first_seen_1	500	0	358	500	0	10	41.7	43	0.457	0.452	0.479
script-WARN	1940	500	85	hybrid_b16_1	500	0	245	500	1	13	16.7	192	0.281	0.274	0.295
script-WARN	1940	500	85	hybrid_b64_1	500	0	350	500	0	10	39.3	46	0.438	0.430	0.457
script-WARN	1940	500	85	hybrid_b64_5	500	0	388	500	0	3	45.2	119	0.510	0.510	0.553
script-WARN	1940	500	90	shipped	498	0	498	498	0	0	819.5	0	12.657	11.337	12.693
script-WARN	1940	500	90	bound_incr_1	498	0	447	498	0	3	6.8	3143	1.083	0.894	1.107
script-WARN	1940	500	90	first_seen_1	498	0	381	498	0	3	45.3	49	0.521	0.482	0.572
script-WARN	1940	500	90	hybrid_b16_1	498	0	269	498	0	5	16.8	220	0.309	0.291	0.360
script-WARN	1940	500	90	hybrid_b64_1	498	0	372	498	0	3	40.8	55	0.466	0.458	0.507
script-WARN	1940	500	90	hybrid_b64_5	498	0	394	498	0	3	47.7	154	0.542	0.528	0.547
script-WARN	1940	500	95	shipped	495	0	495	495	0	0	643.5	0	9.756	9.475	9.882
script-WARN	1940	500	95	bound_incr_1	495	0	436	495	0	3	18.1	1568	0.749	0.746	0.771
script-WARN	1940	500	95	first_seen_1	495	0	378	495	0	3	41.9	49	0.466	0.462	0.475
script-WARN	1940	500	95	hybrid_b16_1	495	0	276	495	0	3	16.6	111	0.273	0.264	0.274
script-WARN	1940	500	95	hybrid_b64_1	495	0	371	495	0	3	38.8	49	0.444	0.427	0.453
script-WARN	1940	500	95	hybrid_b64_5	495	0	396	495	0	3	47.0	99	0.521	0.511	0.527
