label	keys	sources	T	arm	partner	missed	top_is_best	returned_any	gap_median	gap_max	dice_per_search	visits_per_search	ms_median	ms_min	ms_max
tomcat-200	2870	500	50	shipped	500	0	500	500	0	0	650.4	0	5.140	4.914	5.351
tomcat-200	2870	500	50	bound_incr_1	500	0	356	500	0	43	1.5	407	0.177	0.170	0.181
tomcat-200	2870	500	50	first_seen_1	500	0	287	500	0	40	5.8	10	0.066	0.063	0.071
tomcat-200	2870	500	50	hybrid_b16_1	500	0	285	500	0	40	3.7	16	0.063	0.063	0.067
tomcat-200	2870	500	50	hybrid_b64_1	500	0	286	500	0	40	4.2	10	0.063	0.061	0.071
tomcat-200	2870	500	50	hybrid_b64_5	500	0	417	500	0	40	18.3	63	0.153	0.148	0.155
tomcat-200	2870	500	60	shipped	499	0	499	499	0	0	635.5	0	5.008	4.688	5.219
tomcat-200	2870	500	60	bound_incr_1	499	0	360	499	0	32	1.7	423	0.187	0.167	0.191
tomcat-200	2870	500	60	first_seen_1	499	0	319	499	0	33	7.7	17	0.081	0.077	0.081
tomcat-200	2870	500	60	hybrid_b16_1	499	0	315	499	0	33	4.5	31	0.075	0.073	0.078
tomcat-200	2870	500	60	hybrid_b64_1	499	0	318	499	0	33	5.4	21	0.072	0.070	0.075
tomcat-200	2870	500	60	hybrid_b64_5	499	0	452	499	0	25	30.8	263	0.280	0.265	0.281
tomcat-200	2870	500	70	shipped	482	0	482	482	0	0	599.6	0	4.873	4.543	5.133
tomcat-200	2870	500	70	bound_incr_1	482	0	392	482	0	24	3.6	427	0.187	0.185	0.215
tomcat-200	2870	500	70	first_seen_1	482	0	357	482	0	20	20.0	57	0.158	0.147	0.158
tomcat-200	2870	500	70	hybrid_b16_1	482	0	355	482	0	20	6.1	88	0.098	0.093	0.103
tomcat-200	2870	500	70	hybrid_b64_1	482	0	357	482	0	20	9.7	65	0.108	0.108	0.111
tomcat-200	2870	500	70	hybrid_b64_5	482	0	465	482	0	20	46.2	516	0.413	0.399	0.426
tomcat-200	2870	500	75	shipped	451	0	451	451	0	0	551.7	0	4.807	4.372	4.956
tomcat-200	2870	500	75	bound_incr_1	451	0	381	451	0	19	4.4	387	0.183	0.177	0.187
tomcat-200	2870	500	75	first_seen_1	451	0	362	451	0	18	31.2	87	0.212	0.195	0.217
tomcat-200	2870	500	75	hybrid_b16_1	451	0	359	451	0	18	7.7	125	0.120	0.109	0.122
tomcat-200	2870	500	75	hybrid_b64_1	451	0	359	451	0	18	13.9	97	0.140	0.138	0.141
tomcat-200	2870	500	75	hybrid_b64_5	451	0	442	451	0	5	52.5	555	0.454	0.431	0.470
tomcat-200	2870	500	80	shipped	403	0	403	403	0	0	455.3	0	4.533	4.039	4.547
tomcat-200	2870	500	80	bound_incr_1	403	0	353	403	0	15	5.0	329	0.174	0.164	0.176
tomcat-200	2870	500	80	first_seen_1	403	0	347	403	0	9	33.0	107	0.238	0.232	0.245
tomcat-200	2870	500	80	hybrid_b16_1	403	0	343	403	0	9	9.1	136	0.133	0.130	0.133
tomcat-200	2870	500	80	hybrid_b64_1	403	0	343	403	0	9	17.4	112	0.167	0.156	0.171
tomcat-200	2870	500	80	hybrid_b64_5	403	0	398	403	0	3	55.6	556	0.497	0.482	0.513
tomcat-200	2870	500	85	shipped	330	0	330	330	0	0	319.0	0	3.901	3.639	4.180
tomcat-200	2870	500	85	bound_incr_1	330	0	307	330	0	10	5.5	243	0.151	0.143	0.151
tomcat-200	2870	500	85	first_seen_1	330	0	307	330	0	8	31.4	116	0.232	0.226	0.232
tomcat-200	2870	500	85	hybrid_b16_1	330	0	307	330	0	8	10.4	135	0.135	0.132	0.138
tomcat-200	2870	500	85	hybrid_b64_1	330	0	306	330	0	8	20.2	118	0.178	0.173	0.180
tomcat-200	2870	500	85	hybrid_b64_5	330	0	326	330	0	3	49.7	380	0.412	0.401	0.417
tomcat-200	2870	500	90	shipped	203	0	203	203	0	0	196.2	0	3.371	3.269	3.489
tomcat-200	2870	500	90	bound_incr_1	203	0	197	203	0	5	3.8	136	0.107	0.107	0.124
tomcat-200	2870	500	90	first_seen_1	203	0	198	203	0	3	24.1	98	0.201	0.196	0.242
tomcat-200	2870	500	90	hybrid_b16_1	203	0	198	203	0	3	10.5	100	0.130	0.122	0.159
tomcat-200	2870	500	90	hybrid_b64_1	203	0	198	203	0	3	19.2	98	0.175	0.174	0.194
tomcat-200	2870	500	90	hybrid_b64_5	203	0	203	203	0	0	31.8	180	0.269	0.259	0.280
tomcat-200	2870	500	95	shipped	36	0	36	36	0	0	96.5	0	2.951	2.915	3.299
tomcat-200	2870	500	95	bound_incr_1	36	0	36	36	0	0	1.7	47	0.066	0.063	0.067
tomcat-200	2870	500	95	first_seen_1	36	0	35	36	0	2	7.1	45	0.094	0.089	0.103
tomcat-200	2870	500	95	hybrid_b16_1	36	0	35	36	0	2	6.0	45	0.087	0.082	0.101
tomcat-200	2870	500	95	hybrid_b64_1	36	0	35	36	0	2	7.1	45	0.089	0.088	0.104
tomcat-200	2870	500	95	hybrid_b64_5	36	0	36	36	0	0	7.6	49	0.097	0.095	0.101
