label	keys	sources	T	arm	partner	found	missed	miss_rate	probe_len_median	posting_visits_median	dice_per_search	returned_per_search	ms_median	ms_min	ms_max
day-dl-200	5000	500	50	shipped	500	0	500	100.0%	50	429	0.0	0.0	0.351	0.351	0.351
day-dl-200	5000	500	50	sized	500	500	0	0.0%	190	554125	4999.0	50.0	193.084	187.901	193.616
day-dl-200	5000	500	60	shipped	500	0	500	100.0%	50	429	0.0	0.0	0.348	0.339	0.360
day-dl-200	5000	500	60	sized	500	500	0	0.0%	163	416868	4999.0	50.0	173.864	169.685	175.448
day-dl-200	5000	500	70	shipped	500	0	500	100.0%	50	429	0.0	0.0	0.354	0.353	0.388
day-dl-200	5000	500	70	sized	500	500	0	0.0%	132	261899	4999.0	50.0	145.014	142.085	148.585
day-dl-200	5000	500	75	shipped	500	0	500	100.0%	50	429	0.0	0.0	0.365	0.343	0.366
day-dl-200	5000	500	75	sized	500	500	0	0.0%	114	175020	4999.0	50.0	134.832	133.527	136.348
day-dl-200	5000	500	80	shipped	446	0	446	100.0%	50	429	0.0	0.0	0.354	0.352	0.363
day-dl-200	5000	500	80	sized	446	446	0	0.0%	95	80366	4999.0	1.5	116.487	115.838	118.145
day-dl-200	5000	500	85	shipped	0	0	0	-	50	429	0.0	0.0	0.373	0.350	0.466
day-dl-200	5000	500	85	sized	0	0	0	-	75	20142	4674.0	0.0	103.187	100.481	103.477
day-dl-200	5000	500	90	shipped	0	0	0	-	50	429	0.0	0.0	0.354	0.349	0.374
day-dl-200	5000	500	90	sized	0	0	0	-	52	653	615.7	0.0	13.312	13.221	13.452
day-dl-200	5000	500	95	shipped	0	0	0	-	50	429	0.0	0.0	0.355	0.348	0.360
day-dl-200	5000	500	95	sized	0	0	0	-	28	11	10.7	0.0	0.469	0.468	0.474
