label	keys	sources	T	arm	partner	found	missed	miss_rate	probe_len_median	posting_visits_median	dice_per_search	returned_per_search	ms_median	ms_min	ms_max
day-mixed-200	4990	500	50	shipped	500	202	298	59.6%	50	494	50.6	14.6	4.173	3.041	4.219
day-mixed-200	4990	500	50	sized	500	500	0	0.0%	189	505522	2884.7	45.8	121.740	106.895	123.699
day-mixed-200	4990	500	60	shipped	495	199	296	59.8%	50	494	49.4	11.3	4.496	3.258	4.555
day-mixed-200	4990	500	60	sized	495	495	0	0.0%	162	379323	2855.8	41.1	110.312	95.192	122.144
day-mixed-200	4990	500	70	shipped	489	193	296	60.5%	50	494	46.6	6.7	3.823	3.175	3.990
day-mixed-200	4990	500	70	sized	489	489	0	0.0%	131	236227	2834.2	36.3	87.079	83.362	97.853
day-mixed-200	4990	500	75	shipped	475	179	296	62.3%	50	494	45.1	4.2	3.664	3.580	4.174
day-mixed-200	4990	500	75	sized	475	475	0	0.0%	114	155220	2822.0	33.8	78.744	77.604	84.349
day-mixed-200	4990	500	80	shipped	408	161	247	60.5%	50	494	42.5	2.0	3.790	3.701	5.889
day-mixed-200	4990	500	80	sized	408	408	0	0.0%	95	68027	2807.0	2.8	67.690	66.933	71.021
day-mixed-200	4990	500	85	shipped	132	132	0	0.0%	50	494	37.8	0.9	3.389	3.130	4.943
day-mixed-200	4990	500	85	sized	132	132	0	0.0%	74	15540	2597.5	0.9	59.201	59.156	67.434
day-mixed-200	4990	500	90	shipped	69	69	0	0.0%	50	494	30.3	0.5	3.860	3.321	4.112
day-mixed-200	4990	500	90	sized	69	69	0	0.0%	52	502	345.4	0.5	8.191	7.728	8.468
day-mixed-200	4990	500	95	shipped	22	22	0	0.0%	50	494	18.6	0.3	3.729	3.158	3.768
day-mixed-200	4990	500	95	sized	22	22	0	0.0%	27	9	7.0	0.3	0.315	0.304	0.345
