case	arm	rc	warnings	total_s	parse_s	group_similar_s	rss_peak_mb	rows_after	patterns	evicted
download-g50	shipped	0	0	48.480	4.913	42.232	362.5	74305	0	74305
download-g50	cut:1:64	0	0	8.864	8.736	0.014	676.0	5	4	0
download-g50	cut:5:64	0	0	10.048	9.921	0.014	676.1	7	6	0
download-g70	shipped	0	0	45.386	4.840	39.335	362.5	74305	0	74305
download-g70	cut:1:64	0	0	8.679	8.572	0.012	676.0	6	5	0
download-g70	cut:5:64	0	0	9.486	9.363	0.013	676.0	7	6	0
download-g75	shipped	0	0	45.425	4.633	39.258	362.7	74305	0	74305
download-g75	cut:1:64	0	0	10.266	10.135	0.015	675.5	8	7	0
download-g75	cut:5:64	0	0	12.473	12.348	0.014	675.5	8	7	0
download-g80	shipped	0	0	48.599	5.015	42.222	362.5	74305	0	74305
download-g80	cut:1:64	0	0	91.645	55.373	36.081	712.5	13770	5	35778
download-g80	cut:5:64	0	0	92.028	55.247	36.632	712.5	13770	5	35778
download-g85	shipped	0	0	47.361	4.631	41.482	354.0	74305	0	74305
download-g85	cut:1:64	0	0	107.620	7.362	98.903	705.0	74305	0	74305
download-g85	cut:5:64	0	0	109.968	7.672	100.995	705.0	74305	0	74305
access-day-g65	shipped	0	0	3.384	3.180	0.095	296.8	28	7	5
access-day-g65	cut:1:64	0	0	9.807	9.417	0.223	673.6	50	20	89
access-day-g65	cut:5:64	0	0	3.832	3.549	0.152	441.2	28	7	5
access-day-g80	shipped	0	0	49.366	5.350	43.818	362.6	74416	12	75534
access-day-g80	cut:1:64	0	0	151.345	112.092	39.083	709.7	13881	23	35832
access-day-g80	cut:5:64	0	0	160.425	115.296	44.851	709.7	13880	23	35800
application-g70	shipped	0	0	7.073	6.833	0.226	130.0	81	35	5
application-g70	cut:1:64	0	0	6.764	6.497	0.253	194.3	93	36	5
application-g70	cut:5:64	0	0	7.328	6.908	0.406	194.3	83	37	5
application-g85	shipped	0	0	8.122	7.733	0.375	132.2	136	40	132
application-g85	cut:1:64	0	0	7.167	6.842	0.311	201.0	106	41	52
application-g85	cut:5:64	0	0	7.383	6.959	0.410	201.3	96	42	52
application-g95	shipped	0	0	10.128	9.119	0.993	131.9	528	58	172
application-g95	cut:1:64	0	0	7.431	6.656	0.760	213.6	550	59	182
application-g95	cut:5:64	0	0	7.095	6.363	0.719	213.6	477	59	172
unique-errors-g85	shipped	0	0	15.445	8.936	6.496	262.0	72	18	7
unique-errors-g85	cut:1:64	0	0	12.940	9.838	3.088	356.2	77	15	7
unique-errors-g85	cut:5:64	0	0	9.350	7.423	1.911	356.2	72	18	7
script-g70	shipped	0	0	14.432	13.610	0.659	148.1	106	61	23
script-g70	cut:1:64	0	0	13.528	12.033	1.373	274.2	99	56	24
script-g70	cut:5:64	0	0	12.318	10.872	1.358	177.8	94	61	0
script-g85	shipped	0	0	15.577	14.355	1.091	137.9	417	88	815
script-g85	cut:1:64	0	0	12.366	10.725	1.492	255.9	157	77	568
script-g85	cut:5:64	0	0	12.718	10.928	1.644	255.4	168	82	570
tomcat-g70	shipped	0	0	12.258	11.598	0.400	164.0	72	26	6
tomcat-g70	cut:1:64	0	0	12.179	11.511	0.366	169.4	75	27	6
tomcat-g70	cut:5:64	0	0	11.269	10.673	0.360	169.2	72	25	6
tomcat-g85	shipped	0	0	15.812	13.970	1.551	152.2	615	94	6
tomcat-g85	cut:1:64	0	0	12.480	11.108	1.105	155.9	643	99	6
tomcat-g85	cut:5:64	0	0	11.542	10.225	1.051	156.0	615	94	6
