case	arm	rc	warnings	total_s	parse_s	group_similar_s	rss_peak_mb	rows_after	patterns	evicted
download-g50	shipped	0	0	47.682	4.834	41.581	362.4	74305	0	74305
download-g50	hybrid:1:64	0	0	7.557	7.484	0.011	319.4	5	4	0
download-g50	hybrid:5:64	0	0	8.732	8.663	0.008	319.5	7	6	0
download-g70	shipped	0	0	49.176	5.059	42.835	362.3	74305	0	74305
download-g70	hybrid:1:64	0	0	7.173	7.105	0.009	319.3	6	5	0
download-g70	hybrid:5:64	0	0	7.961	7.896	0.009	319.5	7	6	0
download-g75	shipped	0	0	45.152	4.582	39.398	362.4	74305	0	74305
download-g75	hybrid:1:64	0	0	7.863	7.797	0.009	318.9	8	7	0
download-g75	hybrid:5:64	0	0	11.492	11.425	0.009	318.9	8	7	0
download-g80	shipped	0	0	46.787	4.912	40.599	362.4	74305	0	74305
download-g80	hybrid:1:64	0	0	270.906	187.339	83.437	361.0	13770	5	35778
download-g80	hybrid:5:64	0	0	270.917	182.203	88.593	372.6	13770	5	35778
download-g85	shipped	0	0	47.374	4.971	41.216	362.3	74305	0	74305
download-g85	hybrid:1:64	0	0	218.255	17.407	199.556	356.5	74305	0	74305
download-g85	hybrid:5:64	0	0	217.407	18.027	198.079	356.4	74305	0	74305
access-day-g65	shipped	0	0	3.394	3.179	0.107	296.6	28	7	5
access-day-g65	hybrid:1:64	0	0	7.280	7.135	0.080	321.2	50	20	89
access-day-g65	hybrid:5:64	0	0	3.323	3.107	0.103	296.7	28	7	5
access-day-g80	shipped	0	0	49.467	5.474	43.788	362.5	74416	12	75534
access-day-g80	hybrid:1:64	0	0	275.406	183.775	91.492	338.2	13881	23	35832
access-day-g80	hybrid:5:64	0	0	273.377	186.618	86.622	351.0	13880	23	35800
application-g70	shipped	0	0	6.692	6.479	0.200	129.7	81	35	5
application-g70	hybrid:1:64	0	0	5.860	5.620	0.226	129.8	93	36	5
application-g70	hybrid:5:64	0	0	6.436	6.103	0.320	129.9	83	37	5
application-g85	shipped	0	0	7.177	6.852	0.311	132.3	136	40	132
application-g85	hybrid:1:64	0	0	6.141	5.830	0.297	129.2	106	41	52
application-g85	hybrid:5:64	0	0	7.397	6.999	0.383	125.4	96	42	52
application-g95	shipped	0	0	9.425	8.584	0.819	106.8	528	58	172
application-g95	hybrid:1:64	0	0	6.815	6.136	0.665	132.0	550	59	182
application-g95	hybrid:5:64	0	0	6.886	6.216	0.656	132.0	477	59	172
unique-errors-g85	shipped	0	0	13.039	7.715	5.309	246.2	72	18	7
unique-errors-g85	hybrid:1:64	0	0	11.579	9.120	2.446	261.6	77	15	7
unique-errors-g85	hybrid:5:64	0	0	8.453	6.506	1.932	261.6	72	18	7
script-g70	shipped	0	0	15.036	13.335	1.589	147.8	106	61	23
script-g70	hybrid:1:64	0	0	11.969	10.602	1.254	148.7	100	57	24
script-g70	hybrid:5:64	0	0	10.152	9.120	0.955	103.1	95	62	0
script-g85	shipped	0	0	13.154	12.017	1.029	137.8	417	88	815
script-g85	hybrid:1:64	0	0	10.827	9.636	1.089	138.2	157	77	568
script-g85	hybrid:5:64	0	0	10.552	9.198	1.252	138.2	170	84	570
tomcat-g70	shipped	0	0	12.462	10.844	1.238	164.0	72	26	6
tomcat-g70	hybrid:1:64	0	0	11.319	10.781	0.274	164.0	75	27	6
tomcat-g70	hybrid:5:64	0	0	10.170	9.652	0.279	164.0	72	25	6
tomcat-g85	shipped	0	0	12.448	11.061	1.165	152.0	615	94	6
tomcat-g85	hybrid:1:64	0	0	11.331	10.133	0.964	152.1	643	99	6
tomcat-g85	hybrid:5:64	0	0	11.608	10.408	0.968	152.0	615	94	6
