case	arm	rc	warnings	total_s	parse_s	group_similar_s	rss_peak_mb	rows_after	patterns	evicted	searches
download-g50	shipped:1:64:0	0	0	50.169	5.189	43.756	362.6	74305	0	74305	38305
download-g50	cut:1:64:0	0	0	5.495	5.305	0.019	533.6	5	4	0	72
download-g50	cut:1:0:0.5	0	0	11.164	11.052	0.008	533.7	8	7	0	133
download-g50	cut:1:0:0.25	0	0	7.906	7.776	0.015	533.4	7	6	0	104
download-g50	cut:1:8:0.5	0	0	5.540	5.394	0.017	533.7	5	4	0	72
download-g75	shipped:1:64:0	0	0	49.412	4.882	42.876	362.6	74305	0	74305	38305
download-g75	cut:1:64:0	0	0	6.179	6.070	0.008	533.3	8	7	0	66
download-g75	cut:1:0:0.5	0	0	9.041	8.913	0.015	533.3	8	7	0	101
download-g75	cut:1:0:0.25	0	0	7.720	7.615	0.008	533.3	8	7	0	104
download-g75	cut:1:8:0.5	0	0	6.734	6.595	0.025	536.7	8	7	0	68
download-g80	shipped:1:64:0	0	0	49.660	5.049	43.399	354.2	74305	0	74305	38305
download-g80	cut:1:64:0	0	0	82.728	46.134	36.402	570.5	13770	5	35778	12086
download-g80	cut:1:0:0.5	0	0	53.697	37.158	16.213	570.6	13701	5	35778	12017
download-g80	cut:1:0:0.25	0	0	59.692	40.813	18.674	570.5	13770	5	35778	12089
download-g80	cut:1:8:0.5	0	0	62.897	42.266	20.261	570.6	13701	5	35778	12027
download-g85	shipped:1:64:0	0	0	53.259	5.301	46.750	362.6	74305	0	74305	38305
download-g85	cut:1:64:0	0	0	64.667	5.094	58.278	563.2	74305	0	74305	38305
download-g85	cut:1:0:0.5	0	0	38.616	3.824	33.584	567.8	74305	0	74305	38305
download-g85	cut:1:0:0.25	0	0	38.171	3.664	33.254	567.9	74305	0	74305	38305
download-g85	cut:1:8:0.5	0	0	54.761	4.022	49.199	567.8	74305	0	74305	38305
application-g85	shipped:1:64:0	0	0	7.000	6.680	0.307	132.2	136	40	132	404
application-g85	cut:1:64:0	0	0	5.624	5.392	0.218	170.3	106	41	52	243
application-g85	cut:1:0:0.5	0	0	6.018	5.809	0.196	170.5	98	42	52	259
application-g85	cut:1:0:0.25	0	0	6.153	5.825	0.314	170.6	106	42	52	267
application-g85	cut:1:8:0.5	0	0	5.766	5.559	0.194	170.3	106	41	52	244
unique-errors-g85	shipped:1:64:0	0	0	13.377	7.742	5.621	262.1	72	18	7	137
unique-errors-g85	cut:1:64:0	0	0	9.400	7.559	1.828	289.6	77	15	7	218
unique-errors-g85	cut:1:0:0.5	0	0	5.676	5.006	0.657	289.1	75	18	7	143
unique-errors-g85	cut:1:0:0.25	0	0	6.208	5.100	1.094	289.1	75	18	7	150
unique-errors-g85	cut:1:8:0.5	0	0	10.248	8.232	2.002	289.8	77	15	7	218
script-g85	shipped:1:64:0	0	0	12.617	11.510	1.000	137.7	417	88	815	726
script-g85	cut:1:64:0	0	0	11.194	10.114	0.992	225.6	157	77	568	474
script-g85	cut:1:0:0.5	0	0	10.036	8.914	1.036	222.2	179	89	826	597
script-g85	cut:1:0:0.25	0	0	9.734	8.649	0.998	225.4	168	80	577	538
script-g85	cut:1:8:0.5	0	0	9.922	8.754	1.031	225.9	162	79	569	502
