case	arm	rc	warnings	total_s	parse_s	group_similar_s	rss_peak_mb	rows_after	patterns	evicted
download-g50	shipped:1:64:0	0	0	49.343	5.370	42.645	362.5	74305	0	74305
download-g50	cut:1:0:0.5	0	0	11.312	11.218	0.008	320.1	8	7	0
download-g50	cut:1:0:0.25	0	0	7.678	7.584	0.006	320.0	7	6	0
download-g70	shipped:1:64:0	0	0	47.516	4.567	41.631	362.7	74305	0	74305
download-g70	cut:1:0:0.5	0	0	12.360	12.263	0.007	320.1	8	7	0
download-g70	cut:1:0:0.25	0	0	7.889	7.799	0.006	319.9	8	7	0
download-g75	shipped:1:64:0	0	0	46.857	4.647	40.780	362.7	74305	0	74305
download-g75	cut:1:0:0.5	0	0	8.852	8.720	0.014	319.0	8	7	0
download-g75	cut:1:0:0.25	0	0	7.887	7.758	0.011	319.0	8	7	0
download-g80	shipped:1:64:0	0	0	44.733	4.551	38.954	362.5	74305	0	74305
download-g80	cut:1:0:0.5	0	0	43.842	31.143	12.417	388.0	13701	5	35778
download-g80	cut:1:0:0.25	0	0	45.529	31.905	13.484	388.0	13770	5	35778
download-g85	shipped:1:64:0	0	0	47.011	4.862	40.679	362.6	74305	0	74305
download-g85	cut:1:0:0.5	0	0	37.067	4.155	31.708	352.1	74305	0	74305
download-g85	cut:1:0:0.25	0	0	35.887	4.157	30.477	352.0	74305	0	74305
access-day-g65	shipped:1:64:0	0	0	3.377	3.167	0.102	296.8	28	7	5
access-day-g65	cut:1:0:0.5	0	0	2.878	2.615	0.103	297.6	30	7	5
access-day-g65	cut:1:0:0.25	0	0	2.769	2.562	0.086	297.3	30	7	5
access-day-g80	shipped:1:64:0	0	0	47.567	5.270	42.095	362.6	74416	12	75534
access-day-g80	cut:1:0:0.5	0	0	91.783	79.234	12.408	385.3	13818	23	35832
access-day-g80	cut:1:0:0.25	0	0	93.484	79.817	13.524	385.4	13887	23	35832
application-g70	shipped:1:64:0	0	0	6.664	6.435	0.215	130.0	81	35	5
application-g70	cut:1:0:0.5	0	0	6.000	5.780	0.206	135.7	85	37	5
application-g70	cut:1:0:0.25	0	0	5.924	5.724	0.187	135.6	85	37	5
application-g85	shipped:1:64:0	0	0	7.056	6.746	0.296	132.1	136	40	132
application-g85	cut:1:0:0.5	0	0	6.288	6.076	0.198	136.5	98	42	52
application-g85	cut:1:0:0.25	0	0	6.102	5.820	0.268	136.4	106	42	52
application-g95	shipped:1:64:0	0	0	8.794	7.992	0.788	131.9	528	58	172
application-g95	cut:1:0:0.5	0	0	5.536	5.179	0.343	138.1	540	58	182
application-g95	cut:1:0:0.25	0	0	5.499	5.117	0.368	138.0	549	59	182
unique-errors-g85	shipped:1:64:0	0	0	12.652	7.461	5.177	262.1	72	18	7
unique-errors-g85	cut:1:0:0.5	0	0	5.386	4.748	0.625	288.8	75	18	7
unique-errors-g85	cut:1:0:0.25	0	0	5.668	4.762	0.893	288.8	75	18	7
script-g70	shipped:1:64:0	0	0	11.987	11.322	0.560	148.1	106	61	23
script-g70	cut:1:0:0.5	0	0	8.889	8.093	0.716	109.2	88	57	0
script-g70	cut:1:0:0.25	0	0	9.723	8.930	0.704	164.6	89	60	20
script-g85	shipped:1:64:0	0	0	12.951	11.724	1.067	137.7	417	88	815
script-g85	cut:1:0:0.5	0	0	9.820	8.842	0.909	149.4	179	89	826
script-g85	cut:1:0:0.25	0	0	9.388	8.487	0.824	151.0	168	80	577
tomcat-g70	shipped:1:64:0	0	0	10.803	10.267	0.295	164.2	72	26	6
tomcat-g70	cut:1:0:0.5	0	0	10.830	10.251	0.312	162.8	79	29	6
tomcat-g70	cut:1:0:0.25	0	0	10.555	9.961	0.333	162.6	79	29	6
tomcat-g85	shipped:1:64:0	0	0	12.246	10.876	1.138	152.4	615	94	6
tomcat-g85	cut:1:0:0.5	0	0	11.230	10.017	0.994	152.2	666	103	6
tomcat-g85	cut:1:0:0.25	0	0	11.501	10.187	1.078	152.4	656	105	6
