case	arm	rc	warnings	total_s	parse_s	group_similar_s	rss_peak_mb	rows_after	patterns	evicted
download-g50	shipped:1:64:0	0	0	48.032	5.124	41.630	354.0	74305	0	74305
download-g50	cut:1:0:0.5	0	0	11.805	11.667	0.012	320.0	8	7	0
download-g50	cut:1:0:0.25	0	0	8.186	8.039	0.012	320.0	7	6	0
download-g70	shipped:1:64:0	0	0	46.951	4.786	40.967	354.0	74305	0	74305
download-g70	cut:1:0:0.5	0	0	12.234	12.096	0.011	320.0	8	7	0
download-g70	cut:1:0:0.25	0	0	8.047	7.920	0.010	320.0	8	7	0
download-g75	shipped:1:64:0	0	0	47.517	4.774	41.427	354.2	74305	0	74305
download-g75	cut:1:0:0.5	0	0	9.089	8.984	0.008	319.1	8	7	0
download-g75	cut:1:0:0.25	0	0	8.523	8.388	0.012	319.1	8	7	0
download-g80	shipped:1:64:0	0	0	47.407	4.778	41.438	362.7	74305	0	74305
download-g80	cut:1:0:0.5	0	0	48.410	34.333	13.776	387.8	13701	5	35778
download-g80	cut:1:0:0.25	0	0	48.727	33.822	14.757	387.8	13770	5	35778
download-g85	shipped:1:64:0	0	0	47.982	4.929	41.933	362.5	74305	0	74305
download-g85	cut:1:0:0.5	0	0	38.280	4.005	33.090	351.8	74305	0	74305
download-g85	cut:1:0:0.25	0	0	37.815	4.147	32.448	351.7	74305	0	74305
access-day-g65	shipped:1:64:0	0	0	3.420	3.211	0.098	296.8	28	7	5
access-day-g65	cut:1:0:0.5	0	0	2.983	2.737	0.099	297.1	30	7	5
access-day-g65	cut:1:0:0.25	0	0	2.765	2.581	0.080	296.8	30	7	5
access-day-g80	shipped:1:64:0	0	0	47.772	5.296	42.276	362.7	74416	12	75534
access-day-g80	cut:1:0:0.5	0	0	101.672	88.075	13.466	385.3	13818	23	35832
access-day-g80	cut:1:0:0.25	0	0	101.194	87.016	14.045	385.4	13887	23	35832
application-g70	shipped:1:64:0	0	0	6.513	6.294	0.205	130.0	81	35	5
application-g70	cut:1:0:0.5	0	0	5.998	5.775	0.209	135.6	85	37	5
application-g70	cut:1:0:0.25	0	0	6.058	5.828	0.215	135.7	85	37	5
application-g85	shipped:1:64:0	0	0	7.319	7.003	0.301	132.3	136	40	132
application-g85	cut:1:0:0.5	0	0	6.318	6.118	0.187	136.5	98	42	52
application-g85	cut:1:0:0.25	0	0	6.501	6.188	0.299	136.5	106	42	52
application-g95	shipped:1:64:0	0	0	9.442	8.535	0.891	131.9	528	58	172
application-g95	cut:1:0:0.5	0	0	6.055	5.581	0.460	138.2	540	58	182
application-g95	cut:1:0:0.25	0	0	5.994	5.522	0.457	138.2	549	59	182
unique-errors-g85	shipped:1:64:0	0	0	14.466	8.399	6.052	262.2	72	18	7
unique-errors-g85	cut:1:0:0.5	0	0	6.654	5.757	0.883	289.1	75	18	7
unique-errors-g85	cut:1:0:0.25	0	0	6.625	5.379	1.233	289.1	75	18	7
script-g70	shipped:1:64:0	0	0	13.109	12.372	0.611	148.1	106	61	23
script-g70	cut:1:0:0.5	0	0	9.991	9.112	0.802	109.2	88	57	0
script-g70	cut:1:0:0.25	0	0	10.528	9.543	0.878	164.6	89	60	20
script-g85	shipped:1:64:0	0	0	12.927	11.807	1.002	137.7	417	88	815
script-g85	cut:1:0:0.5	0	0	10.637	9.414	1.126	149.1	179	89	826
script-g85	cut:1:0:0.25	0	0	10.443	9.303	1.044	152.7	168	80	577
tomcat-g70	shipped:1:64:0	0	0	11.284	10.605	0.396	164.2	72	26	6
tomcat-g70	cut:1:0:0.5	0	0	10.962	10.397	0.322	162.9	79	29	6
tomcat-g70	cut:1:0:0.25	0	0	10.272	9.748	0.281	162.9	79	29	6
tomcat-g85	shipped:1:64:0	0	0	12.160	10.746	1.187	152.2	615	94	6
tomcat-g85	cut:1:0:0.5	0	0	11.471	9.862	1.377	152.3	666	103	6
tomcat-g85	cut:1:0:0.25	0	0	11.382	10.176	0.979	152.3	656	105	6
