label	keys	sources	T	arm	partner	missed	top_is_best	returned_any	gap_median	gap_max	dice_per_search	visits_per_search	ms_median	ms_min	ms_max
app-ERROR	238	238	50	shipped	232	69	107	163	0	46	5.8	0	0.258	0.251	0.263
app-ERROR	238	238	50	hits_first_1	232	0	202	232	0	5	3.9	5726	0.716	0.699	0.723
app-ERROR	238	238	50	incremental_1	232	0	78	232	4	47	4.5	35	0.165	0.164	0.168
app-ERROR	238	238	50	incremental_5	232	0	172	232	0	26	19.2	186	0.367	0.357	0.383
app-ERROR	238	238	60	shipped	229	102	107	127	0	26	5.8	0	0.250	0.245	0.261
app-ERROR	238	238	60	hits_first_1	229	0	201	229	0	5	3.6	4190	0.565	0.557	0.568
app-ERROR	238	238	60	incremental_1	229	0	101	229	1	28	4.5	40	0.175	0.173	0.177
app-ERROR	238	238	60	incremental_5	229	0	172	229	0	26	21.0	165	0.410	0.394	0.412
app-ERROR	238	238	70	shipped	224	99	106	125	0	26	5.8	0	0.257	0.249	0.265
app-ERROR	238	238	70	hits_first_1	224	0	194	224	0	14	3.7	2810	0.445	0.437	0.477
app-ERROR	238	238	70	incremental_1	224	0	99	224	1	28	4.5	36	0.202	0.181	0.213
app-ERROR	238	238	70	incremental_5	224	0	167	224	0	26	14.7	100	0.325	0.315	0.331
app-ERROR	238	238	75	shipped	220	101	103	119	0	5	5.8	0	0.261	0.257	0.286
app-ERROR	238	238	75	hits_first_1	220	0	190	220	0	14	3.4	2103	0.376	0.372	0.391
app-ERROR	238	238	75	incremental_1	220	0	104	220	1	24	4.2	36	0.174	0.173	0.226
app-ERROR	238	238	75	incremental_5	220	0	177	220	0	17	14.1	86	0.309	0.307	0.315
app-ERROR	238	238	80	shipped	218	100	102	118	0	5	5.8	0	0.251	0.250	0.285
app-ERROR	238	238	80	hits_first_1	218	0	190	218	0	14	3.0	1387	0.306	0.303	0.311
app-ERROR	238	238	80	incremental_1	218	0	106	218	1	18	3.7	32	0.178	0.174	0.180
app-ERROR	238	238	80	incremental_5	218	0	183	218	0	17	15.7	83	0.336	0.326	0.363
app-ERROR	238	238	85	shipped	216	100	100	116	0	5	5.8	0	0.257	0.251	0.257
app-ERROR	238	238	85	hits_first_1	216	0	189	216	0	15	2.7	689	0.255	0.243	0.266
app-ERROR	238	238	85	incremental_1	216	0	122	216	0	15	3.8	32	0.168	0.161	0.172
app-ERROR	238	238	85	incremental_5	216	0	192	216	0	5	19.0	88	0.377	0.376	0.412
app-ERROR	238	238	90	shipped	183	75	92	108	0	5	5.6	0	0.250	0.247	0.260
app-ERROR	238	238	90	hits_first_1	183	0	144	183	0	6	6.5	203	0.242	0.239	0.243
app-ERROR	238	238	90	incremental_1	183	0	111	183	0	6	6.2	40	0.217	0.213	0.218
app-ERROR	238	238	90	incremental_5	183	0	169	183	0	3	18.3	91	0.369	0.366	0.379
app-ERROR	238	238	95	shipped	175	75	84	100	0	5	5.5	0	0.247	0.244	0.248
app-ERROR	238	238	95	hits_first_1	175	61	86	114	0	5	2.0	66	0.155	0.149	0.157
app-ERROR	238	238	95	incremental_1	175	61	78	114	0	5	2.1	27	0.146	0.143	0.155
app-ERROR	238	238	95	incremental_5	175	61	90	114	0	5	4.2	54	0.176	0.175	0.179
