label	keys	sources	T	arm	partner	missed	top_is_best	returned_any	gap_median	gap_max	dice_per_search	visits_per_search	ms_median	ms_min	ms_max
day-dl-200	5000	500	50	shipped	500	500	0	0	-	-	0.0	0	0.361	0.355	0.489
day-dl-200	5000	500	50	hits_first_1	500	0	499	500	0	1	1.2	554003	85.690	78.039	100.747
day-dl-200	5000	500	50	incremental_1	500	0	3	500	6	14	1.0	19	0.265	0.245	0.274
day-dl-200	5000	500	50	incremental_5	500	0	14	500	4	13	5.0	27	0.352	0.344	0.374
day-dl-200	5000	500	60	shipped	500	500	0	0	-	-	0.0	0	0.363	0.337	0.388
day-dl-200	5000	500	60	hits_first_1	500	0	499	500	0	1	1.2	416993	62.895	56.757	77.268
day-dl-200	5000	500	60	incremental_1	500	0	3	500	6	14	1.0	19	0.294	0.242	0.336
day-dl-200	5000	500	60	incremental_5	500	0	14	500	4	13	5.0	27	0.369	0.335	0.444
day-dl-200	5000	500	70	shipped	500	500	0	0	-	-	0.0	0	0.388	0.368	0.439
day-dl-200	5000	500	70	hits_first_1	500	0	499	500	0	1	1.2	262003	38.868	37.955	48.253
day-dl-200	5000	500	70	incremental_1	500	0	8	500	5	11	1.9	21	0.269	0.262	0.325
day-dl-200	5000	500	70	incremental_5	500	0	35	500	4	6	9.8	37	0.455	0.438	0.509
day-dl-200	5000	500	75	shipped	500	500	0	0	-	-	0.0	0	0.393	0.371	0.409
day-dl-200	5000	500	75	hits_first_1	500	0	499	500	0	1	1.2	174843	28.294	25.407	33.741
day-dl-200	5000	500	75	incremental_1	500	0	12	500	5	6	2.7	22	0.307	0.294	0.395
day-dl-200	5000	500	75	incremental_5	500	0	68	500	4	6	13.4	43	0.553	0.550	0.721
day-dl-200	5000	500	80	shipped	446	446	0	0	-	-	0.0	0	0.389	0.382	0.456
day-dl-200	5000	500	80	hits_first_1	446	0	446	446	0	0	541.0	80270	24.039	23.614	30.423
day-dl-200	5000	500	80	incremental_1	446	0	445	446	0	1	576.4	8431	14.033	13.886	21.199
day-dl-200	5000	500	80	incremental_5	446	0	446	446	0	0	4990.0	80092	123.524	119.010	145.776
day-dl-200	5000	500	85	shipped	0	0	0	0	-	-	0.0	0	0.440	0.434	0.481
day-dl-200	5000	500	85	hits_first_1	0	0	0	0	-	-	4674.0	20332	112.525	104.460	128.148
day-dl-200	5000	500	85	incremental_1	0	0	0	0	-	-	4674.0	20332	108.859	104.893	158.485
day-dl-200	5000	500	85	incremental_5	0	0	0	0	-	-	4674.0	20332	107.758	104.827	110.610
day-dl-200	5000	500	90	shipped	0	0	0	0	-	-	0.0	0	0.422	0.400	0.534
day-dl-200	5000	500	90	hits_first_1	0	0	0	0	-	-	615.7	737	14.139	13.871	17.056
day-dl-200	5000	500	90	incremental_1	0	0	0	0	-	-	615.7	737	13.906	13.524	14.578
day-dl-200	5000	500	90	incremental_5	0	0	0	0	-	-	615.7	737	13.853	13.579	14.152
day-dl-200	5000	500	95	shipped	0	0	0	0	-	-	0.0	0	0.407	0.399	0.499
day-dl-200	5000	500	95	hits_first_1	0	0	0	0	-	-	10.7	39	0.507	0.496	0.644
day-dl-200	5000	500	95	incremental_1	0	0	0	0	-	-	10.7	39	0.524	0.490	0.612
day-dl-200	5000	500	95	incremental_5	0	0	0	0	-	-	10.7	39	0.501	0.493	0.680
