label	keys	sources	T	arm	partner	found	missed	miss_rate	probe_len_median	posting_visits_median	dice_per_search	returned_per_search	ms_median	ms_min	ms_max
errors-ERROR	4990	500	50	shipped	499	498	1	0.2%	50	62556	189.8	49.6	12.418	10.571	36.556
errors-ERROR	4990	500	50	sized	499	499	0	0.0%	145	535941	4943.3	49.6	143.512	135.782	213.976
errors-ERROR	4990	500	60	shipped	499	498	1	0.2%	50	62556	189.8	49.6	10.753	10.601	12.185
errors-ERROR	4990	500	60	sized	499	499	0	0.0%	125	436252	4943.2	49.6	133.427	127.412	145.715
errors-ERROR	4990	500	70	shipped	498	498	0	0.0%	50	62556	189.8	49.6	11.171	10.613	12.916
errors-ERROR	4990	500	70	sized	498	498	0	0.0%	101	316664	4943.2	49.6	112.315	110.874	129.992
errors-ERROR	4990	500	75	shipped	498	498	0	0.0%	50	62556	189.8	49.6	11.844	10.689	15.380
errors-ERROR	4990	500	75	sized	498	498	0	0.0%	87	246927	4943.2	49.6	107.470	104.625	114.484
errors-ERROR	4990	500	80	shipped	496	496	0	0.0%	50	62556	189.8	49.6	11.533	10.933	13.423
errors-ERROR	4990	500	80	sized	496	496	0	0.0%	73	177165	4943.2	49.6	96.683	95.701	103.284
errors-ERROR	4990	500	85	shipped	496	496	0	0.0%	50	62556	189.8	49.6	11.386	11.330	12.729
errors-ERROR	4990	500	85	sized	496	496	0	0.0%	57	97437	4943.2	49.6	90.215	87.647	96.390
errors-ERROR	4990	500	90	shipped	496	496	0	0.0%	50	62556	189.8	49.6	11.309	11.000	11.852
errors-ERROR	4990	500	90	sized	496	496	0	0.0%	40	12726	4943.1	49.6	76.661	73.905	92.149
errors-ERROR	4990	500	95	shipped	496	496	0	0.0%	50	62556	189.8	49.6	11.010	10.654	15.321
errors-ERROR	4990	500	95	sized	496	496	0	0.0%	21	518	475.2	49.6	7.002	6.963	7.897
