label	keys	sources	T	arm	partner	missed	str_int_results_differ	int_cut_results_differ	ms_median	ms_min	ms_max	index_build_ms_median
app-DEBUG	1709	500	50	shipped	500	0	0	0	9.823	9.818	10.498	80.2
app-DEBUG	1709	500	50	hybrid_str_b64_1	500	0	0	0	0.108	0.104	0.119	80.2
app-DEBUG	1709	500	50	hybrid_int_b64_1	500	0	0	0	0.109	0.105	0.112	38.7
app-DEBUG	1709	500	50	cut_int_b64_1	500	0	0	0	0.110	0.105	0.118	38.7
app-DEBUG	1709	500	50	cut_int_b64_5	500	0	0	0	0.130	0.128	0.143	38.7
app-DEBUG	1709	500	50	cut_int_b0_1	500	0	0	0	0.111	0.106	0.122	38.7
app-DEBUG	1709	500	60	shipped	500	0	0	0	9.897	9.857	9.918	80.2
app-DEBUG	1709	500	60	hybrid_str_b64_1	500	0	0	0	0.109	0.105	0.109	80.2
app-DEBUG	1709	500	60	hybrid_int_b64_1	500	0	0	0	0.103	0.102	0.112	38.7
app-DEBUG	1709	500	60	cut_int_b64_1	500	0	0	0	0.106	0.104	0.115	38.7
app-DEBUG	1709	500	60	cut_int_b64_5	500	0	0	0	0.131	0.130	0.147	38.7
app-DEBUG	1709	500	60	cut_int_b0_1	500	0	0	0	0.119	0.114	0.216	38.7
app-DEBUG	1709	500	70	shipped	500	0	0	0	9.627	9.618	9.787	80.2
app-DEBUG	1709	500	70	hybrid_str_b64_1	500	0	0	0	0.105	0.101	0.106	80.2
app-DEBUG	1709	500	70	hybrid_int_b64_1	500	0	0	0	0.102	0.101	0.103	38.7
app-DEBUG	1709	500	70	cut_int_b64_1	500	0	0	0	0.104	0.102	0.105	38.7
app-DEBUG	1709	500	70	cut_int_b64_5	500	0	0	0	0.137	0.127	0.139	38.7
app-DEBUG	1709	500	70	cut_int_b0_1	500	0	0	0	0.114	0.110	0.117	38.7
app-DEBUG	1709	500	75	shipped	500	0	0	0	9.836	9.294	9.895	80.2
app-DEBUG	1709	500	75	hybrid_str_b64_1	500	0	0	0	0.105	0.104	0.106	80.2
app-DEBUG	1709	500	75	hybrid_int_b64_1	500	0	0	0	0.099	0.098	0.108	38.7
app-DEBUG	1709	500	75	cut_int_b64_1	500	0	0	0	0.101	0.098	0.106	38.7
app-DEBUG	1709	500	75	cut_int_b64_5	500	0	0	0	0.128	0.121	0.134	38.7
app-DEBUG	1709	500	75	cut_int_b0_1	500	0	0	0	0.108	0.103	0.109	38.7
app-DEBUG	1709	500	80	shipped	500	0	0	0	9.358	9.304	10.053	80.2
app-DEBUG	1709	500	80	hybrid_str_b64_1	500	0	0	0	0.106	0.102	0.113	80.2
app-DEBUG	1709	500	80	hybrid_int_b64_1	500	0	0	0	0.107	0.103	0.117	38.7
app-DEBUG	1709	500	80	cut_int_b64_1	500	0	0	0	0.108	0.108	0.113	38.7
app-DEBUG	1709	500	80	cut_int_b64_5	500	0	0	0	0.134	0.131	0.137	38.7
app-DEBUG	1709	500	80	cut_int_b0_1	500	0	0	0	0.110	0.108	0.110	38.7
app-DEBUG	1709	500	85	shipped	500	0	0	0	9.772	9.443	10.092	80.2
app-DEBUG	1709	500	85	hybrid_str_b64_1	500	0	0	0	0.105	0.105	0.107	80.2
app-DEBUG	1709	500	85	hybrid_int_b64_1	500	0	0	0	0.103	0.103	0.105	38.7
app-DEBUG	1709	500	85	cut_int_b64_1	500	0	0	0	0.106	0.101	0.109	38.7
app-DEBUG	1709	500	85	cut_int_b64_5	500	0	0	0	0.132	0.126	0.135	38.7
app-DEBUG	1709	500	85	cut_int_b0_1	500	0	0	0	0.107	0.105	0.114	38.7
app-DEBUG	1709	500	90	shipped	500	0	0	0	9.340	9.312	9.788	80.2
app-DEBUG	1709	500	90	hybrid_str_b64_1	500	0	0	0	0.107	0.103	0.107	80.2
app-DEBUG	1709	500	90	hybrid_int_b64_1	500	0	0	0	0.103	0.100	0.111	38.7
app-DEBUG	1709	500	90	cut_int_b64_1	500	0	0	0	0.104	0.099	0.108	38.7
app-DEBUG	1709	500	90	cut_int_b64_5	500	0	0	0	0.131	0.129	0.132	38.7
app-DEBUG	1709	500	90	cut_int_b0_1	500	0	0	0	0.107	0.101	0.112	38.7
app-DEBUG	1709	500	95	shipped	500	0	0	0	9.774	9.323	10.409	80.2
app-DEBUG	1709	500	95	hybrid_str_b64_1	500	0	0	0	0.108	0.107	0.108	80.2
app-DEBUG	1709	500	95	hybrid_int_b64_1	500	0	0	0	0.105	0.104	0.107	38.7
app-DEBUG	1709	500	95	cut_int_b64_1	500	0	0	0	0.104	0.101	0.107	38.7
app-DEBUG	1709	500	95	cut_int_b64_5	500	0	0	0	0.135	0.128	0.137	38.7
app-DEBUG	1709	500	95	cut_int_b0_1	500	0	0	0	0.109	0.106	0.112	38.7
