label	keys	sources	T	arm	partner	missed	str_int_results_differ	int_cut_results_differ	ms_median	ms_min	ms_max	index_build_ms_median
app-ERROR	238	238	50	shipped	232	69	0	0	0.246	0.241	0.248	13.9
app-ERROR	238	238	50	hybrid_str_b64_1	232	0	0	0	0.159	0.159	0.159	13.9
app-ERROR	238	238	50	hybrid_int_b64_1	232	0	0	0	0.155	0.153	0.160	6.0
app-ERROR	238	238	50	cut_int_b64_1	232	0	0	0	0.157	0.154	0.158	6.0
app-ERROR	238	238	50	cut_int_b64_5	232	0	0	0	0.330	0.328	0.339	6.0
app-ERROR	238	238	50	cut_int_b0_1	232	0	0	0	0.198	0.198	0.203	6.0
app-ERROR	238	238	60	shipped	229	102	0	0	0.253	0.252	0.270	13.9
app-ERROR	238	238	60	hybrid_str_b64_1	229	0	0	0	0.169	0.167	0.175	13.9
app-ERROR	238	238	60	hybrid_int_b64_1	229	0	0	0	0.163	0.158	0.165	6.0
app-ERROR	238	238	60	cut_int_b64_1	229	0	0	0	0.165	0.161	0.167	6.0
app-ERROR	238	238	60	cut_int_b64_5	229	0	0	0	0.351	0.350	0.369	6.0
app-ERROR	238	238	60	cut_int_b0_1	229	0	0	0	0.205	0.205	0.217	6.0
app-ERROR	238	238	70	shipped	224	99	0	0	0.283	0.248	0.286	13.9
app-ERROR	238	238	70	hybrid_str_b64_1	224	0	0	0	0.176	0.173	0.186	13.9
app-ERROR	238	238	70	hybrid_int_b64_1	224	0	0	0	0.166	0.163	0.186	6.0
app-ERROR	238	238	70	cut_int_b64_1	224	0	0	0	0.167	0.166	0.178	6.0
app-ERROR	238	238	70	cut_int_b64_5	224	0	0	0	0.297	0.296	0.303	6.0
app-ERROR	238	238	70	cut_int_b0_1	224	0	0	0	0.198	0.197	0.203	6.0
app-ERROR	238	238	75	shipped	220	101	0	0	0.247	0.245	0.252	13.9
app-ERROR	238	238	75	hybrid_str_b64_1	220	0	0	0	0.172	0.168	0.179	13.9
app-ERROR	238	238	75	hybrid_int_b64_1	220	0	0	0	0.165	0.163	0.166	6.0
app-ERROR	238	238	75	cut_int_b64_1	220	0	0	0	0.171	0.169	0.182	6.0
app-ERROR	238	238	75	cut_int_b64_5	220	0	0	0	0.310	0.305	0.313	6.0
app-ERROR	238	238	75	cut_int_b0_1	220	0	0	0	0.200	0.200	0.203	6.0
app-ERROR	238	238	80	shipped	218	100	0	0	0.256	0.252	0.258	13.9
app-ERROR	238	238	80	hybrid_str_b64_1	218	0	0	0	0.173	0.168	0.176	13.9
app-ERROR	238	238	80	hybrid_int_b64_1	218	0	0	0	0.163	0.161	0.173	6.0
app-ERROR	238	238	80	cut_int_b64_1	218	0	0	0	0.168	0.163	0.184	6.0
app-ERROR	238	238	80	cut_int_b64_5	218	0	0	0	0.325	0.319	0.328	6.0
app-ERROR	238	238	80	cut_int_b0_1	218	0	0	0	0.197	0.192	0.199	6.0
app-ERROR	238	238	85	shipped	216	100	0	0	0.246	0.242	0.253	13.9
app-ERROR	238	238	85	hybrid_str_b64_1	216	0	0	0	0.170	0.167	0.172	13.9
app-ERROR	238	238	85	hybrid_int_b64_1	216	0	0	0	0.163	0.159	0.173	6.0
app-ERROR	238	238	85	cut_int_b64_1	216	0	0	0	0.168	0.163	0.172	6.0
app-ERROR	238	238	85	cut_int_b64_5	216	0	0	0	0.366	0.362	0.377	6.0
app-ERROR	238	238	85	cut_int_b0_1	216	0	0	0	0.184	0.180	0.189	6.0
app-ERROR	238	238	90	shipped	183	75	0	0	0.247	0.243	0.248	13.9
app-ERROR	238	238	90	hybrid_str_b64_1	183	0	0	0	0.212	0.200	0.231	13.9
app-ERROR	238	238	90	hybrid_int_b64_1	183	0	0	0	0.213	0.196	0.240	6.0
app-ERROR	238	238	90	cut_int_b64_1	183	0	0	0	0.202	0.201	0.216	6.0
app-ERROR	238	238	90	cut_int_b64_5	183	0	0	0	0.366	0.356	0.373	6.0
app-ERROR	238	238	90	cut_int_b0_1	183	0	0	0	0.218	0.215	0.220	6.0
app-ERROR	238	238	95	shipped	175	75	0	0	0.250	0.245	0.251	13.9
app-ERROR	238	238	95	hybrid_str_b64_1	175	61	0	0	0.148	0.144	0.148	13.9
app-ERROR	238	238	95	hybrid_int_b64_1	175	61	0	0	0.139	0.139	0.156	6.0
app-ERROR	238	238	95	cut_int_b64_1	175	61	0	0	0.147	0.145	0.148	6.0
app-ERROR	238	238	95	cut_int_b64_5	175	61	0	0	0.172	0.166	0.173	6.0
app-ERROR	238	238	95	cut_int_b0_1	175	61	0	0	0.141	0.139	0.143	6.0
