label	keys	sources	T	arm	partner	missed	str_int_results_differ	int_cut_results_differ	ms_median	ms_min	ms_max	index_build_ms_median
app-WARN	3048	500	50	shipped	500	0	0	0	1.669	1.629	1.764	297.3
app-WARN	3048	500	50	hybrid_str_b64_1	500	0	0	0	0.134	0.134	0.139	297.3
app-WARN	3048	500	50	hybrid_int_b64_1	500	0	0	0	0.142	0.138	0.142	145.3
app-WARN	3048	500	50	cut_int_b64_1	500	0	0	0	0.146	0.140	0.154	145.3
app-WARN	3048	500	50	cut_int_b64_5	500	0	0	0	0.254	0.247	0.258	145.3
app-WARN	3048	500	50	cut_int_b0_1	500	0	0	0	0.142	0.141	0.145	145.3
app-WARN	3048	500	60	shipped	500	0	0	0	1.727	1.660	1.786	297.3
app-WARN	3048	500	60	hybrid_str_b64_1	500	0	0	0	0.138	0.134	0.144	297.3
app-WARN	3048	500	60	hybrid_int_b64_1	500	0	0	0	0.143	0.135	0.148	145.3
app-WARN	3048	500	60	cut_int_b64_1	500	0	0	0	0.145	0.137	0.150	145.3
app-WARN	3048	500	60	cut_int_b64_5	500	0	0	0	0.256	0.245	0.262	145.3
app-WARN	3048	500	60	cut_int_b0_1	500	0	0	0	0.145	0.141	0.146	145.3
app-WARN	3048	500	70	shipped	500	0	0	0	1.642	1.636	1.733	297.3
app-WARN	3048	500	70	hybrid_str_b64_1	500	0	0	0	0.138	0.136	0.149	297.3
app-WARN	3048	500	70	hybrid_int_b64_1	500	0	0	0	0.138	0.138	0.160	145.3
app-WARN	3048	500	70	cut_int_b64_1	500	0	0	0	0.143	0.142	0.152	145.3
app-WARN	3048	500	70	cut_int_b64_5	500	0	0	0	0.256	0.252	0.257	145.3
app-WARN	3048	500	70	cut_int_b0_1	500	0	0	0	0.150	0.147	0.152	145.3
app-WARN	3048	500	75	shipped	500	0	0	0	1.665	1.649	1.703	297.3
app-WARN	3048	500	75	hybrid_str_b64_1	500	0	0	0	0.135	0.133	0.140	297.3
app-WARN	3048	500	75	hybrid_int_b64_1	500	0	0	0	0.135	0.134	0.140	145.3
app-WARN	3048	500	75	cut_int_b64_1	500	0	0	0	0.143	0.141	0.147	145.3
app-WARN	3048	500	75	cut_int_b64_5	500	0	0	0	0.237	0.237	0.250	145.3
app-WARN	3048	500	75	cut_int_b0_1	500	0	0	0	0.142	0.140	0.147	145.3
app-WARN	3048	500	80	shipped	500	0	0	0	1.734	1.661	1.758	297.3
app-WARN	3048	500	80	hybrid_str_b64_1	500	0	0	0	0.136	0.132	0.140	297.3
app-WARN	3048	500	80	hybrid_int_b64_1	500	0	0	0	0.136	0.131	0.147	145.3
app-WARN	3048	500	80	cut_int_b64_1	500	0	0	0	0.144	0.142	0.158	145.3
app-WARN	3048	500	80	cut_int_b64_5	500	0	0	0	0.251	0.239	0.253	145.3
app-WARN	3048	500	80	cut_int_b0_1	500	0	0	0	0.146	0.144	0.149	145.3
app-WARN	3048	500	85	shipped	500	0	0	0	1.723	1.695	1.731	297.3
app-WARN	3048	500	85	hybrid_str_b64_1	500	0	0	0	0.136	0.132	0.140	297.3
app-WARN	3048	500	85	hybrid_int_b64_1	500	0	0	0	0.139	0.136	0.140	145.3
app-WARN	3048	500	85	cut_int_b64_1	500	0	0	0	0.141	0.140	0.144	145.3
app-WARN	3048	500	85	cut_int_b64_5	500	0	0	0	0.243	0.242	0.246	145.3
app-WARN	3048	500	85	cut_int_b0_1	500	0	0	0	0.144	0.144	0.147	145.3
app-WARN	3048	500	90	shipped	500	0	0	0	1.678	1.636	1.701	297.3
app-WARN	3048	500	90	hybrid_str_b64_1	500	0	0	0	0.126	0.123	0.128	297.3
app-WARN	3048	500	90	hybrid_int_b64_1	500	0	0	0	0.127	0.122	0.127	145.3
app-WARN	3048	500	90	cut_int_b64_1	500	0	0	0	0.130	0.128	0.131	145.3
app-WARN	3048	500	90	cut_int_b64_5	500	0	0	0	0.168	0.165	0.168	145.3
app-WARN	3048	500	90	cut_int_b0_1	500	0	0	0	0.133	0.129	0.133	145.3
app-WARN	3048	500	95	shipped	493	0	0	0	1.600	1.576	1.681	297.3
app-WARN	3048	500	95	hybrid_str_b64_1	493	0	0	0	0.124	0.120	0.125	297.3
app-WARN	3048	500	95	hybrid_int_b64_1	493	0	0	0	0.124	0.123	0.132	145.3
app-WARN	3048	500	95	cut_int_b64_1	493	0	0	0	0.139	0.136	0.144	145.3
app-WARN	3048	500	95	cut_int_b64_5	493	0	0	0	0.180	0.173	0.212	145.3
app-WARN	3048	500	95	cut_int_b0_1	493	0	0	0	0.139	0.138	0.146	145.3
