label	keys	sources	T	arm	partner	missed	str_int_results_differ	int_cut_results_differ	ms_median	ms_min	ms_max	index_build_ms_median
day-dl-200	5000	500	50	shipped	500	500	0	0	0.400	0.396	0.407	1124.5
day-dl-200	5000	500	50	hybrid_str_b64_1	500	0	0	0	0.268	0.266	0.274	1124.5
day-dl-200	5000	500	50	hybrid_int_b64_1	500	0	0	0	0.256	0.248	0.270	491.3
day-dl-200	5000	500	50	cut_int_b64_1	500	0	0	0	0.274	0.263	0.277	491.3
day-dl-200	5000	500	50	cut_int_b64_5	500	0	0	0	0.371	0.369	0.381	491.3
day-dl-200	5000	500	50	cut_int_b0_1	500	0	0	0	31.086	30.902	32.060	491.3
day-dl-200	5000	500	60	shipped	500	500	0	0	0.417	0.392	0.438	1124.5
day-dl-200	5000	500	60	hybrid_str_b64_1	500	0	0	0	0.270	0.258	0.286	1124.5
day-dl-200	5000	500	60	hybrid_int_b64_1	500	0	0	0	0.258	0.247	0.270	491.3
day-dl-200	5000	500	60	cut_int_b64_1	500	0	0	0	0.278	0.269	0.287	491.3
day-dl-200	5000	500	60	cut_int_b64_5	500	0	0	0	0.372	0.370	0.391	491.3
day-dl-200	5000	500	60	cut_int_b0_1	500	0	0	0	32.613	32.451	32.978	491.3
day-dl-200	5000	500	70	shipped	500	500	0	0	0.410	0.401	0.436	1124.5
day-dl-200	5000	500	70	hybrid_str_b64_1	500	0	0	0	0.305	0.292	0.317	1124.5
day-dl-200	5000	500	70	hybrid_int_b64_1	500	0	0	0	0.277	0.273	0.285	491.3
day-dl-200	5000	500	70	cut_int_b64_1	500	0	0	0	0.305	0.294	0.308	491.3
day-dl-200	5000	500	70	cut_int_b64_5	500	0	0	0	0.507	0.499	0.516	491.3
day-dl-200	5000	500	70	cut_int_b0_1	500	0	0	0	25.391	25.033	25.670	491.3
day-dl-200	5000	500	75	shipped	500	500	0	0	0.408	0.392	0.424	1124.5
day-dl-200	5000	500	75	hybrid_str_b64_1	500	0	0	0	0.316	0.298	0.323	1124.5
day-dl-200	5000	500	75	hybrid_int_b64_1	500	0	0	0	0.300	0.293	0.310	491.3
day-dl-200	5000	500	75	cut_int_b64_1	500	0	0	0	0.309	0.308	0.330	491.3
day-dl-200	5000	500	75	cut_int_b64_5	500	0	0	0	0.562	0.559	0.594	491.3
day-dl-200	5000	500	75	cut_int_b0_1	500	0	0	0	19.572	19.326	19.978	491.3
day-dl-200	5000	500	80	shipped	446	446	20	0	0.401	0.396	0.415	1124.5
day-dl-200	5000	500	80	hybrid_str_b64_1	446	0	20	0	4.434	4.336	4.744	1124.5
day-dl-200	5000	500	80	hybrid_int_b64_1	446	0	20	0	3.441	3.354	3.528	491.3
day-dl-200	5000	500	80	cut_int_b64_1	446	0	20	0	1.415	1.407	1.474	491.3
day-dl-200	5000	500	80	cut_int_b64_5	446	0	20	0	4.473	4.466	4.523	491.3
day-dl-200	5000	500	80	cut_int_b0_1	446	0	20	0	8.048	7.833	8.243	491.3
day-dl-200	5000	500	85	shipped	0	0	0	0	0.407	0.392	0.463	1124.5
day-dl-200	5000	500	85	hybrid_str_b64_1	0	0	0	0	10.890	9.924	11.009	1124.5
day-dl-200	5000	500	85	hybrid_int_b64_1	0	0	0	0	7.973	7.435	8.167	491.3
day-dl-200	5000	500	85	cut_int_b64_1	0	0	0	0	1.721	1.693	1.721	491.3
day-dl-200	5000	500	85	cut_int_b64_5	0	0	0	0	1.710	1.700	1.713	491.3
day-dl-200	5000	500	85	cut_int_b0_1	0	0	0	0	0.407	0.405	0.409	491.3
day-dl-200	5000	500	90	shipped	0	0	0	0	0.408	0.403	0.413	1124.5
day-dl-200	5000	500	90	hybrid_str_b64_1	0	0	0	0	2.258	2.169	2.338	1124.5
day-dl-200	5000	500	90	hybrid_int_b64_1	0	0	0	0	1.964	1.949	2.021	491.3
day-dl-200	5000	500	90	cut_int_b64_1	0	0	0	0	0.638	0.625	0.688	491.3
day-dl-200	5000	500	90	cut_int_b64_5	0	0	0	0	0.621	0.619	0.640	491.3
day-dl-200	5000	500	90	cut_int_b0_1	0	0	0	0	0.284	0.280	0.287	491.3
day-dl-200	5000	500	95	shipped	0	0	0	0	0.397	0.395	0.410	1124.5
day-dl-200	5000	500	95	hybrid_str_b64_1	0	0	0	0	0.495	0.494	0.533	1124.5
day-dl-200	5000	500	95	hybrid_int_b64_1	0	0	0	0	0.473	0.469	0.486	491.3
day-dl-200	5000	500	95	cut_int_b64_1	0	0	0	0	0.291	0.289	0.293	491.3
day-dl-200	5000	500	95	cut_int_b64_5	0	0	0	0	0.289	0.284	0.292	491.3
day-dl-200	5000	500	95	cut_int_b0_1	0	0	0	0	0.242	0.238	0.244	491.3
