label	keys	sources	T	arm	partner	missed	str_int_results_differ	int_cut_results_differ	ms_median	ms_min	ms_max	index_build_ms_median
day-mixed-200	4990	500	50	shipped	500	298	1	0	4.416	4.136	4.694	1045.9
day-mixed-200	4990	500	50	hybrid_str_b64_1	500	0	1	0	0.219	0.214	0.227	1045.9
day-mixed-200	4990	500	50	hybrid_int_b64_1	500	0	1	0	0.199	0.184	0.214	440.1
day-mixed-200	4990	500	50	cut_int_b64_1	500	0	1	0	0.217	0.205	0.227	440.1
day-mixed-200	4990	500	50	cut_int_b64_5	500	0	1	0	0.333	0.326	0.347	440.1
day-mixed-200	4990	500	50	cut_int_b0_1	500	0	1	0	18.103	17.752	18.309	440.1
day-mixed-200	4990	500	60	shipped	495	296	0	0	3.832	3.742	3.990	1045.9
day-mixed-200	4990	500	60	hybrid_str_b64_1	495	0	0	0	0.217	0.212	0.270	1045.9
day-mixed-200	4990	500	60	hybrid_int_b64_1	495	0	0	0	0.197	0.192	0.212	440.1
day-mixed-200	4990	500	60	cut_int_b64_1	495	0	0	0	0.219	0.213	0.220	440.1
day-mixed-200	4990	500	60	cut_int_b64_5	495	0	0	0	0.367	0.365	0.434	440.1
day-mixed-200	4990	500	60	cut_int_b0_1	495	0	0	0	18.562	18.474	19.643	440.1
day-mixed-200	4990	500	70	shipped	489	296	0	0	3.847	3.654	4.063	1045.9
day-mixed-200	4990	500	70	hybrid_str_b64_1	489	0	0	0	0.262	0.239	0.269	1045.9
day-mixed-200	4990	500	70	hybrid_int_b64_1	489	0	0	0	0.242	0.238	0.246	440.1
day-mixed-200	4990	500	70	cut_int_b64_1	489	0	0	0	0.243	0.234	0.267	440.1
day-mixed-200	4990	500	70	cut_int_b64_5	489	0	0	0	0.438	0.415	0.519	440.1
day-mixed-200	4990	500	70	cut_int_b0_1	489	0	0	0	14.449	14.155	14.665	440.1
day-mixed-200	4990	500	75	shipped	475	296	0	0	3.875	3.783	4.006	1045.9
day-mixed-200	4990	500	75	hybrid_str_b64_1	475	0	0	0	0.283	0.282	0.293	1045.9
day-mixed-200	4990	500	75	hybrid_int_b64_1	475	0	0	0	0.246	0.246	0.270	440.1
day-mixed-200	4990	500	75	cut_int_b64_1	475	0	0	0	0.261	0.259	0.268	440.1
day-mixed-200	4990	500	75	cut_int_b64_5	475	0	0	0	0.489	0.487	0.489	440.1
day-mixed-200	4990	500	75	cut_int_b0_1	475	0	0	0	11.232	10.807	11.595	440.1
day-mixed-200	4990	500	80	shipped	408	247	2	0	3.640	3.629	3.788	1045.9
day-mixed-200	4990	500	80	hybrid_str_b64_1	408	0	2	0	2.924	2.847	3.030	1045.9
day-mixed-200	4990	500	80	hybrid_int_b64_1	408	0	2	0	2.533	2.514	2.718	440.1
day-mixed-200	4990	500	80	cut_int_b64_1	408	0	2	0	1.255	1.227	1.327	440.1
day-mixed-200	4990	500	80	cut_int_b64_5	408	0	2	0	4.504	4.394	4.549	440.1
day-mixed-200	4990	500	80	cut_int_b0_1	408	0	2	0	4.391	4.255	4.415	440.1
day-mixed-200	4990	500	85	shipped	132	0	0	0	3.682	3.631	4.165	1045.9
day-mixed-200	4990	500	85	hybrid_str_b64_1	132	0	0	0	6.076	5.713	6.571	1045.9
day-mixed-200	4990	500	85	hybrid_int_b64_1	132	0	0	0	4.558	4.351	5.227	440.1
day-mixed-200	4990	500	85	cut_int_b64_1	132	0	0	0	2.853	2.724	2.875	440.1
day-mixed-200	4990	500	85	cut_int_b64_5	132	0	0	0	2.909	2.707	3.155	440.1
day-mixed-200	4990	500	85	cut_int_b0_1	132	0	0	0	1.833	1.748	1.838	440.1
day-mixed-200	4990	500	90	shipped	69	0	0	0	3.646	3.644	3.739	1045.9
day-mixed-200	4990	500	90	hybrid_str_b64_1	69	0	0	0	1.444	1.432	1.605	1045.9
day-mixed-200	4990	500	90	hybrid_int_b64_1	69	0	0	0	1.280	1.268	1.356	440.1
day-mixed-200	4990	500	90	cut_int_b64_1	69	0	0	0	1.286	1.232	1.382	440.1
day-mixed-200	4990	500	90	cut_int_b64_5	69	0	0	0	1.366	1.316	1.370	440.1
day-mixed-200	4990	500	90	cut_int_b0_1	69	0	0	0	0.426	0.410	0.433	440.1
day-mixed-200	4990	500	95	shipped	22	0	0	0	3.590	3.589	3.615	1045.9
day-mixed-200	4990	500	95	hybrid_str_b64_1	22	0	0	0	0.326	0.317	0.410	1045.9
day-mixed-200	4990	500	95	hybrid_int_b64_1	22	0	0	0	0.300	0.297	0.335	440.1
day-mixed-200	4990	500	95	cut_int_b64_1	22	0	0	0	0.200	0.196	0.230	440.1
day-mixed-200	4990	500	95	cut_int_b64_5	22	0	0	0	0.202	0.201	0.208	440.1
day-mixed-200	4990	500	95	cut_int_b0_1	22	0	0	0	0.181	0.178	0.184	440.1
