label	keys	sources	T	arm	partner	missed	str_int_results_differ	int_cut_results_differ	ms_median	ms_min	ms_max	index_build_ms_median
errors-ERROR	4990	500	50	shipped	499	1	0	0	13.375	12.802	13.827	620.4
errors-ERROR	4990	500	50	hybrid_str_b64_1	499	0	0	0	0.375	0.366	0.464	620.4
errors-ERROR	4990	500	50	hybrid_int_b64_1	499	0	0	0	0.368	0.366	0.394	271.3
errors-ERROR	4990	500	50	cut_int_b64_1	499	0	0	0	0.362	0.359	0.365	271.3
errors-ERROR	4990	500	50	cut_int_b64_5	499	0	0	0	0.372	0.358	0.377	271.3
errors-ERROR	4990	500	50	cut_int_b0_1	499	0	0	0	0.371	0.344	0.399	271.3
errors-ERROR	4990	500	60	shipped	499	1	0	0	12.977	12.742	13.682	620.4
errors-ERROR	4990	500	60	hybrid_str_b64_1	499	0	0	0	0.368	0.367	0.371	620.4
errors-ERROR	4990	500	60	hybrid_int_b64_1	499	0	0	0	0.361	0.358	0.369	271.3
errors-ERROR	4990	500	60	cut_int_b64_1	499	0	0	0	0.364	0.357	0.378	271.3
errors-ERROR	4990	500	60	cut_int_b64_5	499	0	0	0	0.364	0.352	0.405	271.3
errors-ERROR	4990	500	60	cut_int_b0_1	499	0	0	0	0.380	0.357	0.401	271.3
errors-ERROR	4990	500	70	shipped	498	0	0	0	13.763	12.795	14.329	620.4
errors-ERROR	4990	500	70	hybrid_str_b64_1	498	0	0	0	0.365	0.357	0.426	620.4
errors-ERROR	4990	500	70	hybrid_int_b64_1	498	0	0	0	0.424	0.377	0.449	271.3
errors-ERROR	4990	500	70	cut_int_b64_1	498	0	0	0	0.367	0.363	0.530	271.3
errors-ERROR	4990	500	70	cut_int_b64_5	498	0	0	0	0.384	0.360	0.447	271.3
errors-ERROR	4990	500	70	cut_int_b0_1	498	0	0	0	0.384	0.372	0.396	271.3
errors-ERROR	4990	500	75	shipped	498	0	0	0	12.899	12.723	13.695	620.4
errors-ERROR	4990	500	75	hybrid_str_b64_1	498	0	0	0	0.365	0.354	0.460	620.4
errors-ERROR	4990	500	75	hybrid_int_b64_1	498	0	0	0	0.379	0.375	0.397	271.3
errors-ERROR	4990	500	75	cut_int_b64_1	498	0	0	0	0.375	0.357	0.484	271.3
errors-ERROR	4990	500	75	cut_int_b64_5	498	0	0	0	0.381	0.371	0.385	271.3
errors-ERROR	4990	500	75	cut_int_b0_1	498	0	0	0	0.380	0.373	0.407	271.3
errors-ERROR	4990	500	80	shipped	496	0	0	0	12.996	12.730	14.049	620.4
errors-ERROR	4990	500	80	hybrid_str_b64_1	496	0	0	0	0.363	0.361	0.366	620.4
errors-ERROR	4990	500	80	hybrid_int_b64_1	496	0	0	0	0.369	0.353	0.370	271.3
errors-ERROR	4990	500	80	cut_int_b64_1	496	0	0	0	0.371	0.363	0.463	271.3
errors-ERROR	4990	500	80	cut_int_b64_5	496	0	0	0	0.364	0.362	0.373	271.3
errors-ERROR	4990	500	80	cut_int_b0_1	496	0	0	0	0.362	0.360	0.369	271.3
errors-ERROR	4990	500	85	shipped	496	0	0	0	13.220	12.711	13.569	620.4
errors-ERROR	4990	500	85	hybrid_str_b64_1	496	0	0	0	0.361	0.358	0.362	620.4
errors-ERROR	4990	500	85	hybrid_int_b64_1	496	0	0	0	0.366	0.357	0.370	271.3
errors-ERROR	4990	500	85	cut_int_b64_1	496	0	0	0	0.370	0.368	0.373	271.3
errors-ERROR	4990	500	85	cut_int_b64_5	496	0	0	0	0.372	0.347	0.378	271.3
errors-ERROR	4990	500	85	cut_int_b0_1	496	0	0	0	0.371	0.368	0.373	271.3
errors-ERROR	4990	500	90	shipped	496	0	0	0	13.057	12.707	13.299	620.4
errors-ERROR	4990	500	90	hybrid_str_b64_1	496	0	0	0	0.364	0.358	0.436	620.4
errors-ERROR	4990	500	90	hybrid_int_b64_1	496	0	0	0	0.405	0.367	0.419	271.3
errors-ERROR	4990	500	90	cut_int_b64_1	496	0	0	0	0.403	0.370	0.407	271.3
errors-ERROR	4990	500	90	cut_int_b64_5	496	0	0	0	0.366	0.364	0.380	271.3
errors-ERROR	4990	500	90	cut_int_b0_1	496	0	0	0	0.374	0.365	0.375	271.3
errors-ERROR	4990	500	95	shipped	496	0	0	0	13.149	13.104	13.875	620.4
errors-ERROR	4990	500	95	hybrid_str_b64_1	496	0	0	0	0.361	0.355	0.384	620.4
errors-ERROR	4990	500	95	hybrid_int_b64_1	496	0	0	0	0.364	0.360	0.374	271.3
errors-ERROR	4990	500	95	cut_int_b64_1	496	0	0	0	0.374	0.353	0.376	271.3
errors-ERROR	4990	500	95	cut_int_b64_5	496	0	0	0	0.361	0.360	0.395	271.3
errors-ERROR	4990	500	95	cut_int_b0_1	496	0	0	0	0.373	0.366	0.466	271.3
