label	keys	sources	T	arm	partner	missed	str_int_results_differ	int_cut_results_differ	ms_median	ms_min	ms_max	index_build_ms_median
script-ERROR	209	209	50	shipped	208	1	0	0	0.520	0.516	0.547	8.5
script-ERROR	209	209	50	hybrid_str_b64_1	208	0	0	0	0.131	0.129	0.135	8.5
script-ERROR	209	209	50	hybrid_int_b64_1	208	0	0	0	0.127	0.126	0.128	3.9
script-ERROR	209	209	50	cut_int_b64_1	208	0	0	0	0.129	0.128	0.135	3.9
script-ERROR	209	209	50	cut_int_b64_5	208	0	0	0	0.272	0.268	0.276	3.9
script-ERROR	209	209	50	cut_int_b0_1	208	0	0	0	0.278	0.277	0.285	3.9
script-ERROR	209	209	60	shipped	206	0	0	0	0.546	0.514	0.547	8.5
script-ERROR	209	209	60	hybrid_str_b64_1	206	0	0	0	0.159	0.157	0.160	8.5
script-ERROR	209	209	60	hybrid_int_b64_1	206	0	0	0	0.156	0.152	0.158	3.9
script-ERROR	209	209	60	cut_int_b64_1	206	0	0	0	0.157	0.156	0.158	3.9
script-ERROR	209	209	60	cut_int_b64_5	206	0	0	0	0.291	0.289	0.292	3.9
script-ERROR	209	209	60	cut_int_b0_1	206	0	0	0	0.283	0.282	0.283	3.9
script-ERROR	209	209	70	shipped	204	0	0	0	0.507	0.504	0.507	8.5
script-ERROR	209	209	70	hybrid_str_b64_1	204	0	0	0	0.158	0.157	0.162	8.5
script-ERROR	209	209	70	hybrid_int_b64_1	204	0	0	0	0.154	0.151	0.158	3.9
script-ERROR	209	209	70	cut_int_b64_1	204	0	0	0	0.155	0.154	0.161	3.9
script-ERROR	209	209	70	cut_int_b64_5	204	0	0	0	0.261	0.258	0.261	3.9
script-ERROR	209	209	70	cut_int_b0_1	204	0	0	0	0.277	0.273	0.278	3.9
script-ERROR	209	209	75	shipped	204	0	0	0	0.508	0.507	0.525	8.5
script-ERROR	209	209	75	hybrid_str_b64_1	204	0	0	0	0.152	0.151	0.158	8.5
script-ERROR	209	209	75	hybrid_int_b64_1	204	0	0	0	0.149	0.145	0.150	3.9
script-ERROR	209	209	75	cut_int_b64_1	204	0	0	0	0.150	0.149	0.157	3.9
script-ERROR	209	209	75	cut_int_b64_5	204	0	0	0	0.254	0.243	0.268	3.9
script-ERROR	209	209	75	cut_int_b0_1	204	0	0	0	0.281	0.271	0.283	3.9
script-ERROR	209	209	80	shipped	201	0	0	0	0.510	0.501	0.512	8.5
script-ERROR	209	209	80	hybrid_str_b64_1	201	0	0	0	0.147	0.145	0.147	8.5
script-ERROR	209	209	80	hybrid_int_b64_1	201	0	0	0	0.140	0.138	0.142	3.9
script-ERROR	209	209	80	cut_int_b64_1	201	0	0	0	0.144	0.141	0.153	3.9
script-ERROR	209	209	80	cut_int_b64_5	201	0	0	0	0.241	0.239	0.249	3.9
script-ERROR	209	209	80	cut_int_b0_1	201	0	0	0	0.239	0.237	0.250	3.9
script-ERROR	209	209	85	shipped	197	0	0	0	0.491	0.488	0.493	8.5
script-ERROR	209	209	85	hybrid_str_b64_1	197	0	0	0	0.146	0.145	0.149	8.5
script-ERROR	209	209	85	hybrid_int_b64_1	197	0	0	0	0.140	0.137	0.140	3.9
script-ERROR	209	209	85	cut_int_b64_1	197	0	0	0	0.143	0.142	0.143	3.9
script-ERROR	209	209	85	cut_int_b64_5	197	0	0	0	0.243	0.239	0.243	3.9
script-ERROR	209	209	85	cut_int_b0_1	197	0	0	0	0.221	0.220	0.224	3.9
script-ERROR	209	209	90	shipped	191	0	0	0	0.485	0.482	0.498	8.5
script-ERROR	209	209	90	hybrid_str_b64_1	191	0	0	0	0.159	0.159	0.165	8.5
script-ERROR	209	209	90	hybrid_int_b64_1	191	0	0	0	0.153	0.152	0.166	3.9
script-ERROR	209	209	90	cut_int_b64_1	191	0	0	0	0.161	0.157	0.162	3.9
script-ERROR	209	209	90	cut_int_b64_5	191	0	0	0	0.306	0.297	0.306	3.9
script-ERROR	209	209	90	cut_int_b0_1	191	0	0	0	0.196	0.191	0.204	3.9
script-ERROR	209	209	95	shipped	157	0	0	0	0.453	0.440	0.458	8.5
script-ERROR	209	209	95	hybrid_str_b64_1	157	0	0	0	0.165	0.164	0.176	8.5
script-ERROR	209	209	95	hybrid_int_b64_1	157	0	0	0	0.159	0.156	0.174	3.9
script-ERROR	209	209	95	cut_int_b64_1	157	0	0	0	0.150	0.148	0.151	3.9
script-ERROR	209	209	95	cut_int_b64_5	157	0	0	0	0.227	0.218	0.240	3.9
script-ERROR	209	209	95	cut_int_b0_1	157	0	0	0	0.152	0.149	0.153	3.9
