label	keys	sources	T	arm	partner	missed	str_int_results_differ	int_cut_results_differ	ms_median	ms_min	ms_max	index_build_ms_median
script-INFO	2851	500	50	shipped	500	1	120	0	22.783	20.614	23.531	90.4
script-INFO	2851	500	50	hybrid_str_b64_1	500	0	120	0	0.217	0.209	0.229	90.4
script-INFO	2851	500	50	hybrid_int_b64_1	500	0	120	0	0.213	0.194	0.224	47.0
script-INFO	2851	500	50	cut_int_b64_1	500	0	120	0	0.223	0.200	0.235	47.0
script-INFO	2851	500	50	cut_int_b64_5	500	0	120	0	0.281	0.228	0.321	47.0
script-INFO	2851	500	50	cut_int_b0_1	500	0	120	0	3.389	3.036	3.429	47.0
script-INFO	2851	500	60	shipped	500	1	120	0	24.049	20.580	24.536	90.4
script-INFO	2851	500	60	hybrid_str_b64_1	500	0	120	0	0.220	0.202	0.244	90.4
script-INFO	2851	500	60	hybrid_int_b64_1	500	0	120	0	0.216	0.199	0.225	47.0
script-INFO	2851	500	60	cut_int_b64_1	500	0	120	0	0.227	0.207	0.236	47.0
script-INFO	2851	500	60	cut_int_b64_5	500	0	120	0	0.282	0.252	0.349	47.0
script-INFO	2851	500	60	cut_int_b0_1	500	0	120	0	3.020	2.988	3.421	47.0
script-INFO	2851	500	70	shipped	500	1	116	0	23.167	20.384	23.737	90.4
script-INFO	2851	500	70	hybrid_str_b64_1	500	0	116	0	0.224	0.217	0.260	90.4
script-INFO	2851	500	70	hybrid_int_b64_1	500	0	116	0	0.206	0.192	0.241	47.0
script-INFO	2851	500	70	cut_int_b64_1	500	0	116	0	0.230	0.202	0.260	47.0
script-INFO	2851	500	70	cut_int_b64_5	500	0	116	0	0.247	0.237	0.309	47.0
script-INFO	2851	500	70	cut_int_b0_1	500	0	116	0	2.362	2.194	2.643	47.0
script-INFO	2851	500	75	shipped	500	1	104	0	20.959	19.926	22.372	90.4
script-INFO	2851	500	75	hybrid_str_b64_1	500	0	104	0	0.206	0.198	0.358	90.4
script-INFO	2851	500	75	hybrid_int_b64_1	500	0	104	0	0.204	0.192	0.250	47.0
script-INFO	2851	500	75	cut_int_b64_1	500	0	104	0	0.219	0.205	0.262	47.0
script-INFO	2851	500	75	cut_int_b64_5	500	0	104	0	0.257	0.255	0.312	47.0
script-INFO	2851	500	75	cut_int_b0_1	500	0	104	0	1.832	1.597	2.214	47.0
script-INFO	2851	500	80	shipped	500	1	105	0	21.769	19.729	21.976	90.4
script-INFO	2851	500	80	hybrid_str_b64_1	500	0	105	0	0.245	0.209	0.251	90.4
script-INFO	2851	500	80	hybrid_int_b64_1	500	0	105	0	0.242	0.227	0.342	47.0
script-INFO	2851	500	80	cut_int_b64_1	500	0	105	0	0.268	0.230	0.279	47.0
script-INFO	2851	500	80	cut_int_b64_5	500	0	105	0	0.315	0.258	0.337	47.0
script-INFO	2851	500	80	cut_int_b0_1	500	0	105	0	1.897	1.759	2.143	47.0
script-INFO	2851	500	85	shipped	500	6	99	0	20.777	18.393	24.188	90.4
script-INFO	2851	500	85	hybrid_str_b64_1	500	2	99	0	0.206	0.199	0.214	90.4
script-INFO	2851	500	85	hybrid_int_b64_1	500	2	99	0	0.218	0.197	0.261	47.0
script-INFO	2851	500	85	cut_int_b64_1	500	2	99	0	0.246	0.206	0.272	47.0
script-INFO	2851	500	85	cut_int_b64_5	500	2	99	0	0.312	0.297	0.402	47.0
script-INFO	2851	500	85	cut_int_b0_1	500	2	99	0	2.090	2.040	2.286	47.0
script-INFO	2851	500	90	shipped	495	6	50	0	16.142	15.396	17.816	90.4
script-INFO	2851	500	90	hybrid_str_b64_1	495	7	50	0	0.251	0.234	0.292	90.4
script-INFO	2851	500	90	hybrid_int_b64_1	495	7	50	0	0.233	0.223	0.298	47.0
script-INFO	2851	500	90	cut_int_b64_1	495	7	50	0	0.229	0.228	0.282	47.0
script-INFO	2851	500	90	cut_int_b64_5	495	7	50	0	0.537	0.513	0.650	47.0
script-INFO	2851	500	90	cut_int_b0_1	495	7	50	0	0.835	0.728	1.085	47.0
script-INFO	2851	500	95	shipped	239	5	48	0	13.950	13.729	17.500	90.4
script-INFO	2851	500	95	hybrid_str_b64_1	239	6	48	0	0.631	0.567	0.667	90.4
script-INFO	2851	500	95	hybrid_int_b64_1	239	6	48	0	0.510	0.509	0.594	47.0
script-INFO	2851	500	95	cut_int_b64_1	239	6	48	0	0.505	0.496	0.601	47.0
script-INFO	2851	500	95	cut_int_b64_5	239	6	48	0	0.678	0.613	0.823	47.0
script-INFO	2851	500	95	cut_int_b0_1	239	6	48	0	0.554	0.415	0.557	47.0
