label	keys	sources	T	arm	partner	missed	str_int_results_differ	int_cut_results_differ	ms_median	ms_min	ms_max	index_build_ms_median
script-WARN	1940	500	50	shipped	500	0	71	0	13.426	13.178	13.509	88.8
script-WARN	1940	500	50	hybrid_str_b64_1	500	0	71	0	0.450	0.436	0.451	88.8
script-WARN	1940	500	50	hybrid_int_b64_1	500	0	71	0	0.434	0.431	0.442	46.1
script-WARN	1940	500	50	cut_int_b64_1	500	0	71	0	0.450	0.446	0.460	46.1
script-WARN	1940	500	50	cut_int_b64_5	500	0	71	0	0.480	0.450	0.580	46.1
script-WARN	1940	500	50	cut_int_b0_1	500	0	71	0	2.396	2.242	2.614	46.1
script-WARN	1940	500	60	shipped	500	0	71	0	13.247	13.203	13.473	88.8
script-WARN	1940	500	60	hybrid_str_b64_1	500	0	71	0	0.439	0.434	0.445	88.8
script-WARN	1940	500	60	hybrid_int_b64_1	500	0	71	0	0.435	0.426	0.446	46.1
script-WARN	1940	500	60	cut_int_b64_1	500	0	71	0	0.442	0.435	0.458	46.1
script-WARN	1940	500	60	cut_int_b64_5	500	0	71	0	0.467	0.449	0.550	46.1
script-WARN	1940	500	60	cut_int_b0_1	500	0	71	0	2.371	2.336	2.372	46.1
script-WARN	1940	500	70	shipped	500	0	71	0	12.987	12.836	13.443	88.8
script-WARN	1940	500	70	hybrid_str_b64_1	500	0	71	0	0.443	0.436	0.447	88.8
script-WARN	1940	500	70	hybrid_int_b64_1	500	0	71	0	0.437	0.424	0.445	46.1
script-WARN	1940	500	70	cut_int_b64_1	500	0	71	0	0.446	0.428	0.450	46.1
script-WARN	1940	500	70	cut_int_b64_5	500	0	71	0	0.456	0.436	0.462	46.1
script-WARN	1940	500	70	cut_int_b0_1	500	0	71	0	2.157	2.138	2.280	46.1
script-WARN	1940	500	75	shipped	500	0	71	0	12.698	12.550	12.948	88.8
script-WARN	1940	500	75	hybrid_str_b64_1	500	0	71	0	0.429	0.423	0.430	88.8
script-WARN	1940	500	75	hybrid_int_b64_1	500	0	71	0	0.430	0.417	0.431	46.1
script-WARN	1940	500	75	cut_int_b64_1	500	0	71	0	0.444	0.431	0.455	46.1
script-WARN	1940	500	75	cut_int_b64_5	500	0	71	0	0.461	0.448	0.464	46.1
script-WARN	1940	500	75	cut_int_b0_1	500	0	71	0	1.894	1.893	1.968	46.1
script-WARN	1940	500	80	shipped	500	0	61	0	12.115	11.750	12.349	88.8
script-WARN	1940	500	80	hybrid_str_b64_1	500	0	61	0	0.448	0.421	0.449	88.8
script-WARN	1940	500	80	hybrid_int_b64_1	500	0	61	0	0.435	0.412	0.436	46.1
script-WARN	1940	500	80	cut_int_b64_1	500	0	61	0	0.434	0.420	0.438	46.1
script-WARN	1940	500	80	cut_int_b64_5	500	0	61	0	0.481	0.461	0.485	46.1
script-WARN	1940	500	80	cut_int_b0_1	500	0	61	0	1.748	1.677	1.780	46.1
script-WARN	1940	500	85	shipped	500	0	62	0	12.241	11.607	12.421	88.8
script-WARN	1940	500	85	hybrid_str_b64_1	500	0	62	0	0.443	0.436	0.450	88.8
script-WARN	1940	500	85	hybrid_int_b64_1	500	0	62	0	0.439	0.436	0.443	46.1
script-WARN	1940	500	85	cut_int_b64_1	500	0	62	0	0.453	0.435	0.471	46.1
script-WARN	1940	500	85	cut_int_b64_5	500	0	62	0	0.509	0.495	0.519	46.1
script-WARN	1940	500	85	cut_int_b0_1	500	0	62	0	1.470	1.434	1.479	46.1
script-WARN	1940	500	90	shipped	498	0	78	0	12.600	11.885	13.849	88.8
script-WARN	1940	500	90	hybrid_str_b64_1	498	0	78	0	0.527	0.454	0.974	88.8
script-WARN	1940	500	90	hybrid_int_b64_1	498	0	78	0	0.465	0.440	0.511	46.1
script-WARN	1940	500	90	cut_int_b64_1	498	0	78	0	0.479	0.463	0.495	46.1
script-WARN	1940	500	90	cut_int_b64_5	498	0	78	0	0.539	0.538	0.848	46.1
script-WARN	1940	500	90	cut_int_b0_1	498	0	78	0	1.181	1.077	1.402	46.1
script-WARN	1940	500	95	shipped	495	0	79	0	10.577	10.540	10.817	88.8
script-WARN	1940	500	95	hybrid_str_b64_1	495	0	79	0	0.452	0.429	0.478	88.8
script-WARN	1940	500	95	hybrid_int_b64_1	495	0	79	0	0.442	0.433	0.448	46.1
script-WARN	1940	500	95	cut_int_b64_1	495	0	79	0	0.504	0.446	0.526	46.1
script-WARN	1940	500	95	cut_int_b64_5	495	0	79	0	0.532	0.530	0.536	46.1
script-WARN	1940	500	95	cut_int_b0_1	495	0	79	0	0.763	0.756	0.774	46.1
