label	keys	sources	T	arm	partner	missed	str_int_results_differ	int_cut_results_differ	ms_median	ms_min	ms_max	index_build_ms_median
tomcat-200	2870	500	50	shipped	500	0	2	0	5.273	5.092	5.361	57.4
tomcat-200	2870	500	50	hybrid_str_b64_1	500	0	2	0	0.060	0.058	0.069	57.4
tomcat-200	2870	500	50	hybrid_int_b64_1	500	0	2	0	0.060	0.056	0.064	28.5
tomcat-200	2870	500	50	cut_int_b64_1	500	0	2	0	0.065	0.060	0.073	28.5
tomcat-200	2870	500	50	cut_int_b64_5	500	0	2	0	0.154	0.144	0.173	28.5
tomcat-200	2870	500	50	cut_int_b0_1	500	0	2	0	0.206	0.194	0.221	28.5
tomcat-200	2870	500	60	shipped	499	0	3	0	5.308	5.013	5.401	57.4
tomcat-200	2870	500	60	hybrid_str_b64_1	499	0	3	0	0.068	0.068	0.076	57.4
tomcat-200	2870	500	60	hybrid_int_b64_1	499	0	3	0	0.065	0.065	0.074	28.5
tomcat-200	2870	500	60	cut_int_b64_1	499	0	3	0	0.067	0.067	0.074	28.5
tomcat-200	2870	500	60	cut_int_b64_5	499	0	3	0	0.240	0.237	0.276	28.5
tomcat-200	2870	500	60	cut_int_b0_1	499	0	3	0	0.194	0.189	0.210	28.5
tomcat-200	2870	500	70	shipped	482	0	6	0	5.074	4.624	5.223	57.4
tomcat-200	2870	500	70	hybrid_str_b64_1	482	0	6	0	0.103	0.097	0.109	57.4
tomcat-200	2870	500	70	hybrid_int_b64_1	482	0	6	0	0.096	0.089	0.102	28.5
tomcat-200	2870	500	70	cut_int_b64_1	482	0	6	0	0.102	0.095	0.104	28.5
tomcat-200	2870	500	70	cut_int_b64_5	482	0	6	0	0.376	0.351	0.390	28.5
tomcat-200	2870	500	70	cut_int_b0_1	482	0	6	0	0.194	0.181	0.197	28.5
tomcat-200	2870	500	75	shipped	451	0	7	0	4.798	4.523	4.814	57.4
tomcat-200	2870	500	75	hybrid_str_b64_1	451	0	7	0	0.135	0.128	0.140	57.4
tomcat-200	2870	500	75	hybrid_int_b64_1	451	0	7	0	0.125	0.119	0.128	28.5
tomcat-200	2870	500	75	cut_int_b64_1	451	0	7	0	0.130	0.122	0.134	28.5
tomcat-200	2870	500	75	cut_int_b64_5	451	0	7	0	0.432	0.398	0.433	28.5
tomcat-200	2870	500	75	cut_int_b0_1	451	0	7	0	0.184	0.171	0.184	28.5
tomcat-200	2870	500	80	shipped	403	0	3	0	4.466	4.396	4.934	57.4
tomcat-200	2870	500	80	hybrid_str_b64_1	403	0	3	0	0.152	0.145	0.154	57.4
tomcat-200	2870	500	80	hybrid_int_b64_1	403	0	3	0	0.139	0.138	0.157	28.5
tomcat-200	2870	500	80	cut_int_b64_1	403	0	3	0	0.146	0.144	0.152	28.5
tomcat-200	2870	500	80	cut_int_b64_5	403	0	3	0	0.423	0.404	0.433	28.5
tomcat-200	2870	500	80	cut_int_b0_1	403	0	3	0	0.166	0.160	0.173	28.5
tomcat-200	2870	500	85	shipped	330	0	1	0	4.018	3.925	4.041	57.4
tomcat-200	2870	500	85	hybrid_str_b64_1	330	0	1	0	0.180	0.177	0.180	57.4
tomcat-200	2870	500	85	hybrid_int_b64_1	330	0	1	0	0.168	0.164	0.172	28.5
tomcat-200	2870	500	85	cut_int_b64_1	330	0	1	0	0.169	0.166	0.171	28.5
tomcat-200	2870	500	85	cut_int_b64_5	330	0	1	0	0.387	0.383	0.389	28.5
tomcat-200	2870	500	85	cut_int_b0_1	330	0	1	0	0.142	0.132	0.146	28.5
tomcat-200	2870	500	90	shipped	203	0	0	0	3.373	3.236	3.615	57.4
tomcat-200	2870	500	90	hybrid_str_b64_1	203	0	0	0	0.168	0.161	0.170	57.4
tomcat-200	2870	500	90	hybrid_int_b64_1	203	0	0	0	0.154	0.150	0.165	28.5
tomcat-200	2870	500	90	cut_int_b64_1	203	0	0	0	0.164	0.156	0.167	28.5
tomcat-200	2870	500	90	cut_int_b64_5	203	0	0	0	0.253	0.242	0.266	28.5
tomcat-200	2870	500	90	cut_int_b0_1	203	0	0	0	0.102	0.096	0.116	28.5
tomcat-200	2870	500	95	shipped	36	0	0	0	2.980	2.845	3.044	57.4
tomcat-200	2870	500	95	hybrid_str_b64_1	36	0	0	0	0.085	0.084	0.097	57.4
tomcat-200	2870	500	95	hybrid_int_b64_1	36	0	0	0	0.082	0.079	0.088	28.5
tomcat-200	2870	500	95	cut_int_b64_1	36	0	0	0	0.088	0.084	0.090	28.5
tomcat-200	2870	500	95	cut_int_b64_5	36	0	0	0	0.092	0.088	0.096	28.5
tomcat-200	2870	500	95	cut_int_b0_1	36	0	0	0	0.064	0.061	0.066	28.5
