label	keys	sources	T	arm	partner	found	missed	miss_rate	probe_len_median	posting_visits_median	dice_per_search	returned_per_search	ms_median	ms_min	ms_max
script-INFO	2851	500	50	shipped	500	499	1	0.2%	50	62154	1727.4	48.6	18.069	18.061	18.787
script-INFO	2851	500	50	sized	500	500	0	0.0%	63	100680	2513.8	50.0	26.249	25.741	26.350
script-INFO	2851	500	60	shipped	500	499	1	0.2%	50	62154	1727.4	48.0	18.375	18.294	19.054
script-INFO	2851	500	60	sized	500	500	0	0.0%	54	77632	2355.7	49.4	22.670	22.651	23.054
script-INFO	2851	500	70	shipped	500	499	1	0.2%	50	62154	1679.4	45.7	17.722	17.025	19.650
script-INFO	2851	500	70	sized	500	500	0	0.0%	43	52295	2199.6	46.3	19.326	19.138	19.667
script-INFO	2851	500	75	shipped	500	499	1	0.2%	50	62154	1639.6	44.2	17.316	16.727	17.557
script-INFO	2851	500	75	sized	500	500	0	0.0%	38	40036	2040.2	44.4	17.275	16.342	17.314
script-INFO	2851	500	80	shipped	500	499	1	0.2%	50	62154	1619.3	42.3	16.713	16.410	18.098
script-INFO	2851	500	80	sized	500	500	0	0.0%	32	29672	1807.6	42.4	14.878	14.492	15.715
script-INFO	2851	500	85	shipped	500	494	6	1.2%	50	62154	1531.7	39.2	15.942	15.476	17.503
script-INFO	2851	500	85	sized	500	498	2	0.4%	25	19399	1575.0	39.2	12.016	11.517	12.419
script-INFO	2851	500	90	shipped	495	489	6	1.2%	50	62154	1092.0	33.0	13.294	12.853	14.371
script-INFO	2851	500	90	sized	495	488	7	1.4%	17	9578	975.3	33.0	7.505	7.064	8.244
script-INFO	2851	500	95	shipped	239	234	5	2.1%	50	62154	927.3	4.8	12.420	11.830	13.015
script-INFO	2851	500	95	sized	239	233	6	2.5%	9	1412	410.5	4.8	2.838	2.744	3.029
