label	keys	sources	T	arm	partner	found	missed	miss_rate	probe_len_median	posting_visits_median	dice_per_search	returned_per_search	ms_median	ms_min	ms_max
script-WARN	1940	500	50	shipped	500	500	0	0.0%	50	36465	819.8	49.8	11.983	11.873	12.468
script-WARN	1940	500	50	sized	500	500	0	0.0%	92	116762	1936.1	50.0	31.247	30.328	32.228
script-WARN	1940	500	60	shipped	500	500	0	0.0%	50	36465	819.8	49.8	12.380	12.235	12.528
script-WARN	1940	500	60	sized	500	500	0	0.0%	79	91720	1936.0	50.0	29.551	28.231	30.057
script-WARN	1940	500	70	shipped	500	500	0	0.0%	50	36465	819.8	49.8	11.915	11.607	12.311
script-WARN	1940	500	70	sized	500	500	0	0.0%	64	62864	1933.7	49.9	25.214	25.140	26.687
script-WARN	1940	500	75	shipped	500	500	0	0.0%	50	36465	819.8	49.8	11.740	11.620	11.948
script-WARN	1940	500	75	sized	500	500	0	0.0%	55	46229	1930.2	49.9	23.455	23.024	24.881
script-WARN	1940	500	80	shipped	500	500	0	0.0%	50	36465	819.8	49.0	11.608	11.273	12.178
script-WARN	1940	500	80	sized	500	500	0	0.0%	46	29190	1883.5	49.1	20.750	20.664	21.267
script-WARN	1940	500	85	shipped	500	500	0	0.0%	50	36465	819.8	48.4	11.329	11.168	13.050
script-WARN	1940	500	85	sized	500	500	0	0.0%	36	16186	1282.7	48.4	13.842	13.442	14.317
script-WARN	1940	500	90	shipped	498	498	0	0.0%	50	36465	819.5	48.3	11.698	11.309	12.247
script-WARN	1940	500	90	sized	498	498	0	0.0%	25	8729	862.4	48.3	9.436	8.918	10.238
script-WARN	1940	500	95	shipped	495	495	0	0.0%	50	36465	643.5	45.1	9.670	9.659	9.960
script-WARN	1940	500	95	sized	495	495	0	0.0%	14	3720	668.2	45.1	6.682	6.565	6.803
