label	keys	sources	T	arm	partner	found	missed	miss_rate	probe_len_median	posting_visits_median	dice_per_search	returned_per_search	ms_median	ms_min	ms_max
tomcat-200	2870	500	50	shipped	500	500	0	0.0%	50	12239	650.4	40.0	6.919	5.342	7.776
tomcat-200	2870	500	50	sized	500	500	0	0.0%	44	6025	1294.7	42.7	10.461	10.046	11.723
tomcat-200	2870	500	60	shipped	499	499	0	0.0%	50	12239	635.5	25.0	5.547	4.874	6.837
tomcat-200	2870	500	60	sized	499	499	0	0.0%	38	3054	713.2	25.1	3.873	3.847	3.877
tomcat-200	2870	500	70	shipped	482	482	0	0.0%	50	12239	599.6	11.0	4.844	4.682	4.866
tomcat-200	2870	500	70	sized	482	482	0	0.0%	31	1462	375.4	11.0	2.083	2.057	2.197
tomcat-200	2870	500	75	shipped	451	451	0	0.0%	50	12239	551.7	6.9	5.962	4.532	6.206
tomcat-200	2870	500	75	sized	451	451	0	0.0%	27	975	281.7	6.9	1.670	1.611	2.263
tomcat-200	2870	500	80	shipped	403	403	0	0.0%	50	12239	455.3	3.8	4.170	4.107	6.584
tomcat-200	2870	500	80	sized	403	403	0	0.0%	22	570	189.6	3.8	1.866	1.143	1.973
tomcat-200	2870	500	85	shipped	330	330	0	0.0%	50	12239	319.0	1.9	5.577	3.678	6.113
tomcat-200	2870	500	85	sized	330	330	0	0.0%	17	286	103.0	1.9	0.800	0.615	0.888
tomcat-200	2870	500	90	shipped	203	203	0	0.0%	50	12239	196.2	0.7	4.904	2.997	5.005
tomcat-200	2870	500	90	sized	203	203	0	0.0%	12	112	41.4	0.7	0.426	0.296	0.429
tomcat-200	2870	500	95	shipped	36	36	0	0.0%	50	12239	96.5	0.1	4.325	2.703	6.171
tomcat-200	2870	500	95	sized	36	36	0	0.0%	7	24	7.6	0.1	0.093	0.090	0.126
