label	keys	sources	T	arm	partner	missed	str_int_results_differ	int_cut_results_differ	ms_median	ms_min	ms_max	index_build_ms_median
app-DEBUG	1709	500	50	shipped	500	0	0	0	9.399	9.379	9.671	83.7
app-DEBUG	1709	500	50	hybrid_str_b64_1	500	0	0	0	0.105	0.104	0.107	83.7
app-DEBUG	1709	500	50	hybrid_int_b64_1	500	0	0	0	0.103	0.101	0.103	38.6
app-DEBUG	1709	500	50	cut_int_b64_1	500	0	0	0	0.104	0.102	0.110	38.6
app-DEBUG	1709	500	50	cut_int_b0_1	500	0	0	0	0.106	0.106	0.110	38.6
app-DEBUG	1709	500	50	cut_int_f50_b0_1	500	0	0	0	0.103	0.102	0.105	38.6
app-DEBUG	1709	500	50	cut_int_f25_b0_1	500	0	0	0	0.106	0.102	0.108	38.6
app-DEBUG	1709	500	60	shipped	500	0	0	0	9.487	9.321	9.595	83.7
app-DEBUG	1709	500	60	hybrid_str_b64_1	500	0	0	0	0.103	0.103	0.122	83.7
app-DEBUG	1709	500	60	hybrid_int_b64_1	500	0	0	0	0.103	0.103	0.115	38.6
app-DEBUG	1709	500	60	cut_int_b64_1	500	0	0	0	0.104	0.102	0.104	38.6
app-DEBUG	1709	500	60	cut_int_b0_1	500	0	0	0	0.104	0.100	0.106	38.6
app-DEBUG	1709	500	60	cut_int_f50_b0_1	500	0	0	0	0.103	0.102	0.106	38.6
app-DEBUG	1709	500	60	cut_int_f25_b0_1	500	0	0	0	0.108	0.107	0.108	38.6
app-DEBUG	1709	500	70	shipped	500	0	0	0	9.374	8.987	9.632	83.7
app-DEBUG	1709	500	70	hybrid_str_b64_1	500	0	0	0	0.105	0.103	0.106	83.7
app-DEBUG	1709	500	70	hybrid_int_b64_1	500	0	0	0	0.098	0.098	0.101	38.6
app-DEBUG	1709	500	70	cut_int_b64_1	500	0	0	0	0.100	0.100	0.103	38.6
app-DEBUG	1709	500	70	cut_int_b0_1	500	0	0	0	0.102	0.098	0.105	38.6
app-DEBUG	1709	500	70	cut_int_f50_b0_1	500	0	0	0	0.102	0.101	0.111	38.6
app-DEBUG	1709	500	70	cut_int_f25_b0_1	500	0	0	0	0.107	0.105	0.107	38.6
app-DEBUG	1709	500	75	shipped	500	0	0	0	9.386	9.071	10.770	83.7
app-DEBUG	1709	500	75	hybrid_str_b64_1	500	0	0	0	0.104	0.099	0.105	83.7
app-DEBUG	1709	500	75	hybrid_int_b64_1	500	0	0	0	0.101	0.098	0.102	38.6
app-DEBUG	1709	500	75	cut_int_b64_1	500	0	0	0	0.100	0.097	0.102	38.6
app-DEBUG	1709	500	75	cut_int_b0_1	500	0	0	0	0.104	0.099	0.104	38.6
app-DEBUG	1709	500	75	cut_int_f50_b0_1	500	0	0	0	0.103	0.101	0.106	38.6
app-DEBUG	1709	500	75	cut_int_f25_b0_1	500	0	0	0	0.105	0.101	0.105	38.6
