label	keys	sources	T	arm	partner	missed	str_int_results_differ	int_cut_results_differ	ms_median	ms_min	ms_max	index_build_ms_median
app-ERROR	238	238	50	shipped	232	69	0	0	0.254	0.250	0.262	14.3
app-ERROR	238	238	50	hybrid_str_b64_1	232	0	0	0	0.160	0.156	0.173	14.3
app-ERROR	238	238	50	hybrid_int_b64_1	232	0	0	0	0.161	0.154	0.165	6.4
app-ERROR	238	238	50	cut_int_b64_1	232	0	0	0	0.159	0.157	0.162	6.4
app-ERROR	238	238	50	cut_int_b0_1	232	0	0	0	0.205	0.196	0.209	6.4
app-ERROR	238	238	50	cut_int_f50_b0_1	232	0	0	0	0.170	0.169	0.176	6.4
app-ERROR	238	238	50	cut_int_f25_b0_1	232	0	0	0	0.160	0.160	0.165	6.4
app-ERROR	238	238	60	shipped	229	102	0	0	0.258	0.248	0.274	14.3
app-ERROR	238	238	60	hybrid_str_b64_1	229	0	0	0	0.169	0.167	0.181	14.3
app-ERROR	238	238	60	hybrid_int_b64_1	229	0	0	0	0.161	0.156	0.164	6.4
app-ERROR	238	238	60	cut_int_b64_1	229	0	0	0	0.162	0.159	0.172	6.4
app-ERROR	238	238	60	cut_int_b0_1	229	0	0	0	0.211	0.203	0.212	6.4
app-ERROR	238	238	60	cut_int_f50_b0_1	229	0	0	0	0.188	0.179	0.200	6.4
app-ERROR	238	238	60	cut_int_f25_b0_1	229	0	0	0	0.177	0.167	0.191	6.4
app-ERROR	238	238	70	shipped	224	99	0	0	0.245	0.244	0.261	14.3
app-ERROR	238	238	70	hybrid_str_b64_1	224	0	0	0	0.177	0.168	0.187	14.3
app-ERROR	238	238	70	hybrid_int_b64_1	224	0	0	0	0.165	0.162	0.166	6.4
app-ERROR	238	238	70	cut_int_b64_1	224	0	0	0	0.175	0.168	0.175	6.4
app-ERROR	238	238	70	cut_int_b0_1	224	0	0	0	0.209	0.195	0.221	6.4
app-ERROR	238	238	70	cut_int_f50_b0_1	224	0	0	0	0.180	0.177	0.196	6.4
app-ERROR	238	238	70	cut_int_f25_b0_1	224	0	0	0	0.176	0.165	0.182	6.4
app-ERROR	238	238	75	shipped	220	101	0	0	0.262	0.260	0.263	14.3
app-ERROR	238	238	75	hybrid_str_b64_1	220	0	0	0	0.171	0.170	0.187	14.3
app-ERROR	238	238	75	hybrid_int_b64_1	220	0	0	0	0.168	0.159	0.182	6.4
app-ERROR	238	238	75	cut_int_b64_1	220	0	0	0	0.170	0.163	0.190	6.4
app-ERROR	238	238	75	cut_int_b0_1	220	0	0	0	0.201	0.195	0.211	6.4
app-ERROR	238	238	75	cut_int_f50_b0_1	220	0	0	0	0.172	0.168	0.192	6.4
app-ERROR	238	238	75	cut_int_f25_b0_1	220	0	0	0	0.172	0.167	0.183	6.4
app-ERROR	238	238	80	shipped	218	100	0	0	0.264	0.249	0.272	14.3
app-ERROR	238	238	80	hybrid_str_b64_1	218	0	0	0	0.170	0.164	0.176	14.3
app-ERROR	238	238	80	hybrid_int_b64_1	218	0	0	0	0.167	0.162	0.172	6.4
app-ERROR	238	238	80	cut_int_b64_1	218	0	0	0	0.167	0.164	0.177	6.4
app-ERROR	238	238	80	cut_int_b0_1	218	0	0	0	0.210	0.201	0.230	6.4
app-ERROR	238	238	80	cut_int_f50_b0_1	218	0	0	0	0.184	0.176	0.202	6.4
app-ERROR	238	238	80	cut_int_f25_b0_1	218	0	0	0	0.176	0.165	0.180	6.4
app-ERROR	238	238	85	shipped	216	100	0	0	0.257	0.245	0.283	14.3
app-ERROR	238	238	85	hybrid_str_b64_1	216	0	0	0	0.177	0.161	0.185	14.3
app-ERROR	238	238	85	hybrid_int_b64_1	216	0	0	0	0.172	0.154	0.179	6.4
app-ERROR	238	238	85	cut_int_b64_1	216	0	0	0	0.179	0.165	0.186	6.4
app-ERROR	238	238	85	cut_int_b0_1	216	0	0	0	0.196	0.184	0.201	6.4
app-ERROR	238	238	85	cut_int_f50_b0_1	216	0	0	0	0.187	0.173	0.188	6.4
app-ERROR	238	238	85	cut_int_f25_b0_1	216	0	0	0	0.182	0.171	0.185	6.4
app-ERROR	238	238	90	shipped	183	75	0	0	0.258	0.250	0.273	14.3
app-ERROR	238	238	90	hybrid_str_b64_1	183	0	0	0	0.216	0.200	0.234	14.3
app-ERROR	238	238	90	hybrid_int_b64_1	183	0	0	0	0.205	0.200	0.210	6.4
app-ERROR	238	238	90	cut_int_b64_1	183	0	0	0	0.210	0.199	0.215	6.4
app-ERROR	238	238	90	cut_int_b0_1	183	0	0	0	0.217	0.207	0.226	6.4
app-ERROR	238	238	90	cut_int_f50_b0_1	183	0	0	0	0.214	0.203	0.223	6.4
app-ERROR	238	238	90	cut_int_f25_b0_1	183	0	0	0	0.213	0.202	0.221	6.4
app-ERROR	238	238	95	shipped	175	75	0	0	0.250	0.241	0.263	14.3
app-ERROR	238	238	95	hybrid_str_b64_1	175	61	0	0	0.146	0.140	0.148	14.3
app-ERROR	238	238	95	hybrid_int_b64_1	175	61	0	0	0.138	0.135	0.142	6.4
app-ERROR	238	238	95	cut_int_b64_1	175	61	0	0	0.141	0.137	0.153	6.4
app-ERROR	238	238	95	cut_int_b0_1	175	61	0	0	0.141	0.138	0.144	6.4
app-ERROR	238	238	95	cut_int_f50_b0_1	175	61	0	0	0.148	0.135	0.151	6.4
app-ERROR	238	238	95	cut_int_f25_b0_1	175	61	0	0	0.143	0.138	0.183	6.4
