label	keys	sources	T	arm	partner	missed	str_int_results_differ	int_cut_results_differ	ms_median	ms_min	ms_max	index_build_ms_median
app-WARN	3048	500	50	shipped	500	0	0	0	1.705	1.682	1.754	308.5
app-WARN	3048	500	50	hybrid_str_b64_1	500	0	0	0	0.143	0.139	0.152	308.5
app-WARN	3048	500	50	hybrid_int_b64_1	500	0	0	0	0.145	0.138	0.146	154.6
app-WARN	3048	500	50	cut_int_b64_1	500	0	0	0	0.143	0.142	0.143	154.6
app-WARN	3048	500	50	cut_int_b0_1	500	0	0	0	0.148	0.145	0.150	154.6
app-WARN	3048	500	50	cut_int_f50_b0_1	500	0	0	0	0.146	0.143	0.150	154.6
app-WARN	3048	500	50	cut_int_f25_b0_1	500	0	0	0	0.145	0.143	0.149	154.6
app-WARN	3048	500	60	shipped	500	0	0	0	1.736	1.719	1.776	308.5
app-WARN	3048	500	60	hybrid_str_b64_1	500	0	0	0	0.142	0.135	0.143	308.5
app-WARN	3048	500	60	hybrid_int_b64_1	500	0	0	0	0.147	0.143	0.150	154.6
app-WARN	3048	500	60	cut_int_b64_1	500	0	0	0	0.152	0.147	0.159	154.6
app-WARN	3048	500	60	cut_int_b0_1	500	0	0	0	0.188	0.149	0.260	154.6
app-WARN	3048	500	60	cut_int_f50_b0_1	500	0	0	0	0.155	0.148	0.260	154.6
app-WARN	3048	500	60	cut_int_f25_b0_1	500	0	0	0	0.148	0.148	0.230	154.6
app-WARN	3048	500	70	shipped	500	0	0	0	1.939	1.695	2.095	308.5
app-WARN	3048	500	70	hybrid_str_b64_1	500	0	0	0	0.137	0.136	0.154	308.5
app-WARN	3048	500	70	hybrid_int_b64_1	500	0	0	0	0.144	0.144	0.154	154.6
app-WARN	3048	500	70	cut_int_b64_1	500	0	0	0	0.148	0.147	0.156	154.6
app-WARN	3048	500	70	cut_int_b0_1	500	0	0	0	0.161	0.157	0.272	154.6
app-WARN	3048	500	70	cut_int_f50_b0_1	500	0	0	0	0.163	0.143	0.256	154.6
app-WARN	3048	500	70	cut_int_f25_b0_1	500	0	0	0	0.149	0.145	0.234	154.6
app-WARN	3048	500	75	shipped	500	0	0	0	1.715	1.694	2.096	308.5
app-WARN	3048	500	75	hybrid_str_b64_1	500	0	0	0	0.137	0.136	0.143	308.5
app-WARN	3048	500	75	hybrid_int_b64_1	500	0	0	0	0.139	0.136	0.141	154.6
app-WARN	3048	500	75	cut_int_b64_1	500	0	0	0	0.136	0.135	0.144	154.6
app-WARN	3048	500	75	cut_int_b0_1	500	0	0	0	0.145	0.141	0.146	154.6
app-WARN	3048	500	75	cut_int_f50_b0_1	500	0	0	0	0.147	0.142	0.152	154.6
app-WARN	3048	500	75	cut_int_f25_b0_1	500	0	0	0	0.142	0.142	0.154	154.6
app-WARN	3048	500	80	shipped	500	0	0	0	1.759	1.709	1.803	308.5
app-WARN	3048	500	80	hybrid_str_b64_1	500	0	0	0	0.140	0.138	0.143	308.5
app-WARN	3048	500	80	hybrid_int_b64_1	500	0	0	0	0.141	0.138	0.144	154.6
app-WARN	3048	500	80	cut_int_b64_1	500	0	0	0	0.138	0.137	0.154	154.6
app-WARN	3048	500	80	cut_int_b0_1	500	0	0	0	0.149	0.140	0.153	154.6
app-WARN	3048	500	80	cut_int_f50_b0_1	500	0	0	0	0.147	0.142	0.182	154.6
app-WARN	3048	500	80	cut_int_f25_b0_1	500	0	0	0	0.145	0.143	0.175	154.6
app-WARN	3048	500	85	shipped	500	0	0	0	1.736	1.734	1.881	308.5
app-WARN	3048	500	85	hybrid_str_b64_1	500	0	0	0	0.148	0.143	0.162	308.5
app-WARN	3048	500	85	hybrid_int_b64_1	500	0	0	0	0.153	0.139	0.156	154.6
app-WARN	3048	500	85	cut_int_b64_1	500	0	0	0	0.149	0.138	0.164	154.6
app-WARN	3048	500	85	cut_int_b0_1	500	0	0	0	0.148	0.140	0.156	154.6
app-WARN	3048	500	85	cut_int_f50_b0_1	500	0	0	0	0.146	0.144	0.157	154.6
app-WARN	3048	500	85	cut_int_f25_b0_1	500	0	0	0	0.144	0.143	0.149	154.6
app-WARN	3048	500	90	shipped	500	0	0	0	1.751	1.701	1.764	308.5
app-WARN	3048	500	90	hybrid_str_b64_1	500	0	0	0	0.131	0.127	0.134	308.5
app-WARN	3048	500	90	hybrid_int_b64_1	500	0	0	0	0.130	0.128	0.135	154.6
app-WARN	3048	500	90	cut_int_b64_1	500	0	0	0	0.131	0.129	0.133	154.6
app-WARN	3048	500	90	cut_int_b0_1	500	0	0	0	0.132	0.130	0.132	154.6
app-WARN	3048	500	90	cut_int_f50_b0_1	500	0	0	0	0.134	0.133	0.135	154.6
app-WARN	3048	500	90	cut_int_f25_b0_1	500	0	0	0	0.134	0.130	0.137	154.6
app-WARN	3048	500	95	shipped	493	0	0	0	1.681	1.563	1.714	308.5
app-WARN	3048	500	95	hybrid_str_b64_1	493	0	0	0	0.128	0.120	0.129	308.5
app-WARN	3048	500	95	hybrid_int_b64_1	493	0	0	0	0.126	0.122	0.129	154.6
app-WARN	3048	500	95	cut_int_b64_1	493	0	0	0	0.133	0.130	0.137	154.6
app-WARN	3048	500	95	cut_int_b0_1	493	0	0	0	0.131	0.131	0.133	154.6
app-WARN	3048	500	95	cut_int_f50_b0_1	493	0	0	0	0.132	0.132	0.136	154.6
app-WARN	3048	500	95	cut_int_f25_b0_1	493	0	0	0	0.129	0.128	0.134	154.6
