label	keys	sources	T	arm	partner	missed	str_int_results_differ	int_cut_results_differ	ms_median	ms_min	ms_max	index_build_ms_median
day-dl-200	5000	500	50	shipped	500	500	0	0	0.395	0.391	0.451	1099.1
day-dl-200	5000	500	50	hybrid_str_b64_1	500	0	0	0	0.264	0.261	0.275	1099.1
day-dl-200	5000	500	50	hybrid_int_b64_1	500	0	0	0	0.265	0.258	0.268	468.1
day-dl-200	5000	500	50	cut_int_b64_1	500	0	0	0	0.287	0.275	0.287	468.1
day-dl-200	5000	500	50	cut_int_b0_1	500	0	0	0	32.718	32.552	33.828	468.1
day-dl-200	5000	500	50	cut_int_f50_b0_1	500	0	0	0	10.624	10.265	11.301	468.1
day-dl-200	5000	500	50	cut_int_f25_b0_1	500	0	0	0	2.960	2.926	3.177	468.1
day-dl-200	5000	500	60	shipped	500	500	0	0	0.418	0.392	0.493	1099.1
day-dl-200	5000	500	60	hybrid_str_b64_1	500	0	0	0	0.272	0.262	0.290	1099.1
day-dl-200	5000	500	60	hybrid_int_b64_1	500	0	0	0	0.271	0.254	0.285	468.1
day-dl-200	5000	500	60	cut_int_b64_1	500	0	0	0	0.278	0.271	0.338	468.1
day-dl-200	5000	500	60	cut_int_b0_1	500	0	0	0	34.002	34.000	34.507	468.1
day-dl-200	5000	500	60	cut_int_f50_b0_1	500	0	0	0	11.545	10.842	12.129	468.1
day-dl-200	5000	500	60	cut_int_f25_b0_1	500	0	0	0	3.416	3.226	4.501	468.1
day-dl-200	5000	500	70	shipped	500	500	0	0	0.392	0.389	0.412	1099.1
day-dl-200	5000	500	70	hybrid_str_b64_1	500	0	0	0	0.289	0.288	0.294	1099.1
day-dl-200	5000	500	70	hybrid_int_b64_1	500	0	0	0	0.276	0.275	0.278	468.1
day-dl-200	5000	500	70	cut_int_b64_1	500	0	0	0	0.293	0.293	0.298	468.1
day-dl-200	5000	500	70	cut_int_b0_1	500	0	0	0	26.264	26.015	26.777	468.1
day-dl-200	5000	500	70	cut_int_f50_b0_1	500	0	0	0	10.232	10.180	10.467	468.1
day-dl-200	5000	500	70	cut_int_f25_b0_1	500	0	0	0	2.730	2.730	2.876	468.1
day-dl-200	5000	500	75	shipped	500	500	0	0	0.402	0.394	0.420	1099.1
day-dl-200	5000	500	75	hybrid_str_b64_1	500	0	0	0	0.318	0.309	0.319	1099.1
day-dl-200	5000	500	75	hybrid_int_b64_1	500	0	0	0	0.307	0.298	0.323	468.1
day-dl-200	5000	500	75	cut_int_b64_1	500	0	0	0	0.324	0.308	0.352	468.1
day-dl-200	5000	500	75	cut_int_b0_1	500	0	0	0	20.619	20.444	21.115	468.1
day-dl-200	5000	500	75	cut_int_f50_b0_1	500	0	0	0	8.574	8.416	9.178	468.1
day-dl-200	5000	500	75	cut_int_f25_b0_1	500	0	0	0	2.395	2.306	2.439	468.1
day-dl-200	5000	500	80	shipped	446	446	15	0	0.399	0.390	0.404	1099.1
day-dl-200	5000	500	80	hybrid_str_b64_1	446	0	15	0	4.276	4.255	4.494	1099.1
day-dl-200	5000	500	80	hybrid_int_b64_1	446	0	15	0	3.433	3.236	3.702	468.1
day-dl-200	5000	500	80	cut_int_b64_1	446	0	15	0	1.471	1.438	1.767	468.1
day-dl-200	5000	500	80	cut_int_b0_1	446	0	15	0	8.328	8.272	8.882	468.1
day-dl-200	5000	500	80	cut_int_f50_b0_1	446	0	15	0	3.801	3.362	3.956	468.1
day-dl-200	5000	500	80	cut_int_f25_b0_1	446	0	15	0	1.900	1.758	2.059	468.1
day-dl-200	5000	500	85	shipped	0	0	0	0	0.417	0.381	0.420	1099.1
day-dl-200	5000	500	85	hybrid_str_b64_1	0	0	0	0	10.725	9.750	11.361	1099.1
day-dl-200	5000	500	85	hybrid_int_b64_1	0	0	0	0	7.522	7.344	8.579	468.1
day-dl-200	5000	500	85	cut_int_b64_1	0	0	0	0	1.760	1.752	1.857	468.1
day-dl-200	5000	500	85	cut_int_b0_1	0	0	0	0	0.446	0.438	0.514	468.1
day-dl-200	5000	500	85	cut_int_f50_b0_1	0	0	0	0	0.449	0.448	0.513	468.1
day-dl-200	5000	500	85	cut_int_f25_b0_1	0	0	0	0	0.474	0.453	0.476	468.1
day-dl-200	5000	500	90	shipped	0	0	0	0	0.410	0.383	0.431	1099.1
day-dl-200	5000	500	90	hybrid_str_b64_1	0	0	0	0	2.232	2.229	2.460	1099.1
day-dl-200	5000	500	90	hybrid_int_b64_1	0	0	0	0	2.040	1.948	2.103	468.1
day-dl-200	5000	500	90	cut_int_b64_1	0	0	0	0	0.657	0.620	0.661	468.1
day-dl-200	5000	500	90	cut_int_b0_1	0	0	0	0	0.305	0.278	0.317	468.1
day-dl-200	5000	500	90	cut_int_f50_b0_1	0	0	0	0	0.305	0.287	0.308	468.1
day-dl-200	5000	500	90	cut_int_f25_b0_1	0	0	0	0	0.305	0.289	0.311	468.1
day-dl-200	5000	500	95	shipped	0	0	0	0	0.428	0.396	0.429	1099.1
day-dl-200	5000	500	95	hybrid_str_b64_1	0	0	0	0	0.526	0.517	0.544	1099.1
day-dl-200	5000	500	95	hybrid_int_b64_1	0	0	0	0	0.472	0.471	0.499	468.1
day-dl-200	5000	500	95	cut_int_b64_1	0	0	0	0	0.298	0.285	0.305	468.1
day-dl-200	5000	500	95	cut_int_b0_1	0	0	0	0	0.258	0.249	0.258	468.1
day-dl-200	5000	500	95	cut_int_f50_b0_1	0	0	0	0	0.251	0.250	0.267	468.1
day-dl-200	5000	500	95	cut_int_f25_b0_1	0	0	0	0	0.255	0.251	0.257	468.1
