label	keys	sources	T	arm	partner	missed	str_int_results_differ	int_cut_results_differ	ms_median	ms_min	ms_max	index_build_ms_median
day-mixed-200	4990	500	50	shipped	500	298	1	0	3.327	3.168	3.701	1076.9
day-mixed-200	4990	500	50	hybrid_str_b64_1	500	0	1	0	0.212	0.201	0.229	1076.9
day-mixed-200	4990	500	50	hybrid_int_b64_1	500	0	1	0	0.188	0.186	0.196	456.9
day-mixed-200	4990	500	50	cut_int_b64_1	500	0	1	0	0.200	0.197	0.205	456.9
day-mixed-200	4990	500	50	cut_int_b0_1	500	0	1	0	18.596	18.447	18.647	456.9
day-mixed-200	4990	500	50	cut_int_f50_b0_1	500	0	1	0	6.158	5.797	6.243	456.9
day-mixed-200	4990	500	50	cut_int_f25_b0_1	500	0	1	0	1.811	1.668	1.951	456.9
day-mixed-200	4990	500	60	shipped	495	296	0	0	3.730	3.439	3.819	1076.9
day-mixed-200	4990	500	60	hybrid_str_b64_1	495	0	0	0	0.219	0.204	0.262	1076.9
day-mixed-200	4990	500	60	hybrid_int_b64_1	495	0	0	0	0.192	0.190	0.203	456.9
day-mixed-200	4990	500	60	cut_int_b64_1	495	0	0	0	0.203	0.202	0.210	456.9
day-mixed-200	4990	500	60	cut_int_b0_1	495	0	0	0	19.264	18.963	19.346	456.9
day-mixed-200	4990	500	60	cut_int_f50_b0_1	495	0	0	0	6.184	5.985	6.202	456.9
day-mixed-200	4990	500	60	cut_int_f25_b0_1	495	0	0	0	1.803	1.764	1.864	456.9
day-mixed-200	4990	500	70	shipped	489	296	0	0	3.546	3.094	3.863	1076.9
day-mixed-200	4990	500	70	hybrid_str_b64_1	489	0	0	0	0.247	0.242	0.253	1076.9
day-mixed-200	4990	500	70	hybrid_int_b64_1	489	0	0	0	0.226	0.224	0.227	456.9
day-mixed-200	4990	500	70	cut_int_b64_1	489	0	0	0	0.227	0.223	0.233	456.9
day-mixed-200	4990	500	70	cut_int_b0_1	489	0	0	0	14.736	14.405	14.906	456.9
day-mixed-200	4990	500	70	cut_int_f50_b0_1	489	0	0	0	5.796	5.457	5.908	456.9
